Control of cell proliferation	Clustera	GenBankb	Fold repressionc 28 h	31 h	33 h	50 h	66 h	92 h	10 days
MCM2	I	NM_004526	1	?0.9	?1.4	1	?1.1	?2.1	?2.0	Prereplication complex/DNA repair
MCM4	I	AA859865	1	?0.8	?1.6	1	1	?2.7	?2.4	Prereplication complex/DNA repair
MCM5	I	AA807529	?0.8	?0.9	?1.3	1	?1.2	?3.2	?2.3	Prereplication complex/DNA repair
MCM10	I	NM_018518	?1.2	1	?1.7	?1.3	?1.3	?3.1	?4.3	Prereplication complex/DNA repair
Replication factor C	I	NM_002915	?1.9	?1.1	?2.7	?2.5	?1.5	?2.4	?4.6	Prereplication complex/DNA repair
CDT1	H	AF321125	?2.8	?2.8	?2.2	?3.3	?1.9	?3.4	?5.5	Prereplication complex/DNA repair
RAD51-interacting protein	I	BE966146	?1.1	?0.9	?1.1	1	?1.1	?1.9	?3.6	Prereplication complex/DNA repair
RAD54B	I	NM_012415	?1.2	?0.9	?1.7	?1.1	?1.1	?1.8	?4.1	Prereplication complex/DNA repair
CDC6	I	NM_001254	1	?0.9	?1.3	?1.1	1	?2.4	?2.7	G1-S
CDC7	I	NM_003503	?1.3	?1.2	?1.2	?1.3	?1.2	?2.0	?2.1	G1-S
DHFR	I	BC003584	?1.1	?0.8	?1.3	?1.5	?1.2	?2.3	?3.4	G1-S
E2F1	I	NM_005225	?0.9	?0.9	1	?1.1	?1.2	?3.5	?2.0	G1-S
Dp-1	H	NM_007111	?2.2	?2.0	?2.3	?1.7	?1.5	?1.9	?3.5	G1-S
Cyclin A2	I	NM_001237	?1.4	?1.4	?1.5	?1.4	1	?1.7	?3.1	G1-S
Geminin	I	NM_015895	1	?0.9	?1.2	1	?1.1	?2.2	?2.0	G1-S
Parathymosin	H	NM_002824	?8.6	?7.7	?3.1	?12.0	?5.6	?8.7	?4.3	G1-S
cdc2	I	AL524035	1	?0.8	?1.2	?0.9	1	?1.9	?4.5	Mitosis
CENP-A	I	NM_001809	?1.1	?0.8	1	?0.9	?1.1	?1.8	?3.1	Mitosis
CENP-E	I	NM_001813	?1.9	?1.4	?1.7	?1.2	?1.1	?2.0	?2.3	Mitosis
Kinesin-like 1	I	NM_004523	?1.3	?0.8	1	?1.1	?1.1	?1.8	?3.5	Mitosis
Kinesin-like 5	I	NM_004856	?0.9	?0.6	?1.1	?0.7	?0.9	?1.7	?4.6	Mitosis
STK18	I	AL043646	?0.8	?0.9	?1.2	?0.8	1	?2.4	?5.2	Mitosis
SMC4	I	NM_005496	?1.6	?1.2	?1.5	?1.1	?1.2	?1.3	?3.1	Mitosis
