Gene name	Fold change	Gene symbol	GenBank no.	Chromosomal location	Description
219870_at	0.5	ATF71P2	NM_024997	16p13.2	Activating transcription factor 7 interacting protein 2
203377_s_at	0.498	CDC40	NM_015891	6q22.1	Cell division cycle 40 homolog (yeast)
217793_at	0.494	RAB11B	AL575337	19p13.3	RAB11B, member RAS oncogene family
206875_s_at	0.491	SLK	NM_014720	10q25.1	SNF1 sucrose nonfermenting like kinase (yeast)
203910_at	0.491	PARG1	NM_004815	1p22.1	PTPL1-associated RhoGAP 1
221832_s_at	0.491	AOF2	AV741657	1p36.11	Amine oxidase (flavin containing) domain 2
210718_s_at	0.49	LOC51326	AF119889	17q21.32	ARF protein
218712_at	0.489	FLJ20508	NM_017850	1p34.2	Hypothetical protein FLJ20508
214801_at	0.485	—	W88821	—	CDNA FLJ11392 fis, clone HEMBA1000575
212246_at	0.482	MCFD2	BE880828	2p21	Multiple coagulation factor deficiency 2
202008_s_at	0.48	NID	NM_002508	1q43	Nidogen (enactin)
202421_at	0.476	IGSF3	AB007935	1p13	Immunoglobulin superfamily, member 3
222329_x_at	0.463	—	AW974816	—	Transcribed sequence with weak similarity to protein sp:P39188 (Homosapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry
202557_at	0.46	STCH	AI718418	21q11.1	Stress 70 protein chaperone, microsome-associated, 60 kDa
209045_at	0.459	XPNPEP1	AF195530	10q25.3	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
218344_s_at	0.457	FLJ10876	NM_018254	1q32.3	Hypothetical protein FLJ10876
202468_s_at	0.451	CTNNAL1	NM_003798	9q31.2	Catenin (cadherin-associated protein), a-like 1
203015_s_at	0.451	SSX2IP	AW136988	—	Synovial sarcoma, X breakpoint 2 interacting protein
203224_at	0.447	FLJ11149	BF340123	9q21.31	Riboflavin kinase
203225_s_at	0.443	FLJ11149	NM_018339	9q21.31	Riboflavin kinase
202932_at	0.442	YES1	NM_005433	18p11.31–p11.21	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
214205_x_at	0.44	TXNL2	AK022131	6p25.3	Thioredoxin-like 2
204417_at	0.439	GALC	NM_000153	14q31	Galactosylceramidase (Krabbe disease)
210818_s_at	0.437	BACH1	AF026199	21q22.11	BTB and CNC homology 1, basic leucine zipper transcription factor 1
207332_s_at	0.433	TFRC	NM_003234	3q26.2-qter	Transferrin receptor (p90, CD71)
202949_s_at	0.432	FHL2	NM_001450	2q12-q14	Four and a half LIM domains 2
221580_s_at	0.425	MGC5306	BC001972	11q21	Hypothetical protein MGC5306
207386_at	0.42	CYP7B1	NM_004820	8q21.3	Cytochrome P450, family 7, subfamily B, polypeptide 1
207845_s_at	0.42	APC10	NM_014885	4q31	Anaphase-promoting complex subunit 10
212884_x_at	0.414	APOE	AI358867	19q13.2	Apolipoprotein E
212978_at	0.413	TA-LRRP	AU146004	1p22.2	T-cell activation leucine repeat-rich protein
211810_s_at	0.405	GALC	D25284	14q31	Galactosylceramidase (Krabbe disease)
202506_at	0.405	SSFA2	NM_006751	2q32.1	Sperm-specific antigen 2
