Accession number	Definition	Fold change	p-value
J02585	Stearoyl Co-A desaturase	10.63	0.0001
AB005743	Cd36	3.66	0.0111
X05472	Repeat right terminal	3.44	0.0039
AA799326	Cd36	3.26	0.0086
K01934	Thyroid hormone-inducible hepatic protein	3.15	0.0094
AA946411	HIPK2 kinase	3.05	0.0276
X07314	Rat heart myosin light chain	2.9	0.0093
AA924201	Zinc finger MYND containing 17	2.71	0.0094
AI103730	Dok-like protein FLJ22570	2.65	0.0051
AI008074	Heat shock protein 90	2.59	0.0107
AF063302	Carnitine o-palmitoyltransferase	2.44	0.0489
X07314	Myosin regulatory light chain 2	2.3	0.0439
AF072411	Cd36	2.19	0.0267
D49785	Mitogen-activated protein 3 kinase 12	2.17	0.0328
AI105089	Slc25a20	2.17	0.0308
AA925122	Slow skeletal muscle troponin	2.16	0.0299
M10140	Creatine kinase	2.14	0.0354
AA859966	Polymerase delta interacting protein	2.14	0.0415
X81193	Muscle lim domain protein	2.1	0.043
AF074609	MHC class I antigen	-2.05	0.0399
AI176456	Metallothionein-II	-2.19	0.0429
