Gene name or Affymetrix ID	Gene symbol	UniGene ID	? 	Range of gene expression	P
Ribosomal protein S24	RPS24	Hs.356794	?2.093	2	0.000732
Retinol dehydrogenase 11	RDH11	Hs.226007	?2.062	1.95	0.000096
Activating signal cointegrator 1 complex subunit 3-like 1	ASCC3L1	Hs.246112	?1.834	2.27	0.000919
Kinesin family member 5B	KIF5B	Hs.327736	?1.758	1.95	0.000566
Male-specific lethal 3-like 1	MSL3L1	Hs.307924	?1.707	2.28	0.000698
Ubiquinol-cytochrome creductase binding protein	UQCRB	Hs.131255	?1.672	2.24	0.00031
Nucleosome assembly protein 1-like 1	NAP1L1	Hs.524599	?1.602	2.48	0.000572
Abhydrolase domain containing 6	ABHD6	Hs.476454	?1.557	2.16	0.000741
MYC binding protein 2	MYCBP2	Hs.151411	?1.464	3.72	0.000026
Dynamin 1-like	DNM1L	Hs.550499	?1.356	2.69	0.000496
MHC, class II, DQ ?1	HLA-DQB1	Hs.409934	?1.213	2.73	0.00041
COBW domain containing 1/2/3	CBWD1/2/3	Hs.355950	?1.187	3.14	0.000132
Solute carrier family 33 member 1	SLC33A1	Hs.478031	?1.142	3.61	0.000972
CD44 antigen	CD44	Hs.502328	?1.058	4.87	0.00016
CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	Hs.34341	?1.016	2.94	0.000517
ATP synthase, H+transporting, mitochondrial F0 complex, subunit F6	ATP5J	Hs.246310	?0.901	4.74	0.000416
MHC, class II, DR ?	HLA-DRA	Hs.520048	?0.894	4.37	0.000049
Chloride channel, calcium activated, family member 2	CLCA2	Hs.241551	?0.789	4.45	0.000972
MHC, class II, DP ? 1	HLA-DPA1	Hs.347270	?0.725	6.41	0.000873
Fc fragment of IgE, high affinity I, receptor for; ? polypeptide///Fc fragment of IgE, high affinity I, receptor for; ? polypeptide	FCER1A	Hs.897	?0.671	8.6	0.000152
