GO Biological Process	Genbank Acc. N°	Symbol	Name	
Organic acid transport	BC040210	AKR1C2	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	
Organic acid transport	NM_007231	SLC6A14	Solute carrier family 6 (amino acid transporter), member 14	
Organic acid transport	BC020744	AKR1C4	Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	
Organic acid transport	AC_092060	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	
Carboxylic acid transport	BC040210	AKR1C2	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	
Carboxylic acid transport	NM_007231	SLC6A14	Solute carrier family 6 (amino acid transporter), member 14	
Carboxylic acid transport	BC020744	AKR1C4	Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	
Carboxylic acid transport	AC_092060	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	
Second-messenger-mediated signaling	AB008193	LTB4R	Leukotriene B4 receptor	
Second-messenger-mediated signaling	NM_004080	DGKB	Diacylglycerol kinase, beta 90kDa	
Second-messenger-mediated signaling	AL121917	GNAS	GNAS complex locus	
Second-messenger-mediated signaling	NM_000823	GHRHR	Growth hormone releasing hormone receptor	
Second-messenger-mediated signaling	AK126708	GNAI2	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	
Second-messenger-mediated signaling	CA307692	ADORA2A	Adenosine A2a receptor	
Cytoskeleton organization and biogenesis	NM_145754	KIFC2	Kinesin family member C2	
Cytoskeleton organization and biogenesis	NM_000928	PLA2G1B	Phospholipase A2, group IB (pancreas)	
Cytoskeleton organization and biogenesis	AK023766	DNAH1	Dynein, axonemal, heavy polypeptide 1	
Cytoskeleton organization and biogenesis	NM_004240	TRIP10	Thyroid hormone receptor interactor 10	
Cytoskeleton organization and biogenesis	BG286577	TUBB	Tubulin, beta	
Cytoskeleton organization and biogenesis	NM_183419	RNF19	Ring finger protein 19	
Cytoskeleton organization and biogenesis	AF177198	TLN1	Talin 1	
Cytoskeleton organization and biogenesis	CF457414	SORBS1	Sorbin and SH3 domain containing 1	
Cytoskeleton organization and biogenesis	DB565402	LASP1	LIM and SH3 protein 1	
Cytoskeleton organization and biogenesis	CA314918	LMO7	LIM domain 7	
