UG cluster	Gene symbol	Description	Ratio	Expression
Hs.789	CXCL1	CXCL1: Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	17.4	Genes upregulated in LNM35
Hs.509585		Transcribed sequences	9.2	Genes upregulated in LNM36
Hs.193235	CPLX2	Complexin 2	8.6	Genes upregulated in LNM37
Hs.518464	PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	6.2	Genes upregulated in LNM38
Hs.478481	ALG3	Asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	6.1	Genes upregulated in LNM39
Hs.503749	H2-ALPHA	Alpha-tubulin isotype H2-alpha	5.9	Genes upregulated in LNM40
Hs.533059	TUBB	Tubulin, beta	5.5	Genes upregulated in LNM41
Hs.522584	TMSB4X	Thymosin, beta 4, X-linked	4.7	Genes upregulated in LNM42
Hs.74368	CKAP4	Cytoskeleton-associated protein 4	4.2	Genes upregulated in LNM43
Hs.234074	DNER	Delta-notch-like EGF repeat-containing transmembrane	3.9	Genes upregulated in LNM44
Hs.509736	HSPCB	Heat shock 90 kDa protein 1, beta	3.7	Genes upregulated in LNM45
Hs.533273	UBE1	Ubiquitin-activating enzyme E1 (A1S9 T and BN75 temperature sensitivity complementing)	3.1	Genes upregulated in LNM46
Hs.196176	ECH1	Enoyl Coenzyme A hydratase 1, peroxisomal	3	Genes upregulated in LNM47
Hs.14074	MRPS22	Mitochondrial ribosomal protein S22	2.9	Genes upregulated in LNM48
Hs.75318	TUBA1	Tubulin, alpha 1 (testis specific)	2.8	Genes upregulated in LNM49
Hs.349695	TUBA2	Tubulin, alpha 2	2.8	Genes upregulated in LNM50
Hs.77269	GNAI2	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	2.7	Genes upregulated in LNM51
Hs.76095	IER3	Immediate early response 3	2.7	Genes upregulated in LNM52
Hs.516539	HNRPA3	Heterogeneous nuclear ribonucleoprotein A3	2.5	Genes upregulated in LNM53
Hs.350966	PTTG1	Pituitary tumor-transforming 1	2.5	Genes upregulated in LNM54
Hs.82890	DAD1	Defender against cell death 1	2.5	Genes upregulated in LNM55
Hs.155218	HNRPUL1	Heterogeneous nuclear ribonucleoprotein U-like 1	2.4	Genes upregulated in LNM56
Hs.499709	SLC16A9	Solute carrier family 16 (monocarboxylic acid transporters), member 9	2.3	Genes upregulated in LNM57
Hs.444986	METAP2	Methionyl aminopeptidase 2	2.3	Genes upregulated in LNM58
Hs.105465	SNRPF	Small nuclear ribonucleoprotein polypeptide F	2.3	Genes upregulated in LNM59
Hs.519880	TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2.3	Genes upregulated in LNM60
Hs.125898	GNAS	GNAS complex locus	2.3	Genes upregulated in LNM61
Hs.150580	SUI1	Suppressor of initiator codon mutations	0.5	Genes downregulated in LNM35
Hs.503787	DARS	Aspartyl-tRNA synthetase	0.5	Genes downregulated in LNM36
Hs.406013	KRT18	Keratin 18	0.5	Genes downregulated in LNM37
Hs.461086	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	0.4	Genes downregulated in LNM38
Hs.390738	FLJ20366	Hypothetical protein FLJ20366	0.4	Genes downregulated in LNM39
Hs.524430	NR4A1	Nuclear receptor subfamily 4, group A, member 1	0.4	Genes downregulated in LNM40
Hs.172648	DLX4	Distal-less homeobox 4	0.4	Genes downregulated in LNM41
Hs.511915	ENO2	Enolase 2 (gamma, neuronal)	0.4	Genes downregulated in LNM42
Hs.348883	FOXC1	Forkhead box C1	0.4	Genes downregulated in LNM43
Hs.418123	CTSL	Cathepsin L-like 3	0.3	Genes downregulated in LNM44
Hs.534360	TRIP6	Thyroid hormone receptor interactor 6	0.3	Genes downregulated in LNM45
Hs.28988	GLRX	Glutaredoxin (thioltransferase)	0.3	Genes downregulated in LNM46
Hs.531081	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	0.3	Genes downregulated in LNM47
Hs.433732	CLK1	CDC-like kinase 1	0.3	Genes downregulated in LNM48
Hs.28491	SAT	Spermidine/spermine N1-acetyltransferase	0.2	Genes downregulated in LNM49
Hs.531176	SARS	Seryl-tRNA synthetase	0.2	Genes downregulated in LNM50
Hs.404321	GARS	Glycyl-tRNA synthetase	0.2	Genes downregulated in LNM51
Hs.497599	WARS	Tryptophanyl-tRNA synthetase	0.1	Genes downregulated in LNM52
