Function	Affymetrix probe ID	GenBank accession no.	Gene	Gene	Expression in APC10.1 (scaled signal)	Log ratio compared to: Normal intestine	Log ratio compared to: Adenoma
Wnttargetgenes	103821_at	AJ223087	Cdc6	cell division cycle 6 homolog (S. cerevisiae)	264	2.5	2.6
Wnttargetgenes	100062_at	X62154	Mcm3	minichromosome maintenance deficient 3	185	2.5	1.9
Wnttargetgenes	104527_at	D13803	Rad51	RAD51 homolog (S. cerevisiae)	235	2.3	2.7
Wnttargetgenes	104221_at	AB017189	Slc7a5	solute carrier family 7, member 5	622	2.2	1.6
Wnttargetgenes	103005_s_at	X66084	Cd44	Cd44 antigen (standard)	66	1.9	0.2
Wnttargetgenes	93469_at	Z49086	Ephb3	Eph receptor B3	66	1.8	0.6
Wnttargetgenes	100156_at	D26090	Mcm5	minichromosome maintenance deficient 5	407	1.7	2
Wnttargetgenes	95527_at	AJ132771	Chaf1a	chromatin assembly factor 1, subunit A (p150)	40	1.7	2
Wnttargetgenes	93041_at	D26089	Mcm4	minichromosome maintenance deficient 4	276	1.7	1.5
Wnttargetgenes	104712_at	L00039	Myc	myelocytomatosis oncogene	77	1.7	1.1
Wnttargetgenes	97729_at	U65079	Enc1	ectodermal-neural cortex 1	6	1.6	0.4
Wnttargetgenes	101521_at	AB013819	Birc5	baculoviral IAP repeat-containing 5 - survivin	256	1.2	1.5
Wnttargetgenes	97327_at	L26320	Fen1	flap structure specific endonuclease 1	160	1.1	1.7
Wnttargetgenes	98943_at	D00812	Rpa2	replication protein A2	46	1.1	0.6
Wnttargetgenes	97272_at	M99167	Hnrpa1	heterogeneous nuclear ribonucleoprotein A1	187	1	1.3
Wnttargetgenes	92458_at	AJ003133	Orc1l	origin recognition complex, subunit 1-like	28	1	1.2
Wnttargetgenes	92647_at	U35141:	Rbbp4	retinoblastoma binding protein 4	250	0.9	0
Wnttargetgenes	104145_at	U81030	Tcof1	Treacher Collins Franceschetti syndrome 1, homolog	181	0.8	0.6
Wnttargetgenes	99529_f_at	AB025011	Rnf138	ring finger protein 138 - STRIN	26	0.8	-0.4
Wnttargetgenes	101065_at	X57800	Pcna	proliferating cell nuclear antigen	468	0.4	0.4
Wnttargetgenes	99577_at	M57647	Kitl	kit ligand	111	0.4	-1.2
Wnttargetgenes	96644_at	AF007802	Bysl	bystin-like	7	0.1	1.5
Wnttargetgenes	100133_at	M27266	Fyn	Fyn proto-oncogene	36	0.1	-0.7
Wnttargetgenes	99500_at	U13174	Slc12a2	solute carrier family 12, member 2	456	0.1	-0.8
Wnttargetgenes	103004_r_at	U57611	Cd44	CD44 antigen exon 15 (v10)	1	-0.2	0
Wnttargetgenes	93455_s_at	X56848	Bmp4	bone morphogenetic protein 4	30	-0.7	-1.6
