Gene name	Common name	GenBank accession no.	Fold change 0–2 h	0–12 h	Pathway
Aminolevulinic acid synthase 1	Alas1	NM_024484	0.45	0.85	Metabolism/biosynthesis/enzyme activity
Lysozyme	Lyz	L12458	2.02	1.22	Metabolism/biosynthesis/enzyme activity
ER transmembrane protein Dri 42	Ppap2b	AI77031	2.89	1.65	Metabolism/biosynthesis/enzyme activity
Prostaglandin-endoperoxide synthase 1	Ptgs1	NM_017043	0.35	0.51	Metabolism/biosynthesis/enzyme activity
NAD(P)H dehydrogenase, quinone 1	Nqo1	J02679	1.11	2.15	Metabolism/biosynthesis/enzyme activity
Farnesyltransferase, CAAX box, ?	Fntb	M69056	0.46	0.95	Metabolism/biosynthesis/enzyme activity
Superoxide dismutase 2	Sod2	BG671549	0.5	0.69	Metabolism/biosynthesis/enzyme activity
Chemokine (C-X-C motif) ligand 10	Cxcl10	U22520	2.42	1.02	Cytokine/chemokine activity/inflammatory/immune response
IL-6	Il6	NM_012589	0.25	0.45	Cytokine/chemokine activity/inflammatory/immune response
IL-12b	Il12b	NM_022611	0.48	0.54	Cytokine/chemokine activity/inflammatory/immune response
RT1 class lb, locus S3	RT1.S3	AJ243974	2.23	1.09	Cytokine/chemokine activity/inflammatory/immune response
Oxidized low density lipoprotein (lectin-like) receptor 1	Olr1	NM_133306	0.3	0.53	Cytokine/chemokine activity/inflammatory/immune response
2?,5?-oligoadenylate synthetase 1, 40/46 kDa	Oas1	Z18877	2.63	1.05	Cytokine/chemokine activity/inflammatory/immune response
Proteosome (prosome, macropain) subunit, ? type 9	Psmb9	AI599350	2.25	0.99	Cytokine/chemokine activity/inflammatory/immune response
Regulator of G-protein signalling 3	Rgs3	NM_019340	0.48	0.76	Cytokine/chemokine activity/inflammatory/immune response
Myxovirus resistance 2	Mx2	NM_017028	6.72	1.26	Cytokine/chemokine activity/inflammatory/immune response
Protein kinase, interferon-inducible double-stranded RNA dependent	Prkr	NM_019335	2.39	0.77	Cytokine/chemokine activity/inflammatory/immune response
Jun-B oncogene	Junb	NM_021836	0.45	0.83	Transcriptional factor activity
Inhibitor of DNA binding 3	Id3	AF000942	0.42	0.6	Transcriptional factor activity
CCAAT/enhancer binding protein (C/EBP), ?	Cebpd	NM_013154	0.27	0.86	Transcriptional factor activity
Testis specific histone 2a	Th2a	AI235236	1.92	2.69	Transcriptional factor activity
Inhibitor of DNA binding 1	Id1	M86708	0.5	0.4	Transcriptional factor activity
Early growth response 1	Egr1	NM_012551	0.79	0.49	Transcriptional factor activity
EST (Similar to interferon inducible GTPase)		AI408440	4.15	0.88	Signal transduction/GTPase activity
Guanylate nucleotide binding protein 2	Gbp2	NM_133624	3.65	1.24	Signal transduction/GTPase activity
IGF binding protein 3	Igfbp3	NM_012588	0.46	0.88	Regulation of growth
IGF binding protein 2	Igfbp2	NM_013122	1.44	2.17	Regulation of growth
WNT1 inducible signaling pathway protein 2	Wisp2	NM_031590	1.36	2.13	Regulation of growth
Growth differentiation factor 8	Gdf8	NM_019151	0.39	0.47	Regulation of growth
Matrix Gla protein	Mgp	NM_012862	0.48	0.93	Regulation of growth
Lipocalin 2	Lcn2	NM_130741	0.32	0.72	Transport activity
Peptidyl Isomerase	Ppicap	AF065438	2.09	1.22	Transport activity
Retinol binding protein 1, cellular	Rbp1	NM_012733	0.47	0.91	Transport activity
Fatty acid binding protein 3	Fabp3	NM_024162	0.39	0.51	Transport activity
Monocarboxylate transporter	Mct3	NM_030834	0.61	0.45	Transport activity
Tissue inhibitor of metalloproteinase 3 (EST)	Timp3	AI009159	2.12	1.73	Apoptosis
TNF-r receptor superfamily, member 11b (osteoprotegerin)	Tnfrsf11b	NM_012870	1.19	2.73	Apoptosis
Cysteine knot superfamily 1 (gremlin 1 homolog)	Cktsf1b1	NM_019282	0.37	1.3	Cell-cell signaling
Adrenomedullin	Adm	NM_012715	0.83	0.49	Cell-cell signaling
Late gestation lung protein 1	Lgl1	AF109674	1.54	2.12	Cell-cell signaling
Gap junction channel protein ?5	Gja5	NM_019280	0.5	0.54	Cell-cell signaling
Cyclin dependent kinase inhibitor 2A	Cdkn2a	AF474976	0.47	1.26	Cell cycle related
Complement component 3	C3	NM_016994	1.32	3.74	Complement activation
EST (decay accelerating factor-1)	Daf-1	AB032395	0.31	0.34	Complement activation
EST (putative secretory protein)	Damp1	BM385476	2.11	1.34	Unknown
EST		AI071994	0.39	0.47	Unknown
EST		AI407953	2.56	0.76	Unknown
EST		BF550246	0.47	0.82	Unknown
EST (Serine/cysteine proteinase inhibitor clade B member 1a)	SERPIN1B	BF411331	0.53	0.47	Unknown
EST (Kazal-type serine protease inhibitor domain 1)		BM383122	0.49	0.65	Unknown
EST	Gja5	M83092	0.59	0.47	Unknown
EST	Ly6e	AI233210	2.34	1.3	Unknown
EST	Irf7	BF411036	2.48	0.89	Unknown
EST	Bat1a	BG371810	0.46	0.95	Unknown
EST		AA850881	0.48	0.62	Unknown
EST	Parp9	AA819679	2.3	0.88	Unknown
EST (LIM and senescent cell antigen-like domain 1)		AA799637	1.7	2.53	Unknown
EST		BI289459	2.22	0.87	Unknown
EST		BF398599	2.43	0.96	Unknown
EST (histone deacetylase 11)		AI101322	0.36	0.85	Unknown
EST (platelet Factor 4)		AI169104	3.03	1.31	Unknown
EST (similar to ubiquitin specific protease 18)		BI295179	5.57	0.99	Unknown
EST (moderately similar to sterile ? motiff domain containing 9)		AA998964	3.82	0.82	Unknown
EST (similar to cullin 4a)		AI80403	2.92	0.97	Unknown
EST		AI233121	2.08	0.95	Unknown
EST		AA894340	2.06	1.04	Unknown
EST (Best5 protein)	Best5	AI409634	3.5	0.77	Unknown
EST		AI169756	0.55	0.41	Unknown
