Location	HUGO name	Gene description	Accession	Fold change	P value
1p12	SLC16A1	solute carrier family 16 (monocarboxylic acid transporters), member 1	AU131482	-2.12	0.038822
1p13.1	RHOC	ras homolog gene family, member C	NM_005167	-3.22	0.006689
1p13.1	LRIG2	Leucine-rich repeats and immunoglobulin-like domains 2	BF967997	-2.21	0.019815
1p13.1	TRIM33	tripartite motif-containing 33	AF220137	-3.98	0.000855
1p13.2	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	AA479488	-2.55	0.003479
1p13.2	FLJ11220	round spermatid basic protein 1	BE888593	-1.96	0.00305
1p13.2	HIPK1	homeodomain interacting protein kinase 1	AI393355	-2.8	0.002893
1p13.3	LOC284611	hypothetical protein LOC284611	AI478747	-2	0.004772
1p13.3	FLJ10330	sarcoma antigen NY-SAR-27	N32872	-2.48	0.001926
1p13.3	KIAA0893	WD repeat domain 47	NM_014969	-2.02	0.001074
1p13.3	AD-020	protein x 013	AV712912	-1.52	0.012299
1p13.3	KIAA1324	maba1	AI565067	-1.58	0.037352
1p13.3	GSTM2	glutathione S-transferase M2 (muscle)	NM_000848	-1.43	0.021644
1p13.3	GSTM1	glutathione S-transferase M1	NM_000561	-1.46	0.029467
1p13.3	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	NM_002232	-2.18	0.039484
1p13.3-p13.1	SARS	Seryl-tRNA synthetase	AU147785	-2.86	0.003108
1p13.3-p13.1	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	AW665758	-3.58	0.035663
1p21	SLC35A3	solute carrier family 35, member A3	NM_012243	-1.63	0.009161
1p21	CDC14A	CDC14 cell division cycle 14 homolog A (S. cerevisiae)	NM_003672	-3.85	0.03125
1p21	FLJ25070	U11/U12 snRNP 65K	BF116157	-2.01	0.030256
1p21	AMY2A	amylase, alpha 2A; pancreatic	NM_004038	-2.89	0.022208
1p21	KCNC4	Potassium voltage-gated channel, Shaw-related subfamily, member 4	BF061003	1.55	0.044972
1p21.2	SLC30A7	Solute carrier family 30 (zinc transporter), member 7	AI571719	-3.05	0.016005
1p21.3	FLJ31842	Hypothetical protein FLJ31842	AI004375	-4.71	0.000034
1p21.3	RWDD3	RWD domain containing 3	NM_015485	-1.89	0.03797
1p21.3	HIAT1	Hippocampus abundant transcript 1	BF433103	-2.51	0.009353
1p21.3-p13.1	SORT1	sortilin 1	BE622952	-3.65	0.011124
1p22	BCL10	B-cell CLL/lymphoma 10	AA994334	-2.8	0.010142
1p22	EVI5	ecotropic viral integration site 5	AF008915	-2.06	0.019553
1p22.1	GLMN	Glomulin, FKBP associated protein	AA814383	-3.72	0.028318
1p22.1	M96	likely ortholog of mouse metal response element binding transcription factor 2	AI566096	-1.78	0.040996
1p22.1	NY-SAR-41	Sarcoma antigen NY-SAR-41	AL139421	-3.37	0.018667
1p22.1	DR1	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	AW516932	-1.88	0.017588
1p22.1	BCAR3	breast cancer anti-estrogen resistance 3	NM_003567	-2.97	0.001626
1p22.1	ERBP	estrogen receptor binding protein	NM_014597	-1.82	0.013357
1p22.1	GCLM	Glutamate-cysteine ligase, modifier subunit	AA630626	-4.15	0.00606
1p22.1-p21.3	PTBP2	polypyrimidine tract binding protein 2	NM_021190	-2.9	0.016964
1p22.2	GBP2	guanylate binding protein 2, interferon-inducible	NM_004120	-2.31	0.027883
1p22.2	FAD158	factor for adipocyte differentiation 158	AL136919	-2.54	0.023304
1p22.2	Zep-2	zinc finger protein 644	AK023596	-2.35	0.016095
1p22.3	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	R52678	-3.01	0.028614
1p22.3	FLJ13815	Hypothetical protein FLJ13815	N90719	-11.7	0.007256
1p22.3	LMO4	LIM domain only 4	AI824831	-2.3	0.002125
1p22-p21	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	BC009712	-1.46	0.022098
1p31.1	FLJ35093	FLJ35093 protein	AI078279	-1.72	0.007329
1p31.1	FUBP1	Far upstream element (FUSE) binding protein 1	AA830144	-2.38	0.004728
1p31.1	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	BG252490	-2.39	0.001515
1p31.1	LPHN2	latrophilin 2	NM_012302	-8.76	0.023948
1p31.1	FLJ23033	hypothetical protein FLJ23033	NM_024686	-2.39	0.005656
1p31.1-p22.1	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	AK023260	-1.83	0.005176
1p36.13	FLJ20719	hypothetical protein LOC200030	BE299495	-1.8	0.023291
1pter-q31.3	CGI-100	transmembrane emp24 protein transport domain containing 5	AL117354	-1.97	0.037432
1pter-q31.3	FLJ10287	hypothetical protein FLJ10287	AK001149	-3.41	0.024595
1q12	RBM8A	RNA binding motif protein 8A	AF182415	1.64	0.024916
1q12-1q21.2	DJ328E19.C1.1	AG1 protein	AB051480	-1.81	0.005138
1q12-q21	SF3B4	splicing factor 3b, subunit 4, 49kDa	BC004273	1.61	0.009002
1q21	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein	NM_003001	1.54	0.013163
1q21	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	NM_002796	1.41	0.002501
1q21	CTSS	cathepsin S	BC002642	1.4	0.005639
1q21	MTX1	metaxin 1	BC001906	1.41	0.028515
1q21	SLC39A1	solute carrier family 39 (zinc transporter), member 1	NM_014437	1.44	0.004234
1q21	FCRL2	SH2 domain containing phosphatase anchor protein 1	AF319440	1.4	0.019762
1q21.1	POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	BC004424	1.43	0.047676
1q21.1	PPIAL4	cyclophilin-LC	AL022240	1.65	0.024484
1q21.2	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	NM_002810	1.8	0.00265
1q21.2	HIST2H2AA	histone 2, H2aa	AI313324	2.35	0.002956
1q21.2	SCNM1	sodium channel modifier 1	NM_024041	1.54	0.019619
1q21.2	FAM63A	hypothetical protein FLJ11280	AL561943	1.42	0.029611
1q21.2	LASS2	LAG1 longevity assurance homolog 2 (S. cerevisiae)	AK001105	1.4	0.02305
1q21.2	C1orf43	chromosome 1 open reading frame 43	BC000152	1.27	0.011127
1q21.2	ENSA	endosulfine alpha	AV726322	1.51	0.000147
1q21.2-q21.3	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)	BC001364	1.52	0.004812
1q21.3	ILF2	interleukin enhancer binding factor 2, 45kDa	NM_004515	1.35	0.018243
1q21.3	HAX1	HS1 binding protein	NM_006118	1.58	0.007124
1q21.3	C1orf77	DKFZP547E1010 protein	AF261137	1.28	0.004954
1q21.3	SNAPAP	SNAP-associated protein	BC000761	1.67	0.03075
1q21.3-q22	CD48	CD48 antigen (B-cell membrane protein)	NM_001778	1.65	0.020844
1q21-q22	DAP3	death associated protein 3	U18321	1.34	0.024925
1q21-q22	MRPL24	mitochondrial ribosomal protein L24	NM_024540	1.6	0.013387
1q21-q23	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	AF038661	1.52	0.014544
1q22	PEX19	peroxisomal biogenesis factor 19	NM_002857	1.46	0.017511
1q22	FLAD1	FAD-synthetase	AL562282	1.45	0.028807
1q22	MAPBPIP	mitogen-activated protein-binding protein-interacting protein	NM_014017	1.47	0.030141
1q22	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	NM_018973	1.88	0.02208
1q22-q23	ATF6	activating transcription factor 6	NM_007348	2.07	0.045895
1q22-q25	TMCO1	putative membrane protein	BF002031	1.54	0.005557
1q23	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	NM_005998	1.53	0.042073
1q23	MGST3	microsomal glutathione S-transferase 3	NM_004528	1.44	0.034507
1q23	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2	NM_004550	1.54	0.022466
1q23	UCK2	uridine-cytidine kinase 2	BC002906	1.7	0.003534
1q23	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	NM_016371	-1.42	0.011137
1q23.1	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	NM_000696	1.58	0.01338
