Accession no.	Gene name	Gene symbol	Average fold change induced by indicated doses of BPA (mg/kg/day) 0.0020	Average fold change induced by indicated doses of BPA (mg/kg/day) 0.02	Average fold change induced by indicated doses of BPA (mg/kg/day) 0.5	Average fold change induced by indicated doses of BPA (mg/kg/day) 50.0	Average fold change induced by indicated doses of BPA (mg/kg/day) 400.0
K00994	Intestinal calcium binding protein or Calbindin 3	Icabp	1.1	1.1	1.3	2.4	8.2
X56326	Epsilon 1 globin or hemoglobin, gamma A	Hbg1	1.1	1.3	1.6	1.5	4.5
AI232087	ESTs, Highly similat to hydroxyacid oxidase 3 (medium-chain)		1.3	1.1	1	1.2	2.6
S64044	Progesterone receptor steroid-binding domain	Pgr	1.1	1.2	1.1	1.1	2.4
M33648	Mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase	Hmgcs2	1.1	1.1	1.1	1.1	2
D42145	Inwardly rectifying potassium channel subfamily J-8 (ATP sensitive)	Kcnj8	1.1	1.1	1.2	1.1	1.9
AA858607	ESTs		1.1	1.3	1.2	1.5	1.9
AA875032	ESTs, similar to fos-like antigen 2 [Mus musculus]		1.1	1	1.1	1.2	1.7
AF019628	Sulfonylurea receptor 2B	SUR2	1	1	1.1	1	1.6
AA893191	Brain glucose-transporter		1	1.1	1	1.1	1.6
M13979	Solute carrier family 2 (facilitated glucose transporter), member 1	Slc2a1	1.1	1.1	1.1	1	1.6
D63834	Solute carrier 16 (monocarboxylic acid transporter), member 1		1	1	1	1.3	1.6
U06713	Factor-responsive smooth muscle protein or EGL nine homolog 3	Egln3	1.1	1.1	1	1.2	1.6
X69903	Interleukin 4 receptor	IL4R	1.1	1	1.1	1.2	1.6
D90404	Cathepsin C (dipeptidyl peptidase I)	Ctsc	1	1.1	1.1	1	1.5
AA799666	ESTs, highly similar to LIM domain binding 3 [M. musculus]		1.1	1.1	1.2	1.1	1.5
AF022136	Gap junction membrane channel protein alpha 5	Gja5	1	1	1	1	1.5
AA848831	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2		1.2	1.2	1.1	1.1	1.5
D78359	Down-regulated by v-src or sushi-repeat-containing protein	Srpx	1.1	-1.1	-1.1	-1.2	-1.5
M61211	Testicular luteinizing hormone receptor	Lhcgr	1.2	1.3	1.2	1.2	-1.5
AI171796	Calpain 6	Capn6	1.1	-1.1	-1.1	-1.1	-1.5
AB016800	7-dehydrocholesterol reductase	Dhcr7	1.1	1	-1.1	-1.1	-1.5
X52625	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	Hmgcs1	1.1	-1.2	1	-1.2	-1.5
J03914	Glutathione-S-transferase, mu type 2 (Yb2)	Gstm2	-1	-1	1	-1.1	-1.6
X78848	Glutathione S-transferase A5	Gsta5	1.1	1.2	1.3	1.1	-1.6
M91652	Glutamine synthetase (glnA)	Glul	-1.1	-1.1	-1	-1.2	-1.6
Z33403	Chorionic gonadotropin or luteinizing hormone receptor	Lhcgr	-1.1	-1.1	-1.1	-1	-1.9
D89655	CD36 antigen or scavanger receptor class B type 1	Scarb1	1.1	1.3	1.3	1.3	-1.9
K01932	Glutathione-S-transferase, alpha type (Ya)		-1	1.1	1	-1.1	-2.1
S72505	Glutathione S-transferase Yc1 subunit		-1.1	1.1	1	-1.1	-2.3
J05156	Cytochrome P450, 11a, cholesterol side chain cleavage	Cyp11a1	-1	1.2	1.1	-1	-2.4
X66974	Calbindin 2 or calretinin	Calb2	-1.2	-1.1	-1.2	1.1	-2.5
J00713	Carboxypeptidase A1	Cpa1	-1.1	-1.2	-1	-1.1	-3.8
X01115	Seminal vesicle secretion 5 or SVS-protein F	Svs5	-1	1.5	1.3	1.6	-5.1
AB001349	Steroidogenic acute regulatory protein	StAR	-1.1	-1.1	-1.1	-1.6	-7.2
M21208	Cytochrome P450, subfamily XVII	Cyp17a1	1.1	1.2	1.2	-1	-17.5
