Representative public ID	Gene title	Gene ontology (biological process)	Deleted YY1 cells vs SaOs-2 cells (SLR)	Deleted YY1 cells vs SaOs-2 cells (fold change)
NM_000314	Phosphatase and tensin homologue (mutated in multiple advanced cancers 1)	Cell motility	2.7 D	?6.5
NM_002188	Interleukin (IL)-13	Cell motility	3.2 D	?9.2
NM_000700	Annexin A1	Cell motility	2.7 D	?6.5
NM_002026	Fibronectin 1	Cell motility	2.1 D	?4.1
NM_006136	Capping protein (actin filament) muscle Z-line, ?2	Cell motility	2.2 D	?4.6
NM_003238	Transforming growth factor, ?2	Cell motility	2.2 D	?4.6
NM_004342	Caldesmon 1	Cell motility	3.5 D	?11.3
NM_012120	CD2-associated protein	Cell motility	2.2 D	?4.6
NM_000430	Platelet-activating factor acetylhydrolase, isoform IB, ? subunit 45 kDa	Cell motility	2.5 D	?5.7
NM_013943	Chloride intracellular channel 4	Cell motility	2.1 D	?4.3
NM_006572	Guanine nucleotide binding protein (G protein), ?13	Cell motility	2.5 D	?5.7
NM_000905	Neuropeptide Y	Cell motility	2.6 I	6.1
NM_005430	Wingless-type mouse mammary tumor virus integration site family, member 1	Cell motility	3.9 I	14.9
NM_002094	G1 to S phase transition 1	Cell cycle	6.4 D	?84.4
NM_020307	Cyclin L1	Cell cycle	2.1 D	?4.3
NM_005380	Neuroblastoma, suppression of tumorigenicity 1	Cell cycle	3.4 D	?10.6
NM_022782	M-phase phosphoprotein 9	Cell cycle	4.8 D	?27.9
NM_002895	Retinoblastoma-like 1 (P107)	Cell cycle	2.1 D	?4.3
NM_005862	Stromal antigen 1	Cell cycle	2.6 D	?6.1
NM_000465	BRCA1-associated ring domain 1	Cell cycle	2.2 D	?4.6
NM_000321	Retinoblastoma 1 (including osteosarcoma)	Cell cycle	2.6 D	?6.1
NM_015247	Cylindromatosis (turban tumor syndrome)	Cell cycle	3.8 D	?13.9
NM_002192	Inhibin, ?A (activin A, activin AB ? polypeptide)	Cell cycle	4.3 D	?19.7
NM_001024646	CDC-like kinase 1	Cell cycle	2.5 D	?5.7
NM_001723	Dystonin	Cell cycle	5.9 D	?59.7
NM_001256	Cell division cycle 27	Cell cycle	2.9 D	?7.5
NM_002687	PININ, desmosome-associated protein	Cell cycle	2.3 D	?4.9
NM_144710	Septin 10	Cell cycle	2.6 D	?6.1
NM_002894	Retinoblastoma binding protein 8	Cell cycle	2.6 D	?6.1
NM_017589	B-cell translocation gene 4	Cell cycle	4.5 D	?22.6
NM_003478	Cullin 5	Cell cycle	3.3 D	?9.8
NM_006910	Retinoblastoma binding protein 6	Cell cycle	2.6 D	?6.1
NM_003318	TTK protein kinase	Cell cycle	2.8 D	?7.0
NM_012090	Microtubule-actin cross-linking factor 1	Cell cycle	2.5 D	?5.7
NM_001001992	Ubiquitin-specific peptidase 16	Cell cycle	3.0 D	?8.0
NM_001786	Cell division cycle 2, G1 to S and G2 to M	Cell cycle	2.2 D	?4.6
NM_000038	Adenomatosis polyposis coli	Cell cycle	4.1 D	?17.1
NM_005611	Retinoblastoma-like 2 (P130)	Cell cycle	2.3 D	?4.9
NM_057735	Cyclin E2	Cell cycle	2.7 D	?6.5
NM_002890	RAS P21 protein activator (GTPase activating protein) 1	Cell cycle	2.1 D	?4.3
NM_004060	Cyclin G1	Cell cycle	2.0 D	?4.0
NM_006283	Transforming, acidic coiled-coil containing protein 1	Cell cycle	2.4 D	?5.3
NM_018667	Sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)	Cell cycle	2.0 I	4
NM_000076	Cyclin-dependent kinase inhibitor 1C (P57, KIP2)	Cell cycle	2.1 I	4.3
NM_014751	Metastasis suppressor 1	Cell cycle	2.7 I	6.5
NM_001494	IL-1 receptor accessory protein	Cell adhesion	5.0 D	?32.0
NM_004652	IL-1 receptor, type I	Cell adhesion	2.5 D	?5.7
NM_001430	IL-13 receptor, ?1	Cell adhesion	2.8 D	?7.0
NM_005744	IL-7	Cell adhesion	2.0 D	?4.0
NM_003463	IL-7 receptor	Cell adhesion	3.1 D	?8.6
NM_002869	IL-1 receptor-associated kinase 1 binding protein 1	Cell adhesion	2.6 D	?6.1
NM_006185	IL-1 receptor-associated kinase 4	Cell adhesion	3.1 D	?8.6
