Accession no.	Gene	Description	WT-vehvs.WT-P4	WT-P4vs.PRKO-P4	WT-P4vs.PRKOveh	Functional Category
AW046181	Sgk	Serum/glucocorticoid-regulated kinase	2.12	2.52	2.23	Apoptosis
L49507	Ccng1	Cyclin G1	1.58	1.94	2.21	Cell cycle
AV228594	Brrn1	Barren homolog (Drosophila)	1.8	1.52	1.43	Cell cycle
M25944	Car2	Carbonic anhydrase 2	?2.00	?1.99	?1.95	Metabolism
M60474	Marcks	Myristoylated alanine-rich protein kinase C substrate	?1.42	?1.54	?1.51	Metabolism
M85153	Ggta1	Glycoprotein galactosyltransferase ?1,3	1.37	1.36	1.44	Metabolism
M74570	Aldh1a1	Aldehyde dehydrogenase family 1, subfamily A1	1.6	1.19	1.29	Metabolism
AI839918	Gars	Glycyl-tRNA synthetase	1.52	1.7	1.72	Metabolism
M84147	Adh5	ADH5 (class III), ? polypeptide	1.62	1.65	1.63	Metabolism
Y14004	Cte1	Cytosolic acyl-CoA thioesterase 1	1.75	1.68	1.92	Metabolism
Z11911	G6pdx	Glucose-6-phosphate dehydrogenase X-linked	1.75	1.74	1.72	Metabolism
AI021573	Pfkfb3	6-Phosphofructo-2-kinase/fructose-biphosphatase 3	1.75	2.65	3.07	Metabolism
AW120868	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	1.81	1.83	1.76	Metabolism
U42443	Bcat1	Branched chain aminotransferase 1, cytosolic	1.85	1.48	1.75	Metabolism
AI841279	Bach	Brain acyl-CoA hydrolase	2.18	2.85	2.72	Metabolism
AI842259	Pdk3	Pyruvate dehydrogenase kinase, isoenzyme 3	2.2	2.82	2.55	Metabolism
D86176	Pip5k1a	Phosphatidylinositol-4-phosphate 5-kinase, type 1?	2.23	2.01	2.02	Metabolism
Y12657	Cyp26a1	Cytochrome P450, family 26, subfamily a, polypeptide 1	10.82	9.62	8.1	Metabolism
J03877	Klk16	Klk16	1.45	1.56	1.581	Proteolysis
J00389	Klk26	Klk26	1.461	1.71	1.621	Proteolysis
Y00500	Klk6	Klk6	1.72	1.78	1.71	Proteolysis
