DAVIDID	EG	logFC_EG	P.Value_EG	adj.P.Val_EG	ENSID	logFC_ENS	P.Value_ENS	adj.P.Val_ENS	RSID	logFC_RS	P.Value_RS	adj.P.Val_RS	GeneName
169404	84032	5.446828824	2.87E-12	3.11E-09	ENSRNOG00000003357	5.437366101	4.42E-12	5.60E-09	NM_032085	5.573801985	9.57E-14	6.26E-10	COLLAGEN, TYPE III, ALPHA 1
200403	81682	5.201012808	3.91E-13	8.76E-10	ENSRNOG00000004610	5.220403346	5.30E-13	1.34E-09	NM_031050	5.305738865	2.23E-13	6.26E-10	LUMICAN
166283	29393	5.190952307	2.14E-12	3.09E-09	ENSRNOG00000003897	5.16152487	2.13E-12	3.43E-09	XM_213440	5.325017507	2.60E-13	6.26E-10	COLLAGEN, TYPE 1, ALPHA 1
165486	84352	4.303207098	2.50E-12	3.09E-09	ENSRNOG00000011292	4.270269935	2.25E-12	3.43E-09	NM_053356	4.405613833	1.83E-12	2.52E-09	PROCOLLAGEN, TYPE I, ALPHA 2
151033	24772	3.302856456	5.65E-11	3.66E-08	ENSRNOG00000013589	3.490483895	3.82E-11	2.91E-08	NM_022177	2.507491816	4.68E-09	8.90E-07	CHEMOKINE (C-X-C MOTIF) LIGAND 12
167014	64032	3.277799486	7.23E-06	0.000126035	ENSRNOG00000015036	3.264168521	5.43E-06	0.000108788	NM_022266	3.295888087	8.30E-06	0.000136737	CONNECTIVE TISSUE GROWTH FACTOR
166800	25236	3.139293771	6.24E-09	9.84E-07	ENSRNOG00000022684	2.699573676	5.59E-10	2.31E-07	NM_012774	2.551229069	3.95E-09	8.16E-07	GLYPICAN 3
166489	287526	2.954255354	6.65E-12	5.80E-09	ENSRNOG00000003172	2.981398851	6.76E-12	6.48E-09	NM_177927	2.878093255	5.30E-09	9.57E-07	SERINE (OR CYSTEINE) PROTEINASE INHIBITOR, CLADE F), MEMBER 1
200727	56646	2.54598615	1.96E-09	4.27E-07	ENSRNOG00000009884	2.541926053	1.19E-09	3.22E-07	NM_019904	2.701090516	1.90E-09	4.65E-07	LECTIN, GALACTOSE BINDING, SOLUBLE 1
167023	361821	2.432027438	1.33E-11	9.59E-09	ENSRNOG00000001254	2.411632041	8.26E-12	6.97E-09	XM_342115	2.441873821	1.61E-11	1.18E-08	PROCOLLAGEN, TYPE VI, ALPHA 2
205641	114592	2.427314203	7.99E-07	2.76E-05	ENSRNOG00000005659	2.414533943	7.96E-07	2.69E-05	NM_053749	2.371618108	3.34E-07	1.49E-05	AURORA KINASE B
202330	25056	2.413770724	7.41E-10	2.68E-07	ENSRNOG00000013794	2.395578333	7.84E-10	2.59E-07	NM_012733	2.482939455	7.18E-10	2.50E-07	RETINOL BINDING PROTEIN 1, CELLULAR
205045	290905	2.373312893	6.68E-12	5.80E-09	ENSRNOG00000016281	2.356485374	6.82E-12	6.48E-09	XM_214400	2.392650287	4.86E-12	4.95E-09	PROCOLLAGEN, TYPE IV, ALPHA 1
164405	290527	2.358321615	2.07E-08	2.07E-06	ENSRNOG00000010984	2.339494862	1.30E-08	1.45E-06	NM_001011918	2.366178912	2.31E-08	2.51E-06	ANNEXIN A11
153605	24153	2.308025143	2.99E-06	6.76E-05	ENSRNOG00000028896	2.28829638	2.21E-06	5.68E-05	NM_012488	2.300498607	3.23E-06	7.19E-05	ALPHA-2-MACROGLOBULIN
161713	192179	2.277353668	3.32E-08	2.85E-06	ENSRNOG00000004613	2.269955974	2.42E-08	2.22E-06	NM_138846	2.221786976	3.83E-08	3.45E-06	GLYCOPROTEIN M6B
162771	83619	2.22669114	1.57E-08	1.77E-06	ENSRNOG00000001548	0.869979825	3.58E-05	0.000416972	NM_031789	2.20429935	2.91E-08	2.89E-06	NUCLEAR FACTOR, ERYTHROID DERIVED 2, LIKE 2
204529	25585	2.171633705	1.45E-07	8.34E-06	ENSRNOG00000026124	2.150278092	1.08E-07	6.80E-06	NM_013058	2.157766825	1.64E-07	9.28E-06	INHIBITOR OF DNA BINDING 3
163631	85251	2.153291831	3.87E-08	3.11E-06	ENSRNOG00000001229	3.036385409	2.33E-09	4.92E-07	XM_241632	1.884129457	1.97E-07	1.04E-05	COLLAGEN, TYPE XVIII, ALPHA 1
163753	60357	2.137786816	1.27E-09	3.44E-07	ENSRNOG00000003098	2.122084038	7.63E-10	2.59E-07	NM_021751	2.146536159	1.28E-09	3.92E-07	PROMININ 1
200452	171163	2.129086613	5.30E-09	8.84E-07	ENSRNOG00000012876	2.185715145	4.06E-09	7.16E-07	NM_133623	1.837932804	7.88E-09	1.24E-06	SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER, GABA), MEMBER 13
157036	25692	2.128472118	9.18E-10	2.91E-07	ENSRNOG00000019018	2.122848676	9.17E-10	2.79E-07	NM_013151	2.130673496	6.76E-10	2.49E-07	PLASMINOGEN ACTIVATOR, TISSUE
151165	114709	2.036615532	1.07E-07	6.57E-06	ENSRNOG00000014936	2.022300702	6.87E-08	4.86E-06	NM_030833	2.043042356	1.32E-07	8.21E-06	INTERFERON-INDUCIBLE PROTEIN 16
151698	24596	2.02466283	1.57E-09	3.70E-07	ENSRNOG00000005392	2.04818454	1.63E-09	3.99E-07	NM_012610	2.092688263	7.40E-09	1.18E-06	NERVE GROWTH FACTOR RECEPTOR (TNFR SUPERFAMILY, MEMBER 16)
160810	296851	1.986009243	2.06E-07	1.02E-05	ENSRNOG00000009112	1.97732492	1.42E-07	7.86E-06	NM_001013082	1.9919783	2.40E-07	1.18E-05	PARAOXONASE 2
166726	307288	1.983612663	3.33E-08	2.85E-06	ENSRNOG00000015225	1.971217947	2.05E-08	2.03E-06	NM_001014011	1.925741903	3.76E-08	3.43E-06	SIMILAR TO RIKEN CDNA 9130427A09
191241	83469	1.950337871	2.45E-08	2.31E-06	ENSRNOG00000015285	1.954202182	4.28E-08	3.42E-06	NM_031322	1.942285102	1.95E-08	2.34E-06	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 4
151380	85250	1.934654988	3.31E-08	2.85E-06	ENSRNOG00000003736	2.270658629	1.45E-08	1.60E-06	XM_343564	1.983462085	4.25E-08	3.76E-06	COLLAGEN, TYPE V, ALPHA 2
166982	25625	1.92361723	2.61E-06	6.02E-05	ENSRNOG00000031312	1.997172619	9.23E-07	3.04E-05	NM_013091	1.895151416	3.80E-06	8.23E-05	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 1A
153539	54237	1.901779717	1.07E-05	0.000164285	ENSRNOG00000000632	1.886797087	7.92E-06	0.00014259	NM_019296	1.875267963	1.46E-05	0.000205008	CELL DIVISION CYCLE 2 HOMOLOG A (S. POMBE)
205436	394266	1.90083199	3.59E-05	0.000404098	ENSRNOG00000008855	1.936627075	2.16E-05	0.000283259	NM_001004099	1.881331013	4.89E-05	0.000519524	GAP JUNCTION CHANNEL PROTEIN CONNEXIN 26
163633	25267	1.857948656	9.47E-09	1.35E-06	ENSRNOG00000002244	1.71352051	1.65E-08	1.72E-06	XM_214030	1.856902442	1.15E-08	1.65E-06	PLATELET DERIVED GROWTH FACTOR RECEPTOR, ALPHA POLYPEPTIDE
159660	246323	1.848769424	1.39E-06	3.97E-05	ENSRNOG00000004708	1.882554065	7.02E-07	2.42E-05	NM_145093	1.808553986	2.19E-06	5.51E-05	ALANINE AND ARGININE RICH DOMAIN CONTAINING PROTEIN
165477	25661	1.836464407	8.80E-07	2.95E-05	ENSRNOG00000014288	1.821259887	6.45E-07	2.31E-05	NM_019143	1.835181598	1.07E-06	3.31E-05	FIBRONECTIN 1
151695	64513	1.779198377	1.86E-06	4.85E-05	ENSRNOG00000005917	1.771164174	3.21E-06	7.45E-05	NM_033485	1.76122894	1.64E-06	4.47E-05	PRKC, APOPTOSIS, WT1, REGULATOR
200399	54702	1.7783611	1.35E-08	1.59E-06	ENSRNOG00000005053	1.806480578	2.18E-08	2.07E-06	NM_019371	1.647274057	4.85E-08	4.14E-06	EGL NINE HOMOLOG 3 (C. ELEGANS)
163998	29539	1.763837522	2.18E-10	1.11E-07	ENSRNOG00000001344	1.841990338	2.67E-10	1.35E-07	NM_032416	1.866080926	4.62E-10	1.98E-07	ALDEHYDE DEHYDROGENASE 2
165811	25615	1.753060457	3.03E-08	2.71E-06	ENSRNOG00000004936	1.745806366	1.84E-08	1.89E-06	NM_013082	1.699783768	8.11E-08	5.67E-06	SYNDECAN 2
200934	83689	1.742981062	4.69E-10	1.94E-07	ENSRNOG00000000304	1.730323	1.99E-10	1.16E-07	NM_031812	1.75131417	4.63E-10	1.98E-07	CD164 ANTIGEN
169270	84426	1.741500815	1.09E-07	6.61E-06	ENSRNOG00000013166	1.630580291	1.62E-07	8.52E-06	NM_053402	1.730575168	1.11E-07	7.14E-06	WINGLESS-RELATED MMTV INTEGRATION SITE 4
