Unigene	Gene name	Description	Map	Av. tumor/av. Mucosa	P
Hs.12341	ADAR	Adenosine deaminase, RNA-specific, transcript variant ADAR-c	1q21.1-q21.2	1.9791	<1e-7
Hs.158932	APCc	Adenomatosis polyposis coli	5q21-q22	0.7384	0.0413
Hs.512765	AXIN1	Axin 1, transcript variant 2	16p13.3	1.7782	<1e-7
Hs.156527	AXIN2	Axin 2 (conductin, axil)	17q23-q24	2.0671	2.00E-07
Hs.485139	BAK1c	BCL2-antagonist/killer1	6p21.3	0.9225	0.2576
Hs.150749	BCL2b	B-cellCLL/lymphoma2	18q21.33	0.9042	0.2731
Hs.514527	BIRC5x	Baculoviral IAP repeat-containing 5, transcript variant 1	17q25	1.0325	0.8202
Hs.500812	BTRCb	Beta-Transducin repeat containing, transcript variant 2	10q24.32	0.5603	0.0012
Hs.418533	BUB3k	BUB3 budding uninhibited by benzimidazoles 3 homologue (yeast), transcript variant 1	10q26	0.6673	0.0123
Hs.141125	CASP3b	Caspase-3, apoptosis-related cysteine protease, transcript variant h	4q34	1.2255	0.0026
Hs.523852	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	11q13	2.2010	4.00E-07
Hs.502328	CD44{	CD44antigen(homingfunctionand	11p13	2.5796	<1e-7
Hs.461086	CDH1b	Cadherin1,type1,E-cadherin(epithelial)	16q22.1	1.1212	0.3919
Hs.370771	CDKN1Ab	Cyclin-dependentkinaseinhibitor1A(p21,Cip1), transcriptvariant1	6p21.2	0.8853	0.2620
Hs.238990	CDKN1Bb	Cyclin-dependentkinaseinhibitor1B(p27,Kip1)	12p13.1-p12	1.0632	0.4335
Hs.446747	CLN3k	Ceroid-lipofuscinosis,neuronal3,juvenile (Batten,Spielmeyer-Vogtdisease)	16p12.1	1.2865	0.0967
Hs.442592	CSNK1A1b	(Batten,Spielmeyer-Vogtdisease)Caseinkinase1,a1	5q32	0.9459	0.5741
Hs.446484	CSNK2A1	Caseinkinase2,a1polypeptide,transcriptvariant3	20p13	0.4632	<1e-7
Hs.208597	CTBP1k	COOH-terminalbindingprotein1,transcriptvariant1	4p16	1.4123	<1e-7
Hs.476018	CTNNB1	Catenin (cadherin-associated protein), h1, 88 kDa	3p21	1.8724	<1e-7
Hs.82407	CXCL16b	Chemokine (C-X-Cmotif) ligand 16	17p13	0.7647	0.0007
Hs.156316	DCNk	Decorin ,transcript variant C	12q13.2	0.6550	0.0444
Hs.172648	DLX4k	Distal-less homeobox 4, transcript variant 2	17q21.33	1.4522	0.0001
Hs.335034	DPYD	Dihydropyrimidine dehydrogenase	1p22	0.2588	1.40E-05
