Official Symbol	Accession number and gene name	ratio of expression in SPNP vs. normal pancreas	p value
SERPINA3	NM_001085       Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0,01	2,08E-08
FLJ32115	NM_152321       Endoplasmic reticulum protein 27 kDa	0,02	4,41E-08
ALB	NM_000477       Albumin	0,02	3,66E-08
PDIP	NM_006849       Protein disulfide isomerase family A, member 2	0,02	3,67E-09
CFTR	NM_000492       Cystic fibrosis transmembrane conductance regulator	0,02	2,81E-08
MMP7	NM_002423       Matrix metallopeptidase 7 (matrilysin, uterine)	0,03	9,11E-08
RARRES2	NM_002889       Retinoic acid receptor responder (tazarotene induced) 2	0,03	3,43E-06
LGALS2	NM_006498       Lectin, galactoside-binding, soluble, 2	0,03	2,35E-07
CUZD1	NM_022034       CUB and zona pellucida-like domains 1	0,03	1,01E-07
PNLIPRP1	NM_006229       Pancreatic lipase-related protein 1	0,03	1,75E-07
FLJ14100	XR_041873        hypothetical protein FLJ14100	0,04	5,73E-08
TTR	NM_000371       Transthyretin (prealbumin, amyloidosis type I)	0,04	0,000121
TNFRSF4	NM_003327       Tumor necrosis factor receptor superfamily, member 4	0,05	7,91E-08
TACSTD2	NM_002353       Tumor-associated calcium signal transducer 2	0,05	2,98E-06
MT1G	NM_005950       Metallothionein 1G	0,05	3,02E-07
GCG	NM_002054       Glucagon	0,05	0,000254
PPY2	NR_002181       pancreatic polypeptide 2	0,05	5,75E-07
FGFR4	NM_002011       Fibroblast growth factor receptor 4	0,05	6,10E-07
CEL	NM_001807       Carboxyl ester lipase (bile salt-stimulated lipase)	0,05	3,72E-07
UBD	NM_006398       Ubiquitin D	0,05	3,19E-06
ATP1B1	NM_001677       ATPase, Na+/K+ transporting, beta 1 polypeptide	0,05	7,24E-06
FGFR3	NM_000142       Fibroblast growth factor receptor 3	0,05	8,59E-07
LTC4S	NM_000897       leukotriene C4 synthase	0,06	2,03E-06
IL22RA1	NM_021258       Interleukin 22 receptor, alpha 1	0,06	5,64E-07
C19orf32	NM_138393       Receptor accessory protein 6	0,06	2,30E-06
DEFB4	NM_004942       Defensin, beta 4	0,07	6,97E-07
MT1G	NM_005950       Metallothionein 1G	0,07	1,20E-06
MT1K	NM_176870       Metallothionein 1M	0,07	1,74E-06
FKBP11	NM_016594       FK506 binding protein 11, 19 kDa	0,07	5,36E-06
