Common name	Genbank	Affymetrix ID	Fold Change	P-value
ACPP	NM_001099	204393_s_at	0.52	0.0129
ASNS	NM_001673	205047_s_at	1.629	0.0412
AURKB	AB011446	209464_at	2.704	0.0326
BCAP29	NM_018844	205084_at	0.596	0.0199
BIRC5	NM_001168	202095_s_at	1.953	0.00548
BUB1	AF043294	209642_at	1.733	0.0286
BUB1B	NM_001211	203755_at	1.698	0.000891
C6orf210	NM_020381	219307_at	0.643	0.0199
CCNA2	NM_001237	203418_at	1.889	0.0496
CCNB1	BE407516	214710_s_at	1.689	0.00415
CCNB2	NM_004701	202705_at	1.8	0.00114
CCNE2	AF112857	211814_s_at	1.658	0.0412
CDC16	AF164598	209658_at	0.6	0.0377
CDC2	NM_001786	203214_x_at	1.834	0.0049
CDC20	NM_001255	202870_s_at	2.135	0.026
CDC25C	NM_001790	205167_s_at	1.667	0.000282
CDC6	NM_001254	203968_s_at	2.127	0.0251
CDC7	NM_003503	204510_at	1.526	0.0311
CDKN3	AF213033	209714_s_at	1.771	0.000997
CHEK1	NM_001274	205394_at	1.707	0.026
CHEK1	NM_001274	205393_s_at	1.904	0.0187
CRADD	U79115	209833_at	0.645	0.00431
DEPDC1	NM_017779	220295_x_at	1.691	0.0153
ESPL1	D79987	38158_at	2.072	0.0444
F2R	NM_001992	203989_x_at	0.47	0.0396
GTSE1	BF305380	204317_at	1.635	0.0185
GTSE1	NM_016426	204318_s_at	1.93	0.037
HCAP-G	NM_022346	218662_s_at	1.637	0.0208
HCAP-G	NM_022346	218663_at	1.983	0.0186
HECA	NM_016217	218603_at	0.643	0.034
MALT1	AB026118	210018_x_at	2.004	0.032
MCM5	AA807529	216237_s_at	2.108	0.0062
PLK1	NM_005030	202240_at	2.001	0.0175
RAB3B	BC005035	205924_at	1.837	0.0488
SMC4L1	AL136877	201664_at	1.556	0.0322
SMC4L1	NM_005496	201663_s_at	1.689	0.0144
STK3	NM_006281	204068_at	0.468	0.0239
STK6	NM_003600	204092_s_at	1.554	0.0104
TNFRSF10B	AF153687	210405_x_at	1.508	0.0402
VEGF	M27281	211527_x_at	1.878	0.0382
