Gene name	Symbol	Genbank accession no.	Ratio
Chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	Y08374	84.35
Neuromedin B	GPNMB	X76534	55.36
Cathepsin K (pycnodysostosis)	CTSK	X82153	37.7
Hexabrachion (tenascin C, cytotactin)	TNC	X78565	15.87
Brain-specific polypeptide PEP-19	PCP4	U52969	13.42
Regulator of G-protein signaling 5	RGS5	AB008109	11.16
Cadherin 3, P-cadherin (placental)	CDH3	X63629	7.6
Cerebellin 1 precursor	CBLN1	M58583	7.41
Thrombospondin 2	THBS2	L12350	7.13
Ferritin, light polypeptide	FTL	M11147	6.9
Human scaffold protein Pbp1	SYCL	AF000652	6.29
Cathepsin B	CTSB	L04288	6.24
Human mRNA for cysteine protease	LGMN	D55696	5.7
Protein regulating cytokinesis 1	PRC1	AF044588	5.5
DNA-damage-inducible transcript 1	GADD45A	L24498	5.46
Homo sapiens exportin t	XPO1	AF039022	5.46
Transforming growth factor, ?3	TGFB3	X14885	5.06
Integrin, ?8	ITGA8	L36531	4.96
Human mRNA for pM5 protein	NOMO	X57398	4.84
Tropomodulin	TMOD1	M77016	4.64
Microfibrillar-associated protein 4	MFAP4	L38486	4.62
Acrogranin	GRN	AF055008	4.56
Uridine phosphorylase	UPP1	X90858	4.55
Superoxide dismutase 2, mitochondrial	SOD2	X07834	4.5
Myosin VA (heavy polypeptide 12, myoxin)	MYO5A	Y07759	4.48
TYRO protein tyrosine kinase binding protein	TYROBP	AF019562	4.25
Follistatin	FST	M19481	4.2
Clathrin-associated/assembly/adaptor protein, large ?1	AP2B1	M34175	4.06
Ferritin, heavy polypeptide 1	FTH1	L20941	4.05
Ribonucleotide reductase M1 polypeptide	RRM1	X59543	4.03
Transketolase (Wernicke-Korsakoff syndrome)	TKT	L12711	3.96
CD24	CD24	L33930	3.96
Collagen, type VI, ?3	COL6A3	X52022	3.96
Protease, serine, 11 (IGF binding)	PRSS11	D87258	3.92
5-Hydroxytryptamine (serotonin) receptor 2B	HTR2B	X77307	3.92
Ubiquitin-specific protease 9	USP9X	X98296	3.9
Chemokine (C-C motif) receptor 1	CCR1	D10925	3.9
Phosphoglucomutase 1	PGM1	M83088	3.85
Tubulin, ? polypeptide	TUBG1	M61764	3.78
Serine/threonine kinase 2	STK2	L20321	3.78
Hect domain and RLD 2	HERC2	AB002391	3.75
3-Phosphoglycerate dehydrogenase	PHGDH	AF006043	3.74
BH-protocadherin (brain-heart)	PCDH7	AB006757	3.64
APK1 antigen	COVA1	S72904	3.61
Matrix metalloproteinase 2	MMP2	M55593	3.52
Ubiquitin-specific protease 9	USP9Y	AF000986	3.5
Integrin, ?5	ITGA5	X06256	3.45
Roundabout homologue 1	ROBO1	AF040990	3.38
p21 (CDKN1A)-activated kinase 2	PAK2	U24153	3.36
Chloride channel 4	CLCN4	X77197	3.36
Ribosomal protein S11	IDH2	X69433	3.3
Inositol phosphate 5?-phosphatase 2 (synaptojanin 2)	SYNJ2	AB002346	3.3
ATP citrate lyase	ACLY	X64330	3.25
IFN-?-inducible protein 16	IFI16	M63838	3.23
Insulin-like growth factor binding protein 3 precursor	IGFBP3	M35878	3.2
Enolase 1 (?)	ENO1	M55914	3.19
Peptidyl-prolyl cis-trans isomerase A	PPIA	X52851	3.15
Equilibrative nucleoside transporter 1	SLC29A1	U81375	3.12
Protein S (?)	PROS1	X12892	3.1
Human leukemia virus receptor 1 (GLVR1)	SLC20A1	L20859	3.08
Apolipoprotein C-I	APOC1	X00570	3.08
Calpastatin	CAST	D16217	3.08
Ubiquitin-specific protease 11	USP11	U44839	3.08
Human arginine-rich protein (ARP)	ARMET	M83751	3.06
TrkB	NTRK2	U12140	3
T-complex protein 1, ? subunit	TCP1	X52882	3
Thyroid hormone receptor, ?	THRB	X04707	3
