ID	Probeset	Chromosome	Cytoband	Starting nucleotide
ANLN	1552619_a_at	7	p14.2	36395954
ASPM	219918_s_at	1	q31.3	195320014
AURKA	204092_s_at	20	q13.2	54377851
AURKB	239219_at	17	p13.1	8053900
BIRC5	202095_s_at	17	q25.3	73721943
BUB1	215509_s_at	2	q13	111132263
BUB1B	203755_at	15	q15.1	38240671
C13orf34	219544_at	13	q22.1	72215688
CCNA2	203418_at	4	q27	122958003
CCNB1	214710_s_at	5	q13.2	68498643
CCNB2	202705_at	15	q22.2	57184611
CDC2	203213_at	10	q21.2	62208241
CDC20	202870_s_at	1	p34.2	43597214
CDC45L	204126_s_at	22	q11.21	17847467
CDC6	203967_at	17	q21.2	35697671
CDC7	204510_at	1	p22.2	91739031
CDCA2	236957_at	8	p21.2	25396840
CDCA3	223307_at	12	p13.31	6828253
CDCA8	221520_s_at	1	p34.3	37930745
CENPA	204962_s_at	2	p23.3	26862424
CENPE	205046_at	4	q24	104246652
CENPL	1554271_a_at	1	q25.1	172035640
CEP55	218542_at	10	q23.33	95249894
CHEK1	205394_at	11	q24.2	125001852
CKS2	204170_s_at	9	q22.2	91115932
ECT2	219787_s_at	3	q26.31	174003355
ESPL1	38158_at	12	q13.13	51948383
FBXO5	234863_x_at	6	q25.2	153334024
FOXM1	202580_x_at	12	p13.33	2837110
H2AFX	205436_s_at	11	q23.3	118469796
HP1BP3	1554251_at	1	p36.12	20974735
KIAA1794	213007_at	15	q26.1	87637175
KIF11	204444_at	10	q23.33	94342970
KIF14	236641_at	1	q32.1	198787252
KIF15	219306_at	3	p21.31	44778288
KIF18A	221258_s_at	11	p14.1	27999125
KIF20A	218755_at	5	q31.2	137543246
KIF23	244427_at	15	q23	67524442
KIF2C	209408_at	1	p34.1	44978137
KIF4A	218355_at	X	q13.1	69426686
KIFC1	1555278_a_at	11	p11.2	46722142
MAD2L1	1554768_a_at	4	q27	121200631
MCM2	202107_s_at	3	q21.3	128800849
MCM7	210983_s_at	7	q22.1	99528854
MELK	204825_at	9	p13.2	36562872
NCAPH	212949_at	2	q11.2	96365230
NDE1	222625_s_at	16	p13.11	15651581
NEK2	204641_at	1	q32.3	209902744
NUF2	223381_at	1	q23.3	161558377
OIP5	213599_at	15	q15.1	39388609
PAK3 /// UBE2C	202954_at	20	q13.12	43874709
PBK	219148_at	8	p21.1	27723331
PLK4	204886_at	4	q28.1	129021599
PRC1	218009_s_at	15	q26.1	89310278
PTTG1	203554_x_at	5	q33.3	159781442
RAD51AP1	204146_at	12	p13.32	4518293
RNASEH2A	203022_at	19	p13.13	12778438
RRM2	201890_at	2	p25.1	10179961
SGOL2	230165_at	2	q33.1	201146742
SMC2	204240_s_at	9	q31.1	105896427
SPAG5	203145_at	17	q11.2	23928720
SPBC25	209891_at	2	q24.3	169436141
TOP2A	201291_s_at	17	q21.2	35660692
TPX2	210052_s_at	20	q11.21	29790791
TRIP13	204033_at	5	p15.33	946068
TTK	204822_at	6	q14.1	80771104
ZWINT	204026_s_at	10	q21.1	57787212
