Permutation P-value	GenBank ID	Symbol	Gene name
5.73E-05	AA747290	RPS15A	Ribosomal protein S15a
0.0018	AA641744	RPA2	Replication protein A2 (32 kDa)
0.0021	AI188196	USP22	Ubiquitin-specific protease 22
0.0022	AI222007		ESTs
0.0037	AA192445	TMEPAI	Transmembrane, prostate androgen-induced RNA
0.0037	D16480	HADHA	Hydroxyacy dehydrogenase, subunit A
0.0041	AF015767	BRE	Brain and reproductive organ expressed (TNFRSF1A modulator)
0.0074	AW069055	FLJ10773	Likely ortholog of mouse NPC derived proline-rich protein 1
0.0077	AI365733		ESTs
0.0086	AF017418	MEIS2	Meis (mouse) homolog 2
0.0099	D49742	HABP2	Hyaluronan-binding protein 2
0.0104	M37400	GOT1	Glutamic-oxaloacetic transaminase 1
0.0106	Z11502	ANXA13	Annexin A13
0.0115	AF024714	AIM2	Absent in melanoma 2
0.0116	AU155489	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)
0.0117	D32050	AARS	Alanyl-tRNA synthetase
0.0128	AW779142	HUMAGCGB	Chromosome 3p21.1 gene sequence
0.0129	AA487669	GSTM1	Glutathione S-transferase M1
0.0137	U42376	LY6E	Lymphocyte antigen 6 complex, locus E
0.0145	AA601564	DLG5	Discs, large (Drosophila) homolog 5
0.0157	AI042204	FLJ12895	Hypothetical protein FLJ12895
0.0158	D14662	KIAA0106	Antioxidant protein 2
0.0159	BF059178	NONO	Non-POU-domain-containing, octamer binding
0.017	U70063	ASAH	N-acylsphingosine amidohydrolase (acid ceramidase)
0.0176	AA091553	UBE2H	Ubiquitin-conjugating enzyme E2H (homologous to yeast UBC8)
0.018	L12350	THBS2	Thrombospondin 2
0.0195	AA324335	ERF	Ets2 repressor factor
0.0209	U68019	MADH3	MAD (mothers against decapentaplegic, Drosophila) homolog 3
0.0217	AI248620	AP3D1	Adaptor-related protein complex 3, delta 1 subunit
0.0225	U24183	PFKM	Phosphofructokinase, muscle
0.0226	AI626007	NTRK1	Neurotrophic tyrosine kinase, receptor, type 1
0.0235	AI261382	SH120	Putative G-protein-coupled receptor
0.0236	AA193416		ESTs
0.0244	AA911109	FLJ20254	Hypothetical protein FLJ20254
0.0245	AF070616	HPCAL1	Hippocalcin-like 1
0.0248	AF046024	UBE1C	Ubiquitin-activating enzyme E1C (homologous to yeast UBA3)
0.026	AI299911	PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform
0.0264	X07979	ITGB1	Integrin, beta 1
0.0267	AI143127		Dynactin 4
0.0274	AA412250	PYGB	Phosphorylase, glycogen; brain
0.0285	D45131	BSG	Basigin
0.0291	W45244	C3	Complement component 3
0.0294	AI245516		EST
0.0299	AB010427	WDR1	WD repeat domain 1
0.0308	AA907519	C3ORF4	Chromosome 3 open reading frame 4
0.0315	H20386	MYG1	MYG1 protein
0.0324	AA371593	GCN1L1	GCN1 (general control of amino-acid synthesis 1, yeast)-like 1
0.033	D42041	KIAA0088	KIAA0088 protein
0.0341	L31581	CCR7	Chemokine (C-C motif) receptor 7
0.0342	AI300002	CCNI	Cyclin I
0.0353	AI338165	HEF1	Enhancer of filamentation 1 (cas-like docking; Crk-associated substrate related)
0.0365	AA922357		DKFZp586A0618
0.0366	AI312689	HE1	Epididymal secretory protein (19.5 kDa)
0.0368	U07424	FARSL	Phenylalanine-tRNA synthetase-like
0.0374	AI248327		FLJ22233
0.0376	NM_006077	CBARA1	Calcium-binding atopy-related autoantigen 1
0.0387	AF055022	DKFZP727M231	DKFZP727M231 protein
0.039	AF131847	MRG15	MORF-related gene 15
0.0392	M37435	CSF1	Colony-stimulating factor 1 (macrophage)
0.0401	AA676585	NPM1	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)
0.0402	U85658	TFAP2C	Transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma)
0.0406	AB011090	KIAA0518	Max-interacting protein
0.0411	U34683	GSS	Glutathione synthetase
0.0412	L41351	PRSS8	Protease, serine, 8 (prostasin)
0.0413	X52186	ITGB4	Integrin, beta 4
0.0418	R52161		DKFZp434A2410
0.0425	U93867	RPC62	Polymerase (RNA) III (DNA directed) (62 kDa)
0.0437	Z11531	EEF1G	Eucaryotic translation elongation factor 1 gamma
0.0438	U23028	EIF2B5	Eucaryotic translation initiation factor 2B, subunit 5 (epsilon, 82 kDa)
0.0446	AI336230	RPS8	Ribosomal protein S8
0.0455	AA676322	MTF1	Metal regulatory transcription factor 1
0.0467	AI268861		EST
0.0475	U73036	IRF7	Interferon regulatory factor 7
0.0478	AI339006		DKFZp586L1121
0.0485	AI097058		FLJ23538
0.0498	L36151	PIK4CA	Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide
