Accession no.	Gene name	Gene symbol	Average fold change induced by indicated doses of EE (lg/kg/day) 0.001	Average fold change induced by indicated doses of EE (lg/kg/day) 0.01	Average fold change induced by indicated doses of EE (lg/kg/day) 0.1	Average fold change induced by indicated doses of EE (lg/kg/day) 1	Average fold change induced by indicated doses of EE (lg/kg/day) 10
BF403853	ESTs		1.1	1.1	1.2	1.5	4.3
AI599419	ESTs		1.1	1.1	1.1	1.6	4.3
NM_022847	Progesterone receptor	Pgr	1.1	1.2	1.1	1.5	3.2
AI407239	ESTs, Moderately similar to myomesin 2 [M.musculus]		1.1	1	1.1	1.8	2.9
NM_133380	Interleukin 4 receptor	Il4r	1.1	1.1	1.2	1.6	2.8
NM_053587	S100 calcium-binding protein A9 (calgranulin B)	S100a9	1.1	1	1.1	1.4	2.8
AI029175	ESTs, Moderately similar to cellular repressor of E1A-stimulated genes 1 [M.musculus]		1.1	1	1.1	1.3	2.8
NM_053822	S100 calcium-binding protein A8 (calgranulin A)	S100a8	1.1	1.1	1.3	1.3	2.6
BE099979	ESTs, Highly similar to cellular repressor of E1A-stimulated genes [Mus musculus]		1	1	1.1	1.1	2.5
BI281680	ESTs		1.1	1.1	1.1	1.3	2.5
BE107364	Methionine adenosyltransferase II, alpha	Mat2a	1.1	1.2	1.2	1.6	2.2
BF417784	ESTs		1.1	1.1	1	1.3	2.2
M55292	Neurotrophic tyrosine kinase, receptor, type 2	Ntrk2	1.2	1.2	1.1	1.2	2.1
AF239157	DEXRAS1 (Dexras1)	Rasd1	1	1.1	1.1	1	2.1
NM_012521	Calbindin 3 or intestinal calcium binding protein	Calb3	1.1	1.1	1.4	1.1	2.1
NM_032082	Hydroxyacid oxidase (glycolate oxidase) 3	Hao3	1.1	1.1	1.1	1.5	2
AI169140	ESTs, similar to carbonic anyhydrase 12 (Car12) [M.musculus]		1	1	1	1.2	1.8
AA849857	Very low density lipoprotein receptor	Vldlr	1	1.1	1	1.2	1.8
M33648	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	Hmgcs2	1.1	1.1	1	1.1	1.7
BI296435	ESTs		1.1	1.1	1.1	1.2	1.7
NM_053936	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Edg2	1	1	1.2	1.2	1.7
AI175861	ESTs		1.1	1	1	1.2	1.7
AF109674	Late gestation lung protein 1	Lgl1	1.1	1	1	1.2	1.6
D83598	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	Abcc9	1.3	1.1	1.2	1.3	1.6
NM_019371	EGL nine homolog 3 (C. elegans)	Egln3	1.1	1.1	1.1	1.4	1.6
