Gene	Gene ID	Genomic location	Induction by E2 	Function
Cathepsin D (CTSD)	1509	1.0 kb 5?†	2.27 ± 0.376	Protease
V-myc myelocytomatosis viral oncogene homologue (MYC)	4609	1.0 kb 5?†	2.71 ± 0.04	Transcription factor, proliferation
Hypothetical LOC402592	402592	2.0 kb 5?†	2.00 ± 0.17	Unknown
FLJ40194 protein	124871	3.5 kb 5?†	7.78 ± 1.27	Unknown
Hypothetical LOC339583	339583	4.0 kb 5?	0.42 ± 0.01	Unknown
Olfactory receptor, family 7, subfamily A, member 17 (OR7A17)	26333	5.0 kb 5?‡	9.82 ± 2.25	GPCR, signal transduction
Chromosome 9 ORF 84	158401	8.0 kb 5?‡	1.94 ± 0.08	Unknown
Myogenin (MYOG)	4656	13.0 kb 5?†	2.55 ± 0.19	Transcription factor
Methyl-CpG binding domain protein 4 (MBD4)	8930	13.0 kb 5?‡	1.52 ± 0.07	DNA repair
Hypothetical gene supported by BC009385	400043	18.0 kb 5?†	16.46 ± 1.56	Unknown
PDZ domain containing (PDZK1)	5174	28.0 kb 5?†	1.87 ± 0.09	Ion transport
Plexin domain containing 1(PLXDC1)	57125	29.0 kb 5?†	2.55 ± 0.54	Receptor activity, oncogenesis
Zinc finger and BTB domain containing 9 (ZBTB9)	221504	36.0 kb 5?†	1.50 ± 0.05	Transcription factor
Heat shock transcription factor 1(HSF1)	3297	40.0 kb 5?‡	1.52 ± 0.04	Transcription factor
Wingless-type MMTV integration site family, member 11 (Wnt11)	7481	40.0 kb 5?‡	7.31 ± 0.51	Signal transduction, oncogene
G-protein coupled receptor 173 (GPR173)	54328	49.0 kb 5?‡	0.38 ± 0.07	GPCR, signal transduction
Protein phosphatase 2, regulatory subunit B, ? isoform (PPP2R2C)	5522	Intron 1 ‡	1.85 ± 0.11	Signal transduction
Solute carrier family 9, isoform 1 (SLC9A1)	6548	Intron 1 †	0.58 ± 0.07	Ion transport
Nitric oxide synthase 1 (NOS1)	4842	Intron 1 ‡	0.12 ± 0.05	Enzyme, signal transduction
Glutamate receptor, ionotropic, kainate 4 (GRIK4)	2900	Intron 1 ‡	2.34 ± 0.10	Ion transport, signal transduction
Hypothetical gene supported by AK022887; AK056417 (FLJ12825)	440101	Intron 1 †	1.73 ± 0.26	Unknown
Adenosine A1 receptor (ADORA1)	134	Intron 2 †	6.24 ± 0.70	GPCR, signal transduction, apoptosis
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1 (SPOCK)	6695	Intron 2 †	1.53 ± 0.06	Cell motility, proliferation
Sideroflexin 5 (SFXN5)	94097	Intron 2 †	2.55 ± 0.19	Ion transport
Q9H5L9 (no description)	N/A	Intron 2 †	1.63 ± 0.23	Unknown
WD repeat domain 10 (WDR10)	55764	Intron 3	1.59 ± 0.11	Signal transduction, apoptosis
Block of proliferation 1(BOP1)	23246	Intron 3 ‡	2.66 ± 0.18	rRNA processing
Hypothetical LOC389167	389167	Intron 3 ‡	2.34 ± 0.32	Unknown
p21(CDKN1A)-activated kinase 7 (PAK7)	57144	Intron 3 ‡	1.71 ± 0.22	Phosphatase
Serine/threonine kinase 32B (STK32B)	55351	Intron 3 ‡	0.57 ± 0.05	Phosphatase, signal transduction
Neutrophil cytosolic factor 2 (NCF2)	4688	Intron 4 †	2.27 ± 0.08	Immune response
Protein phosphatase 1K (PP2C domain containing; PPM1K)	152926	Intron 5 †	2.50 ± 0.19	Phosphatase, signal transduction
Glutamate receptor interacting protein 1 (GRIP1)	23426	Intron 8 †	0.53 ± 0.03	Transcription coactivator
Adaptor-related protein complex 1, ?1 subunit (AP1B1)	162	Intron 11†	1.57 ± 0.15	Endocytosis, vesicle transport
Oxysterol binding protein-like 5 (OSBPL5)	114879	Intron 15†	2.06 ± 0.28	Receptor, lipid transport
SET binding factor 1(SBF1)	6305	1.0 kb 3?†	1.60 ± 0.08	Phosphatase, signal transduction
SAPS domain family, member 2 (SAPS2)	9701	2.0 kb 3?†	3.39 ± 0.71	Unknown
Calcium channel, voltage-dependent, ?1 subunit (CACNB1)	782	3.8 kb 3?†	1.61 ± 0.13	Ion transport
