EntrezGeneName	EntrezGeneID	Array	q-value(%)	qRTPCR RQ value	Status
LYZ	4069	5,99	0,0000	5,41	Induced
FOSB	2354	5,48	0,0000	5,62	Induced
IGJ	3512	5,44	0,0000		Induced
	6955	5,23	0,7897		Induced
PAX8	7849	4,68	0,0000	2,55	Induced
CYBB	1536	4,62	0,0000		Induced
	6955	4,60	0,0000		Induced
HLA-DQA1	3117	4,56	0,0000		Induced
CECR1	51816	4,49	0,0000		Induced
HLA-DQB1	3119	4,41	0,0000		Induced
EGR1	1958	4,29	0,0000		Induced
RNASE6	6039	3,98	0,0000		Induced
SFRP2	6423	3,91	0,0000	4,74	Induced
GPNMB	10457	3,87	0,0000	4,97	Induced
PABPC1	26986	3,85	0,0000		Induced
MS4A6A	64231	3,84	0,0000		Induced
KLF4	9314	3,74	0,7897		Induced
HADHA	3030	3,61	0,7897		Induced
FOS	2353	3,61	0,0000	4,46	Induced
IGHG4	3503	3,52	0,7897		Induced
ABCA13	154664	26,06	0,0000	24,12	Repressed
CKM	1158	25,86	0,0000	210,31	Repressed
ACTA1	58	25,31	0,0000	25,06	Repressed
C9orf70	84850	24,85	0,0000		Repressed
CHGA	1113	24,83	0,0000	28,38	Repressed
MYBPC1	4604	24,60	0,0000		Repressed
ATP2A1	487	24,19	0,0000		Repressed
TNNC2	7125	24,09	0,0000	24,64	Repressed
IGSF1	3547	24,00	0,0000		Repressed
EEF1A2	1917	23,87	19,070		Repressed
FLJ32115	121506	23,79	0,7897		Repressed
PCSK2	5126	23,66	19,070		Repressed
RASD1	51655	23,53	27,615	20,51	Repressed
RARRES1	5918	23,52	19,070		Repressed
EDN3	1908	23,40	19,070	21,83	Repressed
PRKCE	5581	23,32	27,615	1,98	Repressed
GSTT1	2952	23,24	42,100		Repressed
FLJ11127	54491	23,20	32,882		Repressed
TCAP	8557	23,17	39,587		Repressed
LOC440696	3322	23,17	32,882		Repressed
