Symbol	Ensembl	Name	C5.2 versus HB4a	C3.6 versus HB4a	C5.2 versus C3.6	Expression
ERBB2	ENSG00000141736	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	15.72	1.13	6.47	Up-Regulated
LGALS1	ENSG00000100097	Lectin, galactoside-binding, soluble, 1 (galectin1)	12.39	1.41	6.01	Up-Regulated
PRO2605	ENSG00000130600	Hypothetical protein PRO2605	10.87	0.97	8.18	Up-Regulated
CRIP1	ENSG00000133512	Cysteine-rich protein 1 (intestinal)	9.30	1.53	5.07	Up-Regulated
S100P	ENSG00000163993	S100 calcium binding protein P	5.48	6.16	0.70	Up-Regulated
CPS1	ENSG00000021826	Carbamoyl-phosphate synthetase 1, mitochondrial	4.33	3.08	1.14	Up-Regulated
SPAG1	ENSG00000104450	Sperm-associated antigen 1	3.97	4.88	0.67	Up-Regulated
VIM	ENSG00000026025	Vimentin	3.59	1.03	2.86	Up-Regulated
NDRG1	ENSG00000104419	N-myc downstream regulated gene 1	3.55	1.32	2.62	Up-Regulated
CDH3	ENSG00000062038	Cadherin 3, type1, P-cadherin (placental)	3.30	1.85	1.25	Up-Regulated
S100A4	ENSG00000160673	S100 calcium binding protein A4	3.21	1.27	1.82	Up-Regulated
SLPI	ENSG00000124107	Secretory leukocyte protease inhibitor (antileukoproteinase)	2.87	2.70	0.76	Up-Regulated
PRDX2	ENSG00000167815	Peroxiredoxin 2	2.76	1.79	1.43	Up-Regulated
PFKFB3	ENSG00000170525	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.55	1.36	1.37	Up-Regulated
MGC11242	ENSG00000167183	Hypothetical protein MGC11242	2.49	2.59	0.84	Up-Regulated
SLC1A 6	ENSG00000105143	Solute carrier family 1 member 6	2.41	1.60	1.44	Up-Regulated
EDN2	ENSG00000127129	Endothelin 2	2.37	1.53	1.24	Up-Regulated
SIAT4C	ENSG00000110080	Sialyltransferase 4C	2.33	1.71	1.06	Up-Regulated
SQLE	ENSG00000104549	Squalene epoxidase	2.31	1.52	1.46	Up-Regulated
NNMT	ENSG00000166741	Nicotinamide N-methyltransferase	2.30	2.69	0.80	Up-Regulated
HSPB1	ENSG00000106211	Heat-shock 27 kDa protein1	2.27	1.61	1.28	Up-Regulated
AGR2	ENSG00000106541	Anterior gradient 2 homolog (Xenopus laevis)	2.25	2.22	0.87	Up-Regulated
FLJ12443	ENSG00000153395	Hypothetical protein FLJ12443	2.25	1.82	1.09	Up-Regulated
BNIP3	ENSG00000104765	BCL2/adenovirus E1B 19 kDa interacting protein 3	2.23	1.31	1.89	Up-Regulated
P4HA2	ENSG00000072682	Proline 4-hydroxylase, alpha polypeptideII	2.21	1.27	1.46	Up-Regulated
STMN3	ENSG00000171780	Stathmin-like 3	2.17	1.55	0.99	Up-Regulated
RPL17	ENSG00000174228	Ribosomal protein L17	2.14	1.24	1.47	Up-Regulated
KIFC3	ENSG00000140859	Kinesin family member C3	2.08	1.02	1.52	Up-Regulated
DNAJB6	ENSG00000105993	DnaJ (Hsp40) homolog, subfamily B, member 6	2.07	1.72	1.15	Up-Regulated
PFN2	ENSG00000070087	Profilin 2	2.05	2.10	0.87	Up-Regulated
EMP1	ENSG00000134531	Epithelial membrane protein 1	2.05	2.13	0.94	Up-Regulated
TGM1	ENSG00000092295	Transglutaminase 1	2.04	2.07	0.86	Up-Regulated
ALDOC	ENSG00000109107	Aldolase C, fructose-bisphosphate	2.02	0.78	1.59	Up-Regulated
NPTX2	ENSG00000106236	Neuronal pentraxin II	2.01	0.98	2.27	Up-Regulated
EMP3	ENSG00000142227	Epithelial membrane protein 3	2.00	1.37	1.18	Up-Regulated
ZFP36L2	ENSG00000152518	Zinc-finger protein 36, C3H type-like 2	2.00	1.32	1.19	Up-Regulated
MYL9	ENSG00000101335	Myosin, light polypeptide 9, regulatory	0.18	0.49	0.32	Down-Regulated
RRAD	ENSG00000166592	Ras-related associated with diabetes	0.22	0.40	0.88	Down-Regulated
SPARC	ENSG00000113140	Secreted protein, acidic, cysteine-rich (osteonectin)	0.27	0.53	0.74	Down-Regulated
FN1	ENSG00000115414	Fibronectin 1	0.27	0.29	0.94	Down-Regulated
IGFBP3	ENSG00000146674	Insulin-like growth factor binding protein 3	0.29	0.33	0.92	Down-Regulated
TAGLN	ENSG00000149591	Transgelin	0.29	0.76	0.31	Down-Regulated
PTRF		Polymerase I and transcript release factor	0.40	0.53	0.77	Down-Regulated
SPINT2	ENSG00000167642	Serine protease inhibitor, Kunitz type, 2	0.42	1.01	0.43	Down-Regulated
ADORA3	ENSG00000121933	Adenosine A3 receptor	0.44	0.47	0.65	Down-Regulated
SEC61A1	ENSG00000058262	Protein transport protein SEC61 alpha subunit isoform 1	0.45	0.65	1.00	Down-Regulated
p100	ENSG00000106334	EBNA-2 coactivator (100kDa)	0.46	0.55	0.93	Down-Regulated
MME	ENSG00000114802	Membrane metallo-endopeptidase (CALLA, CD10)	0.47	0.53	1.07	Down-Regulated
GTF3A	ENSG00000122034	General transcription factor IIIA	0.47	0.61	0.76	Down-Regulated
PCK2	ENSG00000100889	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	0.47	0.67	0.82	Down-Regulated
GAS6		Growth arrest-specific 6	0.48	0.53	0.91	Down-Regulated
PSMD8	ENSG00000099341	Proteasome (prosome, macropain) 26S subunit	0.48	0.96	0.52	Down-Regulated
PEAS	ENSG00000124702	Testis intracellular mediator protein	0.48	0.93	0.60	Down-Regulated
stSG89556	ENSG00000169261	40S ribosomal protein	0.49	0.89	0.60	Down-Regulated
RPS10	ENSG00000123445	Ribosomal protein S10	0.49	0.88	0.59	Down-Regulated
CHST2	ENSG00000175040	Carbohydrate sulfotransferase 2	0.50	0.58	1.09	Down-Regulated
WFS1	ENSG00000109501	Wolfram syndrome 1 (wolframin)	0.50	0.72	0.74	Down-Regulated
NR1H2	ENSG00000131408	Nuclear receptor subfamily 1, group H, member 2	0.50	0.62	0.99	Down-Regulated
C4BPB	ENSG00000123843	Complement component 4 binding protein, beta	0.50	0.64	0.90	Down-Regulated
TIP-1	ENSG00000108392	Tax interaction protein 1	0.50	0.79	0.57	Down-Regulated
USF2	ENSG00000105698	Upstream transcription factor 2, c-fos interacting	0.50	1.12	0.49	Down-Regulated
