ImageID	Title	Gene	Cluster	Chr	Cytoband	Entrez Gene
307471	Tetraspanin 7	TSPAN7	Hs.441664	X	Xp11.4	7102
415086	Killer cell lectin-like receptor subfamily C, member 3	KLRC3	Hs.74082	12	12p13	3823
760224	X-ray repair complementing defective repair in Chinese hamster cells 1	XRCC1	Hs.98493	19	19q13.2	7515
1585535	Chromogranin A (parathyroid secretory protein 1)	CHGA	Hs.150793	14	14q32	1113
1956910	WNK lysine deficient protein kinase 2	WNK2	Hs.522291	9	9q22.3	65268
85128	Complement component 1, q subcomponent, B chain	C1QB	Hs.8986	1	1p36.12	713
143287	Transcribed locus|Pregnancy specific beta-1-glycoprotein 11	N/A|PSG11	Hs.556902, Hs.646353	2|N/A	N/A|19q13.2	56805680
244387	Coagulation factor XI (plasma thromboplastin antecedent)	F11	Hs.1430	4	4q35	2160
257135	Solute carrier family 22 (organic cation transporter), member 4|Tubulin, alpha 3	SLC22A4|TUBA3	Hs.310591, Hs.524390	5|12	5q31.1|12q12-12q14.3	65837846
261519	CD40 molecule, TNF receptor superfamily member 5|Clone FLH179569.01L; RZPDo839A02131D MGC18216 mRNA, partial sequence	CD40|N/A	Hs.472860, Hs.649408	20|N/A	20q12-q13.2|N/A	958N/A
285460	Collagen, type XI, alpha 2	COL11A2	Hs.390171	6	6p21.3	1302
450949	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	CBLB	Hs.430589	3	3q13.11	868
485989	Chemokine (C-C motif) ligand 7	CCL7	Hs.251526	17	17q11.2-q12	6354
593690	Tumor necrosis factor (ligand) superfamily, member 13b	TNFSF13B	Hs.525157	13	13q32-34	10673
665674	Bradykinin receptor B2	BDKRB2	Hs.525572	14	14q32.1-q32.2	624
788285	Endothelin receptor type A	EDNRA	Hs.183713	4	4q31.23	1909
878280	Collapsin response mediator protein 1	CRMP1	Hs.135270	4	4p16.1-p15	1400
1412412	Elastase 2A	ELA2A	Hs.631866	1	1p36.21	63036
