Accession no.	P	Gap	Symbol	Gene name
L19067	1.25E-11	1.0859	RELA	V-rel reticuloendotheliosis viral oncogene homologue A, p65 (avian)
BU625507	1.83E-09	2.7549	SLC16A3	Solute carrier family 16 (monocarboxylic acid transporters), member 3
J04088	2.40E-08	2.5431	TOP2A	Topoisomerase (DNA) II ? 170 kDa
AK025288	3.53E-08	2.2458		mRNA; cDNA DKFZp686H2244 (from clone DKFZp686H2244)
BC006992	1.41E-07	1.2873	PIR51	RAD51-interacting protein
X80497	7.34E-07	1.7058	PHKA2	Phosphorylase kinase, ? 2 (liver)
BX094005	9.90E-07	1.4831		Transcribed sequence
D87116	1.64E-06	1.1981	MAP2K3	Mitogen-activated protein kinase kinase 3
NM_005461	3.02E-06	5.4215	MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homologue B (avian)
BC062996	3.96E-06	1.391	DBI	Diazepam binding inhibitor
L41143	4.44E-06	2.5005	TCTA	T-cell leukemia translocation altered gene
AK025736	5.33E-06	2.8797	HMGCS1	3-Hydroxy-3-methylglutaryl-coenzyme A synthase 1 (soluble)
AA209320	6.21E-06	2.4519	UBQLN2	Ubiquilin 2
AL136794	6.49E-06	1.3077	RACGAP1	Rac GTPase activating protein 1
NM_152740	9.25E-06	1.061	HIBADH	3-Hydroxyisobutyrate dehydrogenase
BM677885	9.97E-06	3.6622	RASL11B	RAS-like, family 11, member B
BE795997	1.13E-05	1.7966	NCOR2	Nuclear receptor corepressor 2
AK024885	1.30E-05	3.1805	C14orf35	Chromosome 14 open reading frame 35
BX648395	1.47E-05	1.9792	HKR3	GLI-Kruppel family member HKR3
BU622526	1.60E-05	2.7926	C14orf142	Chromosome 14 open reading frame 142
AA903592	1.61E-05	2.3473	LSM3	LSM3 homologue, U6 small nRNA associated (S. cerevisiae)
NM_199360	1.65E-05	1.3387	TPD52L2	Tumor protein D52-like 2
AA775685	1.68E-05	1.5807	FLJ23441	Hypothetical protein FLJ23441
NM_007065	2.16E-05	1.9526	CDC37	CDC37 cell division cycle 37 homologue (S. cerevisiae)
BU616359	2.21E-05	2.1594	MOV10	Mov10, Moloney leukemia virus 10, homologue (mouse)
NM_016652	2.34E-05	1.3222	CRNKL1	Crn, crooked necklike 1 (Drosophila)
AK096960	2.54E-05	2.3571	RAD1	RAD1 homologue (S. pombe)
AJ318215	2.62E-05	2.2364	PARC	p53-associated parkinlike cytoplasmic protein
BC036102	2.74E-05	1.2381	SIAT7F	Sialytransferase 7F
BC032226	2.92E-05	1.5262	PDE1B	Phosphodiesterase 1B, calmodulin dependent
NM_145697	3.05E-05	2.8374	CDCA1	Cell division cycle associated 1
BC009498	3.21E-05	1.1707	ANAPC7	Anaphase promoting complex subunit 7
AA018510	3.38E-05	2.1875	MGC33382	Hypothetical protein MGC33382
BC005975	3.57E-05	1.0833	SIP	Siah-interacting protein
BC002755	3.65E-05	1.8689	MKNK1	MAP kinase interacting serine/threonine kinase 1
NM_005083	4.04E-05	2.9032	SRP19	Signal recognition particle 19 kDa
AF208070	4.37E-05	2.166	KLHL3	Kelchlike 3 (Drosophila)
NM_004037	4.83E-05	2.6085	AMPD2	Adenosine monophosphate deaminase 2 (isoform L)
X75621	5.29E-05	2.8689	TSC2	Tuberous sclerosis 2
AF370395	5.45E-05	5.1173	EPS8L1	EPS8-like 1
AB096683	5.91E-05	3.1681	MGC57827	Similar to RIKEN cDNA 2700049P18 gene
AK091130	6.37E-05	1.992	LOC152485	Hypothetical protein LOC152485
AL050258	7.01E-05	1.2177	TFIP11	Tuftelin interacting protein 11
AY203945	7.02E-05	3.0291	PP2447	Hypothetical protein PP2447
BX537605	7.17E-05	2.5327		mRNA; cDNA DKFZp686P23119 (from clone DKFZp686P23119)
BC040126	7.63E-05	2.9158	FLJ20244	Hypothetical protein FLJ20244
AI346446	7.65E-05	1.6933	EPSTI1	Epithelial stromal interaction 1 (breast)
AA973128	8.49E-05	1.7272		Transcribed sequences
CA429220	8.99E-05	2.7152	SKP2	S-phase kinase-associated protein 2 (p45)
CA422300	9.32E-05	3.5895	MAC30	Hypothetical protein MAC30
