Protein	Protein Description	Corresponding gene	 Molecular function 
RCC1	regulator of chromosome condensation	CHC1	DNA binding, Ran guanyl-nucleotide exchange factor activity
p43/EMAPII	endothelial monocyte-activating polypeptide II precursor	SCYE1	Chemotaxis, cell-cell signaling, inflammatory response
	Inhibitor 2	PPP1R2	Type 1 serine/threonine-specific protein phosphatase inhibitor activity
AKAP149	A-kinase anchor protein 149	AKAP1	Protein kinase A anchoring activity
CHD3	chromodomain helicase DNA binding protein 3	CHD3	ATP-dependent DNA helicase activity, ATP binding
PP5	protein phosphatase 5	PPP5C	Protein phosphatase type 2C activity, involved in p53 and Hsp90 regulation
	Caspase-7/Mch3 modifier of chinchilla 3	CASP7	Apoptosis
Hsp10	heat shock protein 10	HSPE1	Protein folding, chaperone protein
SH2B	Src-homology-3	SH2B	Growth factor, cytokine, and immunoreceptor signaling
MDM2	murine double minute 2	MDM2	Negative regulation of cell proliferation, oncogenesis
Hsp90	heat shock protein 90	HSPCA	Protein folding, chaperone protein
PKA c	protein kinase A	PRKACA	Protein-tyrosine kinase activity
CRIK	citron Rho-interacting kinase 	CIT	Small GTPase regulatory/interacting protein activity
Per2	period circadian protein 2	PER2	Regulator of circadian expression of VEGF mRNA in hypoxic tumors 
	Neurexin I	NRXNI	Receptor activity
Crk	Proto-oncogene C-Crk	CRK	Adaptor in tyrosine kinase signal transduction
CDC25C	M-phase inducer phosphatase 3	CDC25C	Prenylated protein tyrosine phosphatase activity
CPG16/CaM	kinase VI calcium calmodulin dependent kinase CPG16 	DCAMKL1	Protein serine/threonine kinase activity
G3BP	Ras-GTPase-activating protein binding protein 1	G3BP	Ras protein signal transduction
CDC34	ubiquitin-conjugating enzyme E2-32 kDa complementing	CDC34	Ubiquitin-protein ligase activity
BRUCE	baculoviral IAP repeat-containing 6	BIRC6	Cysteine protease inhibitor activity, ubiquitin conjugating enzyme activity, apoptosis inhibitor activity
p73a	p73 alpha	TP73	Transcription factor activity
PKC	i protein kinase C i	PRKCI	Atypical protein kinase C activity
	Neurotensin receptor 3	NT	Induces migration
	La protein Sjogren syndrome antigen B	SSB	Ribonuclear protein complex
Rag-1	VDJ recombination activating protein 1	RAG1	Endonuclease activity, DNA binding
	Cadherin-5	CDH5	Calcium ion binding, cell adhesion molecule activity
FADD	Fas-associating protein with death domain	FADD	Induction of apoptosis
TBP	TATA box-binding protein	TBP	DNA binding, RNA polymerase II transcription factor activity
	Maspin	SERPINB5	Serine protease inhibitor activity
CTBP2	C-terminal binding protein 2	CTBP2	2-Hacid DH; oxidoreductase activity
	Calnexin	CANX	Calcium ion binding, chaperone activity
SMRT	silencing mediator of retinoic and thyroid hormone receptors	NCOR2	Myb_DNA-binding
MST3	serine/threonine-protein kinase 3	MST3	Apoptosis regulation
FBP	fructose 1,6-bisphosphate	FUBP1	Transcription factor activity
	Mena enabled protein homolog	ENAH	Regulation of cell motility and adhesion
Rap 2	Ras-related protein Rap-2	RAP2B	RAS small monomeric GTPase activity
	Topoisomerase II a	TOP2A	DNA metabolism
PYK2	pyruvate kinase 2	PTK2B	Protein tyrosine kinase activity
	Pericentrin	PCNT2	Structural constituent of cytoskeleton
	Karyopherin b	KPNB1	Zinc ion binding, protein transporter activity
eIF-4g	eukaryotic translation initiation factor 4 gamma	EIF4G1	Translation factor activity
Erp72	protein disulfide-isomerase A4 precursor	ERp72	Endoplasmic reticulum protein, chaperone protein
	Neurogenin 3	NEUROG1	Transcription factor
IkBa/MAD-3	NF-kappaB inhibitor alpha	NFKB1A	Transcription factor binding
GSK-3B	Glycogen synthase kinase-3 beta	GSK3B	Regulates atypical PKC regulation of cell polarity, apoptosis
	DNA topoisomerase II b	TOP2B	DNA topoisomerase type II activity
MCM6	DNA replication licensing factor MCM6	MCM6	DNA binding, DNA dependent ATPase activity
	Nexilin	Nexilin	Actin binding protein
KIF3B	kinesin-like protein KIF3B	KIF3B	Kinase, microtubule motor activity
PTPIC	protein-tyrosine phosphatase, non-receptor type 6	PTPN6	Protein tyrosine phosphatase activity
PTEN/MMAC1	phosphatase and tensin homolog deleted on chromosome 10	PTEN	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity, protein tyrosine phosphatase activity
JAM1	junctional adhesion molecule 1 precursor	JAM1	Intracellular junction
DP103/Gemin3	probable ATP-dependent RNA helicase DDX20	DDX20	DNA binding, ATP-dependent RNA helicase activity
Sam68	substrate of Src in mitosis	SAM68	Transcription, RNA splicing, cell cycle regulation
NABC1	breast carcinoma amplified sequence 1	NABC1	Ion transporting protein 
GRB14	growth factor receptor-bound protein 14	GRB14	SH3/SH2 adaptor protein activity
MLH1	MutL homolog 1	MLH1	ATP binding
GM130	Golgi matrix protein of 130 kDa	GOLGA2	Peripheral membrane protein associated with the Golgi bodies
mEPHX	microsomal epoxide hydrolase	EPHX1	Epoxide hydrolase activity
	b-tubulin	TUBB	Structural constituent of cytoskeleton
JAK 1	Janus kinase 1	JAK1	Protein-tyrosine kinase activity
SMAC	second mitochondria-derived activator of caspases/DIABLO Diablo homolog, mitochondrial precursor	SMAC	Apoptosis
IGFBP-3	insulin-like growth factor binding protein 3 precursor	IGBP3	Insulin-like growth factor binding
	14-3-3e	14-3-3	Apoptosis
DP-1	Dodeca-satellite-binding protein 1	TFDP1	Transcription factor activity, cell cycle regulation
	Cyclin D1	CCND1	Cell cycle regulation
FYB	FYN-binding protein/SLAP-130 Src-like adaptor protein 130	SLAP130	SLP76-associated phosphoprotein
SRPK1	SFRS protein kinase 1	SRPK1	Protein serine threonine kinase activity
	Kalinin B1	LAMB3	Cell laminin
L1	deferiprone	L1CAM	Cell adhesion
XCCR4	X-ray repair complementing defective repair in Chinese hamster cells 4	XCCR4	X-ray repair
P54nrb	54 kDa nuclear RNA-and DNA-binding protein	P54NRB	Nuclear RNA binding protein
	cAMP-dependent protein kinase type I regulatory subunit	PRKAR1B	c-AMP-dependent protein kinase
PKA R1	Carboxypeptidase E	CPE	Metallopeptidase activity, hydrolase activity, carboxypeptidase activity 
MST1	hepatocyte growth factor-like protein precursor	MST1	Serine threonine kinase
PTP1D/SHP2	Protein-tyrosine phosphatase, non-receptor type 11	PTP1D	PI3K signaling pathway
