Gene symbol	Gene name	Genebank accession number	Fold increase
PLABa	Placental bone morphogenetic protein	AA450062	74.1
CYR61a	Cysteine-rich 61	AA777187	15.3
HSPA8	Heat shock 70 kDa protein 8	AA620511	10.7
KRT6B	Keratin 6B	AA936779	10.7
KIAA0690	Hypothetical protein	AA460229	6.4
UCHL1	Ubiquitin carboxyl-terminal esterase L1	AA670438	6.3
MMP3a	Matrix metalloproteinase 3	W51794	5.7
PLCD4	Phospholipase C delta 4	AA047570	5.6
	Transcribed locus	R38516	4.7
ZNF672	Zinc-finger protein 672	AA436369	4.6
KIF21A	Kinesin family member 21A	AA620525	4.5
MYADMa	Myeloid-associated differentiation marker	AA976212	4.4
AHSA1	Activator of Hsp90 ATPase	AA411202	3.6
LOC342979	hypothetical LOC342979	AI017801	3.5
TM4SF1	Transmembrane 4 superfamily member 1	AA487893	3.4
MGPa	Matrix Gla protein	AA155913	3.2
SRR	Serine racemase	AA416785	3.2
NIDa	Nidogen	AA709414	3
CYB5R1	Cytochrome b5 reductase	AA098866	2.9
ABHD4	Abhydrolase	AA630633	2.9
MYO1E	Myosin IE	AA029956	2.9
HSPA4	Heat shock 70 kDa protein 4	AA633658	2.8
GAD1	Glutamate decarboxylase 1	AA018457	2.7
BRD2	Bromodomain containing 2	H72918	2.7
CCNL2	Cycline L2	T95823	2.7
FLJ14166	Hypothetical protein	AA894965	2.7
B34087	Hypothetical protein	AA053165	2.7
ITGAX	Integrin, alpha X alpha polypeptide	N64384	2.6
TSC2	Tuberin	H37774	2.6
PSMC4	Proteasome 26S subunit, ATPase, 4	AA464568	2.6
PSMA7	Proteasome subunit, alpha type, 7	AI318565	2.6
UBQLN1	Ubiquilin 1	N69460	2.6
CCL13	Chemokine (C-C motif) ligand 13	T64134	2.5
PDZK3	PDZ domain containing 3	AA405458	2.5
AKAP9	A kinase anchor protein	AI650647	2.4
SDC4	Syndecan-4	AA148737	2.4
TFRC	Transferrin receptor	AA487593	2.4
STXBP3	Syntaxin-binding protein 3	R20770	2.4
PRKACBa	Protein kinase, cAMP-dependent, beta-catalytic subunit	AA018980	2.3
FOXJ3	Forkhead box J3	AI214272	2.3
	Transcribed locus	N26407	2.3
