GenBank accession no.	Gene name	VIP	P value (ttest, paired)
AF016266.1	TRAIL receptor 2 mRNA, complete cds.	1.15	0.00233
AA883493	Consensus includes gb:AA883493/KIAA0761 protein	1.13	0.0089
BC001149.1	Similar to KIAA0266 gene product, complete cds.	1.12	0.00101
NM_014964.1	KIAA1065 protein (KIAA1065), mRNA	1.1	0.00711
NM_005955.1	Metal-regulatory transcription factor 1 (MTF1)	1.08	0.00703
NM_002778.1	Prosaposin (PSAP)	1.07	0.00285
NM_018449.1	AD-012 protein (LOC55833)	1.02	0.0109
U67195.1	Tissue inhibitor of metalloproteinase-3, complete cds.	1.01	0.00456
AK000826.1	Consensus includes gb:cDNA FLJ20819 fis, clone ADSE00511	1.01	0.00534
NM_000389.1	Cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A)	1	0.0243
BC004247.1	ras-related C3 botulinum toxin substrate 1(Rac1)	0.99	0.0118
AI769416	Consensus includes gb:AI769416/FEA_EST	0.98	0.012
AF261137.1	HT031 mRNA, complete cds.	0.98	0.0362
NM_021074.1	NADH dehydrogenase (ubiquinone)flavoprotein 2 (24kD) (NDUFV2)	0.96	0.0139
NM_012245.1	ski-interacting protein (SNW1)	0.95	0.00629
NM_006938.1	Small nuclear ribonucleoprotein D1 polypeptide (16kD) (SNRPD1)	0.95	0.00159
NM_000107.1	Damage-specific DNA binding protein 2(48kD) (DDB2)	0.95	0.0138
BC001286.1	Similar to dCMP deaminase, clone MGC:5160, complete cds.	0.94	0.0154
AF135266.1	p8 protein homolog (COM1), complete cds.	0.94	0.0124
NM_006736.1	Heat shock protein, neuronal DNAJ-like 1(HSJ1)	0.94	0.0282
BE560202	Consensus includes gb:BE560202/FEA_EST	0.94	0.0266
NM_013329.1	GC-rich sequence DNA-binding factor candidate (GCFC)	0.94	0.0314
NM_005163.1	v-akt murine thymoma viral oncogene homolog 1 (AKT1)	0.93	0.0088
BE513151	Consensus includes gb:BE513151/FEA_EST	0.87	0.0313
