Symbol	Genbank	Ratio And	Ratio Est	Ratio Let	Ratio Ana	Ratio Tam	Description	Functional Category
ASS	NM_000050	1.53	1.53	0.64	0.97	0.74	Argininosuccinate synthetase	Biosynthesis
ELOVL2	NM_017770	2.21	2.12	0.32	0.6	0.76	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	Biosynthesis
FDFT1	AA872727	1.64	1.71	0.73	0.89	1.59	Farnesyl-diphosphate farnesyltransferase 1	Biosynthesis
SCD	BC005807	1.64	1.55	0.81	0.9	0.79	Stearoyl-CoA desaturase	Biosynthesis
CELSR2	NM_001408	2.06	2.27	0.91	1.1	0.7	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homologue,Drosophila)	Cell adhesion
CLSTN2	NM_022131	1.58	1.75	0.32	0.46	0.58	Calsyntenin 2	Cell adhesion
CXCL12	NM_000609	1.66	1.6	0.62	0.69	0.66	Chemokine (C-X-C motif) ligand	Cell adhesion
DSCAM	AF023450	1.58	1.54	1	1.01	0.85	Down syndrome cell adhesion molecule	Cell adhesion
IGSF1	NM_001555	2.58	2.74	0.2	0.37	0.72	Immunoglobulin superfamily, member 1	Cell adhesion
LGALS1	NM_002305	1.57	1.68	0.64	0.73	0.61	Lectin, galactoside-binding, soluble 1	Cell adhesion
Link-GEFII	NM_016339	1.67	1.99	0.62	0.92	1.08	Link guanine nucleotide exchange factor II	Cell-to-cell signaling
TFAP2C	NM_003222	1.51	1.54	1.2	1.14	0.84	Transcription factor AP-2? (activating enhancer binding protein 2?)	Cell-to-cell signaling
EMP3	NM_001425	1.81	2.07	0.7	1.08	0.66	Epithelial membrane protein 3	Cell cycle/growth/proliferation
FHL1	U29538	3.01	3.11	0.29	0.38	0.21	Four and a half LIM domains 1	Cell cycle/growth/proliferation
H41	AK025647	1.71	1.98	0.48	0.65	0.72	Hypothetical protein H41	Cell cycle/growth/proliferation
INSIG1	BG292233	1.55	1.65	0.72	0.93	1.14	Insulin-induced gene 1	Cell cycle/growth/proliferation
MET	BG170541	1.72	2.33	0.66	0.98	0.85	Met proto-oncogene	Cell cycle/growth/proliferation
RAP1A	NM_002884	1.53	1.86	0.61	0.79	0.88	Member of RAS oncogene family	Cell cycle/growth/proliferation
STK6	NM_003158	1.53	1.59	0.73	0.85	0.76	Serine/threonine kinase 6	Cell cycle/growth/proliferation
TFF1	NM_003225	2	2.08	0.72	0.94	0.76	Trefoil factor 1	Cell cycle/growth/proliferation
EMP3	NM_001425	1.81	2.07	0.7	1.08	0.66	Epithelial membrane protein 3	Cell death
LGALS1	NM_002305	1.57	1.68	0.64	0.73	0.61	Lectin, galactoside-binding, soluble 1	Cell death
AMFR	AF124145	1.51	1.6	0.73	0.84	0.77	Autocrine motility factor receptor	Cell motility
CELSR2	NM_001408	2.06	2.27	0.91	1.1	0.7	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homologue,Drosophila)	Cell motility
CXCL12	NM_000609	1.66	1.6	0.62	0.69	0.66	Chemokine (C-X-C motif) ligand	Cell motility
HMMR	NM_012485	1.53	1.64	0.76	0.98	0.88	Hyaluronan-mediated motility receptor	Cell motility
CRABP1	NM_004378	1.98	1.78	0.47	0.76	0.47	Cellular retinoic acid–binding protein 1	Development
DSCAM	AF023450	1.58	1.54	1	1.01	0.85	Down syndrome cell adhesion molecule	Development
EGR3	NM_004430	2.66	3.17	0.54	0.94	0.29	Early growth response 3	Development
EMP3	NM_001425	1.81	2.07	0.7	1.08	0.66	Epithelial membrane protein 3	Development
Link-GEFII	NM_016339	1.67	1.99	0.62	0.92	1.08	Link guanine nucleotide exchange factor II	Development
LPIN1	D80010	1.64	1.75	0.73	0.94	0.9	Lipin 1	Development
OLFM1	R38389	1.82	1.89	0.63	0.86	0.7	Olfactomedin 1	Development
PCP4	NM_006198	1.51	1.59	0.7	0.73	0.54	Purkinje cell protein 4	Development
PRRX1	M95929	1.76	1.97	0.77	1.04	0.73	Paired related homeobox 1	Development
SIAH2	U76248	1.6	1.59	0.71	0.97	0.58	Seven in absentia homologue 2	Development
SOX3	AI824954	1.8	1.78	0.48	0.72	0.38	SRY (sex determining region Y)-box 3	Development
CXCL12	NM_000609	1.66	1.6	0.62	0.69	0.66	Chemokine (C-X-C motif) ligand	External stimulus response
SERPINA3	NM_001085	2	2.24	0.72	0.81	0.41	Serine (or cysteine) proteinase inhibitor, clade A, member 3	External stimulus response
TFF1	NM_003225	2	2.08	0.72	0.94	0.76	Trefoil factor 1	External stimulus response
CXCL12	NM_000609	1.66	1.6	0.62	0.69	0.66	Chemokine (C-X-C motif) ligand 12	Homeostasis
MT2A	NM_005953	2.26	2.22	0.77	0.98	0.35	Metallothionein 2A	Homeostasis
ALDOC	NM_005165	1.6	1.61	0.64	0.86	0.8	Aldolase C, fructose-bisphosphate	Metabolism
