Symbol	Genbank	Ratio And	Est	Let	Ana	Tam	Description	Functional category
BST2	NM_004335	0.58	0.59	2.31	1.57	0.81	Bone marrow stromal cell antigen 2	Cell cycle/growth/proliferation
GADD45A	NM_001924	0.56	0.61	1.83	1.34	1.11	Growth arrest and DNA-damage-inducible, ?	Cell cycle/growth/proliferation
INHBB	NM_002193	0.45	0.44	2.29	1.62	2.35	Inhibin ?B	Cell cycle/growth/proliferation
PMP22	L03203	0.16	0.19	1.03	0.59	1.49	Peripheral myelin protein 22	Cell cycle/growth/proliferation
REPRIMO	NM_019845	0.5	0.48	1.43	1.16	0.73	Candidate mediator of thep53-dependent G2 arrest	Cell cycle/growth/proliferation
SH3BP4	AF015043	0.59	0.64	1.19	1.2	1.3	SH3-domain binding protein 4	Cell cycle/growth/proliferation
SOCS2	NM_003877	0.63	0.62	1.08	1.04	1.43	Suppressor of cytokine signaling 2	Cell cycle/growth/proliferation
BAK1	NM_001188	0.57	0.51	1.18	1.1	0.99	BCL2-antagonist/killer 1	Cell death
CLU	M25915	0.35	0.39	2.2	1.62	1.43	Clusterin	Cell death
GADD45A	NM_001924	0.56	0.61	1.83	1.34	1.11	Growth arrest and DNA damage–inducible ?	Cell death
NFKBIA	AI078167	0.64	0.66	1.7	1.16	1.15	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor ?	Cell death
BST2	NM_004335	0.58	0.59	2.31	1.57	0.81	Bone marrow stromal cell antigen 2	Cell-to-cell signaling
EDN1	NM_001955	0.61	0.66	1.37	0.95	1.23	Endothelin 1	Cell-to-cell signaling
EFEMP1	NM_004105	0.44	0.6	2.51	1.2	0.96	EGF-containing fibulin-like extracellular matrix protein 1	Cell-to-cell signaling
EFNA1	NM_004428	0.58	0.58	1.26	1.07	1.27	Ephrin-A1	Cell-to-cell signaling
EFNB2	BF001670	0.61	0.62	1.3	0.99	1.28	Ephrin-B2	Cell-to-cell signaling
INHBB	NM_002193	0.45	0.44	2.29	1.62	2.35	Inhibin ?B	Cell-to-cell signaling
G1P2	NM_005101	0.46	0.5	2.69	2.14	1.29	IFN ?-inducible protein (clone IFI-15K)	Cell-to-cell signaling
MME	AI433463	0.52	0.5	0.99	0.87	1	Membrane metallo-endopeptidase	Cell-to-cell signaling
PACE4	NM_002570	0.61	0.57	1.67	1.35	0.94	Paired basic amino acid cleaving system 4	Cell-to-cell signaling
PCSK2	NM_002594	0.34	0.35	1	0.79	1.74	Proprotein convertase subtilisin/kexin type 2	Cell-to-cell signaling
STC1	AI300520	0.61	0.63	3.65	2.04	0.88	Stanniocalcin 1	Cell-to-cell signaling
BST2	NM_004335	0.58	0.59	2.31	1.57	0.81	Bone marrow stromal cell antigen 2	Development
EFNB2	BF001670	0.61	0.62	1.3	0.99	1.28	Ephrin-B2	Development
ENC1	NM_003633	0.64	0.59	0.98	1	0.98	Ectodermal-neural cortex (with BTB-like domain)	Development
PAPSS2	AW299958	0.52	0.62	1.9	1.22	1.44	3?-Phosphoadenosine 5?-phosphosulfate synthase 2	Development
BST2	NM_004335	0.58	0.59	2.31	1.57	0.81	Bone marrow stromal cell antigen 2	External stimulus response
CD24	X69397	0.51	0.64	0.93	0.91	1.25	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	External stimulus response
G1P2	NM_005101	0.46	0.5	2.69	2.14	1.29	IFN ?-inducible protein (clone IFI-15K)	External stimulus response
IFI27	NM_005532	0.54	0.62	2.34	1.72	0.86	IFN ?-inducible protein 27	External stimulus response
IFIT1	NM_001548	0.28	0.32	5.59	4.08	1.28	IFN-induced protein with tetratricopeptide repeats 1	External stimulus response
NFKBIA	AI078167	0.64	0.66	1.7	1.16	1.15	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor ?	External stimulus response
OAS1	NM_016816	0.53	0.53	2.3	1.58	1	2?-5?-Oligoadenylate synthetase 1, 40/46 kDa	External stimulus response
OAS3	NM_006187	0.64	0.66	1.87	1.72	1.08	2?-5?-Oligoadenylate synthetase 3, 100 kDa	External stimulus response
OASL	AF063612	0.66	0.63	1.37	1.22	1.02	2?-5?-Oligoadenylate synthetase-like	External stimulus response
STC1	AI300520	0.61	0.63	3.65	2.04	0.88	Stanniocalcin 1	Homeostasis
AKR1C1	NM_001353	0.55	0.56	1.63	1.52	1.5	Aldo-keto reductase family 1, member C1	Metabolism
AKR1C2	U05598	0.64	0.61	1.51	1.22	1.34	Aldo-keto reductase family 1, member C2	Metabolism
APOD	NM_001647	0.2	0.17	1.53	1.29	0.88	Apolipoprotein D	Metabolism
ATP9A	AB014511	0.55	0.6	1.71	1.23	1.2	ATPase, class II, type 9A	Metabolism
CLU	M25915	0.35	0.39	2.2	1.62	1.43	Clusterin	Metabolism
CPT1A	BF001714	0.6	0.63	1.17	1.17	1.24	Carnitine palmitoyltransferase 1A (liver)	Metabolism
MGC4171	NM_024307	0.65	0.63	1.54	1.35	1	Hypothetical protein MGC4171	Metabolism
NAT1	NM_000662	0.58	0.65	1.08	0.88	1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	Metabolism
NQO1	NM_000903	0.64	0.67	1.49	1.27	0.92	NAD(P)H dehydrogenase, quinone 1	Metabolism
OAS1	NM_016816	0.53	0.53	2.3	1.58	1	2?-5?-Oligoadenylate synthetase 1, 40/46 kDa	Metabolism
OAS3	NM_006187	0.64	0.66	1.87	1.72	1.08	2?-5?-Oligoadenylate synthetase 3, 100 kDa	Metabolism
