I/C	Accession Number	Name	Description	Functional Category
7	AA436142	SPOCK	Sparc/osteonectin, cwcv and kasal-like domains proteoglycan (testican)	Extracellular
6	AA425947	DKK3 / RIG	Dickkopf (Xenopus laevis) homolog 3	Extracellular
6	AA115876	PI12	Serine (or cystein) proteinase inhibitor, clade 1 (neuroserpin) 1	Extracellular
4	R76614	NTN14	Netrin4	Extracellular
69	H42679	HLA-DRA	Major histocompatibility complex, class II DM alpha	Transmembrane proteins
8	N62620	KCNK1	Potassium channel, subfamily K, member 1 (TWIK-1)	Transmembrane proteins
7	R38201	OPCML	Opioid-binding protein/cell adhesion molecule-like	Transmembrane proteins
7	AA464590	PTPRN2	Protein tyrosine phosphatase receptor type, N polypeptide 2	Transmembrane proteins
6	AA485795	EFNB3	Ephrin B3	Transmembrane proteins
6	H08933	GRIN2A	Glutamate receptor, ionotropic, N-methyl D-aspartate 2A	Transmembrane proteins
6	R40790	GABRG2	Gamma-aminobutyric acid (GABA) A receptor, gamma 2	Transmembrane proteins
5	T80232	ATX	Autotaxin (ectonucleotide pyrophosphatase/phosphodiesterase 2)	Transmembrane proteins
5	AA417654	FGFR3	Fibroblast growth factor receptor 3	Transmembrane proteins
5	AA393408	PDE1A	Phosphodiesterase 1A, calmodulin-dependent	Transmembrane proteins
4	W48713	EGFR	Epidermal growth factor receptor	Transmembrane proteins
4	AA454743	KLK6	Kallikrein 6	Transmembrane proteins
4	N94270	TPARL	TPA-regulated locus	Transmembrane proteins
3	R17717	CDH13	Cadherin 13	Transmembrane proteins
3	H07878	GPRl9	G protein – coupled receptor 19	Transmembrane proteins
3	R14663	DTR	Diphtheria toxin receptor (heparin-binding EGF-like growth factor)	Transmembrane proteins
3	AA479243	AMFR	Autocrine motility factor receptor	Transmembrane proteins
23	H23046	RGS7	Regulator of G-protein signaling 7	Intracellular signaling
15	R22326	EHD3	EH domain containing 3	Intracellular signaling
11	R15791	RYR2	Ryanodine receptor 2 (cardiac)	Intracellular signaling
10	AA064973	CS-1	Calcineurin-binding protein calsarcin-1	Intracellular signaling
6	R69354	SAC2	Sac domain containing inositol phosphatase 2	Intracellular signaling
4	AA464067	ITPK1	Inositol 1,3,4-triphosphate 5/6 kinase	Intracellular signaling
3	AA449831	GRB2	Growth factor receptor – bound protein 2	Intracellular signaling
3	AA454947	AKAP1	A kinase (PRKA) anchor protein 1	Intracellular signaling
3	AA496013	STK2	Serine/threonine kinase 2	Intracellular signaling
59	AA448015	INA	Internexin, neuronal intermediate filament	Cytoskeleton rearrangement
4	R27680	EMAP2	Microtubule-associated protein like echinoderm EMAP	Cytoskeleton rearrangement
4	AA598668	CHN1	Chimerin (chimaerin) 1	Cytoskeleton rearrangement
3	H24688	SMARCC2	SWI/SNF – related, matrix-associated, actin dep reg of chromatin, C2	Cytoskeleton rearrangement
2	R85257	PYK2	Protein tyrosine kinase 2 beta	Cytoskeleton rearrangement
2	AA457036	P85SPR	PAK-interacting exchange factor beta (beta-pix)	Cytoskeleton rearrangement
5		BCL2L2	Bcl2-like 2 (Bcl-w)	Apoptosis
5	T50828	CASP7	Caspase 7, apoptosis-related cysteine protease	Apoptosis
3	R43325	DAP3	Death-associated protein 3	Apoptosis
9	AA459941	PEG3	Paternally expressed 3	Transcription factors
5	H60572	TRABID	TRAF-binding protein domain	Transcription factors
4	N99243	TBX2	T-box 2	Transcription factors
4	AA234897	MEF2C	MADS box transcription enhancer factor 2C	Transcription factors
4	W00959	HLF	Hepatic leukemia factor	Transcription factors
3	R42479	ETS2	V-ets E26 oncogene	Transcription factors
77	R67147	CRYM	Crystallin mu	Unknown function
16	H54364	MAST3	Microtubule associated serine/threonine kinase 3	Unknown function
11	H24428	KIAA0513	KIAA0513 gene product	Unknown function
8	AA452725	NUCB1	Nucleobindin 1	Unknown function
7	AA456008	AF1Q	ALL1-fused gene from chromosome 1q	Unknown function
7	W48780	NP25	Neuronal protein	Unknown function
6	W60581	BEX1	Brain expressed, X-linked 1	Unknown function
5	AA227594	MAL	Mal, T-cell differentiation protein	Unknown function
4	H19439	DSCR1L1	Down syndrome critical region gene 1 – like 1	Unknown function
4	R59579	PGDS2	Prostaglandin D2 synthase (21 kDa, brain)	Unknown function
4	H66616	GLG1	Golgi apparatus protein 1	Unknown function
3	H22481	NPTX1	Neuronal pentraxin I	Unknown function
3	H45376	NELL2	Nel (chicken) – like 2	Unknown function
3	T84156	LNX	Multi-PDZ-domain – containing protein	Unknown function
