GenBank Accession No.	Symbol	Gene Name	Fold Regulation by Progestin at 6 h (mean ± SEM) T-47DE3	T-47DN5	T-47DB8	T-47DN5 Real-Time RT-PCR	Individual Isoform Regulation1	Functional Category
H15085	ARF4L2	ADP-ribosylation factor 4-like	3.17 ± 0.85, 1.15	2.71 ± 0.94, 1.45	2.46 ± 0.31, 0.35			Transcriptional Regulation/Signal Transduction
AA012867	ARF63	ADP-ribosylation factor 6	2.41 ± 0.32, 0.36	1.52 ± 0.21, 0.25	1.55 ± 0.21, 0.24			Transcriptional Regulation/Signal Transduction
H60549	CD593	CD59 antigen	2.23 ± 0.11, 0.13	1.50 ± 0.17, 0.21	1.96 ± 0.05, 0.05		PRB 1.7	Transcriptional Regulation/Signal Transduction
AA115076	CITED2	Cbp/p300-interacting transactivator 2	1.47 ± 0.13, 0.13	1.47 ± 0.13, 0.13	2.41 ± 0.25, 0.27			Transcriptional Regulation/Signal Transduction
AA456639	CSRP2BP2	CSRP2 binding protein	3.14 ± 0.47, 0.57	2.76 ± 0.28, 0.31	3.00 ± 0.32, 0.35			Transcriptional Regulation/Signal Transduction
N79030	DDX484	DEAD (Asp-Glu-Ala-Asp) box 49	2.15 ± 0.06, 0.07	2.43 ± 0.03, 0.03	1.35 ± 0.01, 0.02			Transcriptional Regulation/Signal Transduction
AA629707	DSCR12	Down syndrome candidate region I	3.20 ± 0.23, 0.25	3.64 ± 0.34, 0.37	2.16 ± 0.42, 0.53			Transcriptional Regulation/Signal Transduction
AA775091	DSIPI2	Delta sleep inducing peptide	7.01 ± 1.61, 2.09	5.86 ± 0.83, 0.97	11.50 ± 5.71, 11.37		PRA 2.5	Transcriptional Regulation/Signal Transduction
W65461	DUSP52	Dual specificity phosphatase 5	?3.27 ± 0.04, 0.05	?3.42 ± 0.02, 0.03	?2.02 ± 0.13, 0.18			Transcriptional Regulation/Signal Transduction
AA191245	ELL23	RNA polymerase II elongation factor	2.85 ± 0.54, 0.66	1.62 ± 0.04, 0.03	1.57 ± 0.32, 0.42			Transcriptional Regulation/Signal Transduction
A1286222	EPAS1	Endothelial PAS domain protein 1	1.35 ± 0.12, 0.13	1.23 ± 0.09, 0.10	2.02 ± 0.08, 0.09			Transcriptional Regulation/Signal Transduction
AA496359	ETR1013	Immediate early response 2	?1.58 ± 0.14, 0.18	?1.83 ± 0.03, 0.04	?2.46 ± 0.04, 0.04			Transcriptional Regulation/Signal Transduction
W86653	FKBP52	FK506 binding protein 5 (FKBP54)	3.85 ± 0.26, 0.28	3.65 ± 0.06, 0.05	2.40 ± 0.40, 0.48	7.44	PRA 3.3	Transcriptional Regulation/Signal Transduction
AA448277	FOXO1A4	Forkhead box O1A	2.65 ± 0.24, 0.27	2.31 ± 0.12, 0.12	1.15 ± 0.02, 0.03		PRB 9.4	Transcriptional Regulation/Signal Transduction
H72875	GATA3	GATA-binding protein 3	?1.31 ± 0.08, 0.08	?1.39 ± 0.09, 0.11	?2.14 ± 0.00, 0.00			Transcriptional Regulation/Signal Transduction
AA431832	GRN	Granulin	1.59 ± 0.05, 0.06	1.45 ± 0.05, 0.06	2.26 ± 0.11, 0.11			Transcriptional Regulation/Signal Transduction
R52798	HGF	Hepatocyte growth factor	1.36 ± 0.04, 0.04	1.15 ± 1.15, ?1.15	2.18 ± 0.13, 0.15			Transcriptional Regulation/Signal Transduction
AA598526	HIF1A4	Hypoxia-inducible factor 1	2.09 ± 0.21, 0.24	2.08 ± 0.25, 0.28	1.65 ± 0.09, 0.10			Transcriptional Regulation/Signal Transduction
T52830	IGFBP5	IGF binding protein 5	?2.15 ± 0.04, 0.04	?1.48 ± 0.04, 0.04	?1.27 ± 0.02, 0.02			Transcriptional Regulation/Signal Transduction
AA001614	INSR	Insulin receptor	1.39 ± 0.09, 0.10	1.43 ± 0.08, 0.09	2.88 ± 0.41, 0.48			Transcriptional Regulation/Signal Transduction
R70685	JAG14	Jagged 1 (HJ1)	2.00 ± 0.04, 0.05	1.51 ± 0.01, 0.00	2.18 ± 0.02, 0.01			Transcriptional Regulation/Signal Transduction
AA443659	JDP2	Jun dimerization protein 2	2.90 ± 0.21, 0.23	1.77 ± 0.08, 0.08	1.37 ± 0.05, 0.06			Transcriptional Regulation/Signal Transduction
H45668	KLF42	Kruppel-like zinc finger protein (EZF)	5.28 ± 1.35, 1.80	4.34 ± 0.54, 0.61	4.40 ± 0.98, 1.25		PRA ?7.5	Transcriptional Regulation/Signal Transduction
H27986	LMO44	LIM domain only 4	?2.20 ± 0.03, 0.04	?1.56 ± 0.09, 0.11	?2.32 ± 0.05, 0.05		PRB ?6.0	Transcriptional Regulation/Signal Transduction
T54462	MLLT74	AFX1	2.45 ± 0.08, 0.07	2.14 ± 0.00, 0.01	1.36 ± 0.08, 0.10			Transcriptional Regulation/Signal Transduction
H92201	NAPIL44	Nucleosome assembly protein 1-like 4	2.35 ± 0.14, 0.15	1.98 ± 0.19, 0.21	2.16 ± 0.17, 0.18			Transcriptional Regulation/Signal Transduction
AA486403	NDRG12	N-myc downstream regulated gene 1	4.03 ± 0.19, 0.21	3.94 ± 1.77, 3.22	13.71 ± 4.03, 5.72	40.5	PRB 6.8	Transcriptional Regulation/Signal Transduction
W56300	NFKB1A4	NF-?B inhibitor, ?	2.38 ± 0.21, 0.24	2.06 ± 0.13, 0.13	1.93 ± 0.27, 0.31		PRA 2.0	Transcriptional Regulation/Signal Transduction
R43817	NPY1R	Neuropeptide Y receptor Y1	?1.16 ± 0.07, 0.07	?2.56 ± 0.04, 0.04	n.d.	?3.14	PRB 4.2	Transcriptional Regulation/Signal Transduction
AA458503	NRIP1	Nuclear receptor interacting protein 1	?2.41 ± 0.01, 0.01	?1.37 ± 0.01, 0.01	?1.41 ± 0.02, 0.02	?1.66		Transcriptional Regulation/Signal Transduction
AA778919	P2RY6	Pyrimidinergic receptor P2Y6	?1.07 ± 0.13, 0.15	1.00 ± 0.08, 0.09	2.02 ± 0.24, 0.26			Transcriptional Regulation/Signal Transduction
AA454791	PHF153	PHD finger protein 15	1.61 ± 0.07, 0.07	1.68 ± 0.09, 0.10	2.17 ± 0.17, 0.19			Transcriptional Regulation/Signal Transduction
AA045326	PTPRJ3	Protein tyrosine phosphatase, receptor type, J	1.97 ± 0.00, 0.01	1.63 ± 0.26, 0.30	2.04 ± 0.15, 0.17			Transcriptional Regulation/Signal Transduction
H24301	RBBP8	Retinoblastoma binding protein 8	?1.61 ± 0.02, 0.02	?2.03 ± 0.01, 0.01	?1.05 ± 0.95, ?0.95			Transcriptional Regulation/Signal Transduction
T74714	RPS6KA23	Ribosomal protein S6 kinase 90 kDa	2.09 ± 0.37, 0.44	1.54 ± 0.18, 0.20	1.71 ± 0.31, 0.38			Transcriptional Regulation/Signal Transduction
AA022561	SATB14	Special AT-rich sequence binding protein 1	?2.27 ± 0.07, 0.09	?2.16 ± 0.02, 0.02	?1.53 ± 0.03, 0.03			Transcriptional Regulation/Signal Transduction
AA427595	SHB	SHB adaptor protein	1.41 ± 0.04, 0.04	1.36 ± 1.36, ?1.36	2.67 ± 0.05, 0.05			Transcriptional Regulation/Signal Transduction
AA453420	SOX42	SRY-box 4	3.02 ± 0.20, 0.22	2.53 ± 0.31, 0.36	2.13 ± 0.10, 0.11			Transcriptional Regulation/Signal Transduction
AA400464	SOX92	SRY-box 9	3.82 ± 0.00, 0.00	2.11 ± 0.50, 0.64	2.96 ± 0.25, 0.27			Transcriptional Regulation/Signal Transduction
W93653	STAF65 ?2	SPTF-associated factor 65 ?	3.34 ± 0.37, 0.42	3.81 ± 0.77, 0.96	2.99 ± 0.81, 1.13			Transcriptional Regulation/Signal Transduction
AA927923	TBX2	T-box 2	?1.45 ± 0.03, 0.03	?1.58 ± 0.05, 0.06	?2.31 ± 0.01, 0.00			Transcriptional Regulation/Signal Transduction
AA394236	TFAP2C4	Transcription factor AP-2 ?	?2.67 ± 0.04, 0.04	?1.89 ± 0.07, 0.08	?2.55 ± 0.01, 0.01			Transcriptional Regulation/Signal Transduction
AA040617	TGFB34	TGF? 3	?2.71 ± 0.04, 0.05	?2.10 ± 0.02, 0.02	?1.46 ± 0.06, 0.07		PRA ?3.0	Transcriptional Regulation/Signal Transduction
T66180	THRA2	Thyroid hormone receptor ?	3.30 ± 0.35, 0.40	3.01 ± 0.51, 0.61	3.21 ± 0.32, 0.35		PRB ?1.8	Transcriptional Regulation/Signal Transduction
R38669	TNFRSF10B	TNF receptor superfamily, member 10b	2.14 ± 0.06, 0.06	n.d.	n.d.			Transcriptional Regulation/Signal Transduction
AA102634	TRAF52	TNF receptor-associated factor 5	3.13 ± 0.87, 1.21	3.49 ± 0.22, 0.24	2.01 ± 0.20, 0.22			Transcriptional Regulation/Signal Transduction
AA464849	TXNRD14	Thioredoxin reductase	?2.26 ± 0.02, 0.02	?2.19 ± 0.01, 0.01	?1.98 ± 0.01, 0.01			Transcriptional Regulation/Signal Transduction
AA485226	VDR4	Vitamin D receptor	1.92 ± 0.08, 0.07	2.09 ± 0.13, 0.15	2.72 ± 0.18, 0.19			Transcriptional Regulation/Signal Transduction
AA130187	WT14	Wilms tumor 1	?2.07 ± 0.05, 0.05	?2.67 ± 0.03, 0.03	?1.36 ± 0.02, 0.02	?2.81		Transcriptional Regulation/Signal Transduction
N77515	ZNF11B3	Zinc finger protein 33a (KOX 31)	1.57 ± 0.10, 0.10	1.70 ± 0.11, 0.11	2.06 ± 0.09, 0.09			Transcriptional Regulation/Signal Transduction
AA464217	AKT1	V-akt homolog 1	1.91 ± 0.26, 0.31	1.45 ± 0.18, 0.21	2.23 ± 0.04, 0.04			Cell Cycle Regulation/Survival/Apoptosis
AA857163	AREG4	Amphiregulin	?2.47 ± 0.00, 0.01	?1.94 ± 0.01, 0.01	?2.67 ± 0.15, 0.24			Cell Cycle Regulation/Survival/Apoptosis
AA777187	CYR614	Cyr61	2.52 ± 0.17, 0.18	2.96 ± 0.23, 0.25	1.64 ± 0.18, 0.19	4.16		Cell Cycle Regulation/Survival/Apoptosis
AA504113	MPHOSPH 104	M phase phosphoprotein 10	3.03 ± 0.15, 0.15	1.45 ± 0.29, 0.37	2.30 ± 0.25, 0.28			Cell Cycle Regulation/Survival/Apoptosis
R32450	NPEPPS	Aminopeptidase	?2.12 ± 0.04, 0.05	?1.75 ± 0.01, 0.01	?1.34 ± 0.07, 0.07			Cell Cycle Regulation/Survival/Apoptosis
AA863383	PIM22	Pim-2 protooncogene	2.99 ± 0.20, 0.21	3.20 ± 0.11, 0.10	2.95 ± 0.43, 0.50	6.28		Cell Cycle Regulation/Survival/Apoptosis
AA464152	QSCN62	Quiescin Q6	2.49 ± 0.48, 0.60	3.18 ± 0.04, 0.04	2.95 ± 0.35, 0.41			Cell Cycle Regulation/Survival/Apoptosis
AA488084	SOD22	Superoxide dismutase 2	3.26 ± 0.30, 0.32	2.62 ± 0.34, 0.38	2.02 ± 0.13, 0.14			Cell Cycle Regulation/Survival/Apoptosis
AA599072	USP462	Ubiquitin-specific protease 46	2.38 ± 0.07, 0.07	2.11 ± 0.07, 0.08	2.48 ± 0.22, 0.24			Cell Cycle Regulation/Survival/Apoptosis
AA461325	ADD32	Adducin 3	2.13 ± 0.26, 0.28	2.13 ± 0.16, 0.18	2.15 ± 0.27, 0.30			Cell Shape/Adhesion/Membrane-Associated Functions
AA495790	ARHB2	RhoB	4.31 ± 0.94, 1.20	3.89 ± 0.41, 0.45	2.92 ± 0.45, 0.54			Cell Shape/Adhesion/Membrane-Associated Functions
AA464578	ARHGEF23	Guanine nucleotide exchange factor 2	?2.02 ± 0.06, 0.07	?1.63 ± 0.06, 0.07	?1.61 ± 0.07, 0.07			Cell Shape/Adhesion/Membrane-Associated Functions
AA873355	ATP1A12	ATPase Na+/K+ transporting ? 1	3.89 ± 0.08, 0.08	3.52 ± 0.17, 0.17	3.98 ± 0.53, 0.62			Cell Shape/Adhesion/Membrane-Associated Functions
AA283090	CD44	CD44 antigen	4.23 ± 0.59, 0.68	1.73 ± 0.27, 0.32	1.41 ± 0.09, 0.09			Cell Shape/Adhesion/Membrane-Associated Functions
AA132090	CD53	CD53 antigen	1.81 ± 0.24, 0.28	n.d.	2.24 ± 0.17, 0.17			Cell Shape/Adhesion/Membrane-Associated Functions
AA412053	CD94	CD9 antigen	2.06 ± 0.15, 0.16	1.79 ± 0.07, 0.08	2.32 ± 0.30, 0.34			Cell Shape/Adhesion/Membrane-Associated Functions
AA598787	CKAP44	Cytoskeleton-associated protein 4	2.43 ± 0.08, 0.09	1.68 ± 0.31, 0.39	2.01 ± 0.12, 0.11			Cell Shape/Adhesion/Membrane-Associated Functions
H20658	CNTN1	Contactin 1	1.23 ± 0.04, 0.06	1.44 ± 0.06, 0.05	2.06 ± 0.07, 0.07			Cell Shape/Adhesion/Membrane-Associated Functions
N66043	EEA1	Endosome-associated protein 1	?1.27 ± 0.03, 0.03	?2.08 ± 0.00, 0.00	?1.04 ± 0.02, 0.03			Cell Shape/Adhesion/Membrane-Associated Functions
AA464965	FGD13	Faciogenital dysplasia	1.82 ± 0.10, 0.09	1.79 ± 0.25, 0.30	2.79 ± 0.18, 0.19			Cell Shape/Adhesion/Membrane-Associated Functions
AA490466	GJB24	Gap junction protein ? 2 26 kDa (connexin 26)	4.28 ± 0.63, 0.73	3.83 ± 0.39, 0.44	1.11 ± 1.11, ?1.11			Cell Shape/Adhesion/Membrane-Associated Functions
AA464526	IL1R14	IL-1 receptor, type I	?2.97 ± 0.02, 0.03	?1.57 ± 0.10, 0.11	?3.02 ± 0.01, 0.01		PRB ?3.4	Cell Shape/Adhesion/Membrane-Associated Functions
AA464423	MPZL12	Myelin protein zero-like 1	3.14 ± 0.17, 0.18	3.98 ± 0.46, 0.53	4.15 ± 1.00, 1.34			Cell Shape/Adhesion/Membrane-Associated Functions
R42736	MYT14	Myelin transcription factor 1	2.15 ± 0.24, 0.27	1.71 ± 0.12, 0.14	2.19 ± 0.22, 0.24			Cell Shape/Adhesion/Membrane-Associated Functions
AA281731	NKTR4	Natural killer-tumor recognition sequence	2.11 ± 0.16, 0.18	1.52 ± 0.04, 0.04	2.66 ± 0.30, 0.34			Cell Shape/Adhesion/Membrane-Associated Functions
H22445	NPTX1	Neuronal pentraxin 1	2.19 ± 0.17, 0.17	1.44 ± 0.16, 0.19	n.d.			Cell Shape/Adhesion/Membrane-Associated Functions
N22904	PDPK14	3-Phosphoinositide dependent protein kinase-1	2.13 ± 0.10, 0.12	2.13 ± 0.23, 0.25	1.63 ± 0.04, 0.05	2.79		Cell Shape/Adhesion/Membrane-Associated Functions
R65993	PSG93	Pregnancy specific ?1-glycoprotein 9	2.26 ± 0.03, 0.02	1.96 ± 0.37, 0.47	1.78 ± 0.08, 0.07			Cell Shape/Adhesion/Membrane-Associated Functions
AA425934	S100A13	S100 calcium-binding protein A1	?2.30 ± 0.03, 0.03	?1.93 ± 0.01, 0.01	?1.78 ± 0.02, 0.02			Cell Shape/Adhesion/Membrane-Associated Functions
R32848	S100P2	S-100 calcium-binding protein P	5.96 ± 1.75, 2.46	4.93 ± 1.55, 2.25	13.47 ± 2.25, 2.71		PRA 2.4	Cell Shape/Adhesion/Membrane-Associated Functions
AA042990	SEMA3C4	Semaphorin 3C	?2.39 ± 0.02, 0.02	?1.75 ± 0.09, 0.11	?2.09 ± 0.00, 0.00		PRB 3.6	Cell Shape/Adhesion/Membrane-Associated Functions
W19822	SEMA6C3	Semaphorin 6C	2.04 ± 0.24, 0.26	1.50 ± 0.07, 0.08	1.86 ± 0.15, 0.16			Cell Shape/Adhesion/Membrane-Associated Functions
AA626264	SH3MD3	SH3 multiple domains 3	1.83 ± 0.27, 0.31	2.08 ± 0.22, 0.25	1.19 ± 1.19, ?1.19			Cell Shape/Adhesion/Membrane-Associated Functions
AA133656	SLC11A24	Solute carrier family 11, member 2	?2.37 ± 0.03, 0.03	n.d.	?2.34 ± 0.01, 0.01			Cell Shape/Adhesion/Membrane-Associated Functions
R28280	SLC7A13	Solute carrier family 7, member 1	2.18 ± 0.03, 0.03	1.74 ± 0.02, 0.03	1.78 ± 0.06, 0.06			Cell Shape/Adhesion/Membrane-Associated Functions
AA707473	SSX2IP3	Synovial sarcoma, X breakpoint 2 interacting protein	2.04 ± 0.17, 0.17	1.78 ± 0.05, 0.05	1.73 ± 0.00, 0.01			Cell Shape/Adhesion/Membrane-Associated Functions
AA256386	STARD133	START domain containing 3, RhoGAP homolog	1.61 ± 0.04, 0.05	2.13 ± 0.21, 0.23	1.80 ± 0.24, 0.28			Cell Shape/Adhesion/Membrane-Associated Functions
AA486728	VCL2	Vinculin	2.96 ± 0.17, 0.18	2.32 ± 0.09, 0.10	2.57 ± 0.11, 0.12	3.2		Cell Shape/Adhesion/Membrane-Associated Functions
H65660	ACOX1	Peroxisomal acyl-CoA oxidase	2.21 ± 0.18, 0.20	1.82 ± 0.12, 0.14	1.21 ± 0.06, 0.06		PRB 4.5	Enzyme Activity/Ion Homeostasis/Metabolism
AA489331	ADARB14	Adenosine deaminase DRADA2b	2.29 ± 0.10, 0.11	2.30 ± 0.10, 0.10	1.69 ± 0.00, 0.00		PRB 4.7	Enzyme Activity/Ion Homeostasis/Metabolism
W06980	APOH2	Apolipoprotein H	3.64 ± 0.22, 0.24	2.22 ± 0.11, 0.11	2.56 ± 0.54, 0.68			Enzyme Activity/Ion Homeostasis/Metabolism
AA862465	AZGP13	Zinc-alpha-2-glycoprotein 1	1.88 ± 0.09, 0.09	1.67 ± 0.02, 0.02	2.10 ± 0.37, 0.44			Enzyme Activity/Ion Homeostasis/Metabolism
H09959	CHK4	Choline kinase	2.78 ± 0.06, 0.06	2.11 ± 0.18, 0.21	1.94 ± 0.01, 0.01		PRB 2.6	Enzyme Activity/Ion Homeostasis/Metabolism
AA700556	CSTF33	Cleavage stimulation factor 3? pre-RNA subunit 3	?2.09 ± 0.05, 0.05	?1.95 ± 0.02, 0.02	?1.90 ± 0.04, 0.04			Enzyme Activity/Ion Homeostasis/Metabolism
AA487460	DPYSL24	Dihydropyrimidinase related protein-2	2.97 ± 0.34, 0.38	3.71 ± 0.33, 0.36	1.60 ± 0.35, 0.45		PRB 2.0	Enzyme Activity/Ion Homeostasis/Metabolism
T73556	FACL24	Long chain fatty acid acyl-coA ligase	2.85 ± 0.36, 0.40	2.68 ± 0.18, 0.20	1.61 ± 0.35, 0.44			Enzyme Activity/Ion Homeostasis/Metabolism
W95082	HSD11B24	Hydroxysteroid-11?-dehydrogenase 2	3.02 ± 0.21, 0.22	1.88 ± 0.23, 0.26	2.64 ± 0.27, 0.31		PRA 6.5	Enzyme Activity/Ion Homeostasis/Metabolism
AA018658	KIAA01933	Secernin 1	2.14 ± 0.14, 0.15	1.63 ± 0.10, 0.10	1.84 ± 0.12, 0.13		PRB 22.6	Enzyme Activity/Ion Homeostasis/Metabolism
AA701081	LRRTM23	Leucine-rich repeat transmembrane 2	1.56 ± 0.12, 0.13	1.69 ± 0.07, 0.07	2.04 ± 0.11, 0.11			Enzyme Activity/Ion Homeostasis/Metabolism
T91261	MAN1A14	Mannosidase ? class 1A, member 1	2.50 ± 0.28, 0.31	1.53 ± 0.12, 0.14	2.38 ± 0.24, 0.28			Enzyme Activity/Ion Homeostasis/Metabolism
T59245	MAT2A2	S-Adenosylmethionine synthetase ?	2.21 ± 0.12, 0.12	2.03 ± 0.06, 0.05	2.06 ± 0.29, 0.33			Enzyme Activity/Ion Homeostasis/Metabolism
H72723	MT1B	Metallothionein IB	1.30 ± 0.05, 0.04	1.32 ± 0.09, 0.09	2.31 ± 0.13, 0.14			Enzyme Activity/Ion Homeostasis/Metabolism
T56281	MT1F3	Metallothionein IF	1.50 ± 0.05, 0.04	1.70 ± 0.01, 0.01	2.16 ± 0.01, 0.01			Enzyme Activity/Ion Homeostasis/Metabolism
H53340	MT1G	Metallothionein IG	1.34 ± 0.08, 0.09	1.41 ± 0.02, 0.02	2.50 ± 0.21, 0.22			Enzyme Activity/Ion Homeostasis/Metabolism
N80129	MT1X	Metallothionein IL	1.46 ± 0.08, 0.09	1.52 ± 0.01, 0.01	2.16 ± 0.26, 0.29			Enzyme Activity/Ion Homeostasis/Metabolism
N78582	PRKAB24	AMP-activated protein kinase ?2	2.36 ± 0.12, 0.13	2.23 ± 0.06, 0.06	1.50 ± 0.01, 0.02			Enzyme Activity/Ion Homeostasis/Metabolism
R10154	SENP34	SUMO1/sentrin/SMT3-specific protease 3	2.54 ± 0.26, 0.30	1.95 ± 0.18, 0.20	3.11 ± 0.48, 0.56			Enzyme Activity/Ion Homeostasis/Metabolism
AA453813	SIAT4C4	Sialyltransferase 4C	1.59 ± 0.07, 0.07	3.02 ± 0.08, 0.08	2.82 ± 0.01, 0.00			Enzyme Activity/Ion Homeostasis/Metabolism
H58873	SLC2A13	Glucose transporter	1.76 ± 0.07, 0.08	1.67 ± 0.16, 0.18	2.33 ± 0.00, 0.01			Enzyme Activity/Ion Homeostasis/Metabolism
A1653116	SULF14	Sulfatase 1	?2.49 ± 0.01, 0.01	?2.48 ± 0.01, 0.01	?1.15 ± 0.04, 0.05			Enzyme Activity/Ion Homeostasis/Metabolism
N22272	UGT8	UDP glycosyltransferase 8	n.d.	1.34 ± 1.34, ?1.34	n.d.			Enzyme Activity/Ion Homeostasis/Metabolism
AA425900	UNG24	Uracil-DNA glycosylase 2	?2.37 ± 0.01, 0.01	?2.59 ± 0.05, 0.05	?1.61 0.03, 0.03			Enzyme Activity/Ion Homeostasis/Metabolism
AA457115	YARS2	Tyrosyl-tRNA synthetase	3.23 ± 0.51, 0.62	3.00 ± 0.52, 0.64	2.52 ± 0.50, 0.62			Enzyme Activity/Ion Homeostasis/Metabolism
A1650352	24653	Clone 24653	1.48 ± 0.19, 0.22	1.88 ± 1.88, ?1.88	2.68 ± 0.43, 0.52			Unknown Function
AA454990	BTBD32	BTB/POZ domain containing 3	2.80 ± 0.17, 0.18	2.77 ± 0.49, 0.60	2.58 ± 0.70, 0.95			Unknown Function
AA887201	C13orf14	Chr 13 open reading frame 1	1.86 ± 0.31, 0.37	4.39 ± 0.07, 0.07	2.38 ± 0.27, 0.32			Unknown Function
H17638	C6orf113	Chr 6 open reading frame 11	1.52 ± 0.06, 0.06	1.72 ± 0.14, 0.16	2.05 ± 0.11, 0.11			Unknown Function
AA405625	C6orf1304	Chr 6 open reading frame 130	3.06 ± 0.13, 0.13	1.88 ± 0.19, 0.22	3.57 ± 0.09, 0.10			Unknown Function
N57754	CAGH3	CAGH3	n.d.	n.d.	2.06 ± 0.16, 0.17			Unknown Function
N80458	DKFZP434B168	DKFZP434B168	2.01 ± 0.17, 0.19	1.62 ± 0.02, 0.02	n.d.			Unknown Function
AA707503	DKFZP434I092	DKFZP434I092	2.41 ± 0.23, 0.27	1.12 ± 0.07, 0.07	n.d.			Unknown Function
N36172	DKFZp564A023	DKFZp564A023	1.46 ± 0.10, 0.10	1.80 ± 0.05, 0.05	2.11 ± 0.09, 0.10			Unknown Function
A1635773	FLJ136124	Putative secretory protein hBET3	1.98 ± 0.09, 0.10	2.42 ± 0.32, 0.36	2.84 ± 0.54, 0.68			Unknown Function
R32025	FLJ907542	EUROIMAGE 248114	4.73 ± 0.56, 0.64	7.94 ± 0.59, 0.63	4.71 ± 0.70, 0.81			Unknown Function
AA142980	GAF12	?-SNAP-associated factor 1	2.76 ± 0.30, 0.34	2.66 ± 0.30, 0.34	2.32 ± 0.24, 0.27			Unknown Function
AA700631	Hs clone 237122	FLJ35626	2.38 ± 0.04, 0.04	2.48 ± 0.20, 0.21	3.46 ± 0.35, 0.39			Unknown Function
AA489640	IFIT1	Interferon-inducible 56-kDa protein	?1.71 ± 0.10, 0.12	?2.08 ± 0.01, 0.01	?1.17 ± 0.04, 0.03			Unknown Function
AA406589	KIAA02322	KIAA0232 protein	2.08 ± 0.30, 0.34	2.07 ± 0.25, 0.28	2.41 ± 0.46, 0.56			Unknown Function
A1215927	KIAA02854	KIAA0285 protein	?2.60 ± 0.04, 0.05	?2.03 ± 0.06, 0.07	?1.82 ± 0.10, 0.13			Unknown Function
AA062802	KIAA03544	KIAA0354 protein	1.95 ± 0.19, 0.21	2.35 ± 0.13, 0.13	3.32 ± 0.54, 0.65			Unknown Function
AA706967	KIAA06503	KIAA0650 protein	1.71 ± 0.04, 0.04	2.14 ± 0.10, 0.09	1.51 ± 0.20, 0.24			Unknown Function
AA775275	LMTK2	Lemur tyrosine kinase 2	4.29 ± 0.74, 0.89	1.46 ± 0.23, 0.26	1.95 ± 0.30, 0.35			Unknown Function
N59057	MGC10871	DKFZp586F1322	1.47 ± 0.17, 0.19	1.62 ± 0.09, 0.09	2.19 ± 0.22, 0.24			Unknown Function
