Affy ID	Gene Description	Gene Symbol	Chromosomal Location	Eigengene 1 Score
1426191_a_at	Bcl2-like 1	Bcl2l1(Bcl-xl)	chr2 H1	-0.0361800
1416221_at	follistatin-like 1	Fstl1	chr16 B3	-0.0307200
1456380_x_at	calponin 3, acidic	Cnn3	chr3 G1	-0.0278100
1453009_at	carboxypeptidase M	Cpm	chr10 D2	-0.0268800
1448259_at	follistatin-like 1	Fstl1	chr16 B3	-0.0259100
1418317_at	LIM homeobox protein 2	Lhx2	chr2 B	-0.0250700
1429089_s_at	RIKEN cDNA 2900026A02 gene	2900026A02Rik	chr5 F	-0.0245800
1419332_at	EGF-like-domain, multiple 6	Egfl6	chrX F5	-0.0245000
1445226_at	cDNA sequence BC023969	BC023969	NA	-0.0244600
1427005_at	polo-like kinase 2	Plk2	chr13 D2.1	-0.0243900
1451386_at	biliverdin reductase B	Blvrb	chr7 A3	-0.0241700
1422892_s_at	histocompatibility 2, class II antigen E alpha	H2-Ea	chr17 B1	-0.023739999
1428289_at	Basic transcription element binding protein 1	Klf9	chr19 C1	-0.02342
1454632_at	RIKEN cDNA 6330442E10 gene	6330442E10Rik	chr12 C3	-0.023159999
1449732_at	zinc finger proliferation 1	Zipro1	chr5 G2	-0.02306
1421430_at	RAD51-like 1	Rad51l1	chr12 C3	-0.02245
1417745_at	carboxypeptidase N, polypeptide 1	Cpn1	chr19 D2	-0.0222300
1418377_a_at	Cd27 binding protein (Hindu God of destruction)	Siva	chr12 F2	-0.0206400
1427053_at	RIKEN cDNA D930038M13 gene	NA	NA	0.0243100
1449965_at	mast cell protease 8	Mcpt8	chr14 C2	0.0243400
1452251_at	neurobeachin	Nbea	chr3 C	0.0243400
1421186_at	chemokine (C-C motif) receptor 2	Ccr2	chr9 F	0.0243600
1457035_at	expressed sequence AI607873	AI607873	chr1 H3	0.0243800
1416645_a_at	alpha fetoprotein	Afp	chr5 E1	0.0244000
1421571_a_at	lymphocyte antigen 6 complex, locus C	Ly6c	chr15 D3	0.0244100
1456061_at	GTPase, IMAP family member 8	Gimap8	chr6 B2.3	0.0244200
1452757_s_at	Hemoglobin alpha, adult chain 1	Hba-a1	chr11 A4	0.0244400
1439278_at	Zinc finger and BTB domain containing 20	Zbtb20	chr16 B4	0.0244500
1445597_s_at	HRAS like suppressor 3	Hrasls3	chr19 A	0.0244600
1452205_x_at	T-cell receptor beta, variable 13	Tcrb-V13	chr6 B1	0.0245100
1422064_a_at	Zinc finger and BTB domain containing 20	Zbtb20	chr16 B4	0.0245100
1419569_a_at	interferon-stimulated protein	Isg20	chr7 D1	0.0245200
1427576_at	Immunoglobulin kappa chain, constant region	Igk-C	NA	0.0245500
1448931_at	coagulation factor II (thrombin) receptor-like 1	F2rl1	chr13 D1	0.0246200
1435761_at	Stefin A1	Stfa1	chr16 B3	0.0246400
1424375_s_at	GTPase, IMAP family member 4	Gimap4	chr6 B2.3	0.0247200
1450784_at	reversion-inducing-cysteine-rich protein with kazal motifs	Reck	chr4 B1	0.0248600
1455531_at	RIKEN cDNA A930031D07 gene	A930031D07Rik	chr1 E4	0.0249000
1460423_x_at	Immunoglobulin kappa chain variable 21	IgM	chr6 C1	0.0249700
1427102_at	schlafen 4	Slfn4	chr11 C	0.0249900
1450808_at	formyl peptide receptor 1	Fpr1	chr17 A2	0.0250600
1420686_at	crystallin, beta A4	Cryba4	chr13 C3	0.0252200
1447927_at	macrophage activation 2 like	Mpa2l	NA	0.0252600
1424509_at	RIKEN cDNA 1190003K14 gene	1190003K14Rik	chr7 A3	0.0252700
1451342_at	spondin 1	Spon1	chr7 F1	0.0254100
1427799_x_at	immunoglobulin kappa chain, constant region	Igk-C	chr6 C1	0.0255000
1429006_s_at	RIKEN cDNA 2610110G12 gene	2610110G12Rik	chr17 B3	0.0257000
1437466_at	Activated leukocyte cell adhesion molecule	Alcam	chr16 B5	0.0258500
1452535_at	Ig rearranged heavy chain (NC12-H7) mRNA VH-DH-JH1 region	NA	NA	0.0258600
1427442_a_at	Amyloid beta (A4) precursor protein	App	chr16 C3-qter	0.0259100
1422928_at	Neutrophil elastase	NE	chr10 C1	0.0259300
1425871_a_at	immunoglobulin kappa chain variable 28	Igk-V28	chr6 C1	0.0259500
1456250_x_at	transforming growth factor, beta induced	Tgfbi	chr13	0.0259500
1419537_at	transcription factor EC	Tcfec	chr6 E4-G	0.0260100
1416424_at	mannose-6-phosphate receptor binding protein 1	M6prbp1	chr17 D	0.0261100
1437397_at	expressed sequence AI987712	AI987712	chr15 A1	0.0261400
1418531_at	oocyte secreted protein 1	Oosp1	chr19 A	0.0262000
1450753_at	natural killer cell group 7 sequence	Nkg7	chr7 B2	0.0262400
1418612_at	schlafen 1	Slfn1	chr11 C	0.0263600
1420782_at	tumor necrosis factor receptor superfamily, member 17	Tnfrsf17	chr16 B3	0.0263900
1455372_at	cytoplasmic polyadenylation element binding protein 3	Cpeb3	chr19 C2	0.0264200
1442544_at	immunoglobulin heavy chain	Igh-4	chr12	0.0264300
1452117_a_at	FYN binding protein	Fyb	chr15 A1	0.0264600
1449838_at	cysteine-rich secretory protein 3	Crisp3	chr17 B1	0.0265100
1438035_at	expressed sequence AW061290	AW061290	chr17 E3	0.0265400
1434725_at	RIKEN cDNA 4921521N14 gene	4921521N14Rik	chr16 B4	0.0265600
1415949_at	Carboxypeptidase E	Cpe	chr8 B3.1	0.0265700
1452717_at	solute carrier family 25, member 24	Slc25a24	chr3 F3	0.0267100
1415780_a_at	armadillo repeat containing, X-linked 2	Armcx2	chrX E3	0.0268800
1440865_at	interferon induced transmembrane protein 6	Ifitm6	chr7 F5	0.0269300
1423754_at	interferon induced transmembrane protein 3	Ifitm3	chr7 F5	0.0269400
1422873_at	proteoglycan 2, bone marrow	Prg2	chr2 D	0.0269800
1422632_at	cathepsin W	Ctsw	chr19 A	0.0269900
1450521_a_at	T-cell receptor gamma, variable 4	Tcrg	chr13	0.0270000
1451006_at	xanthine dehydrogenase	Xdh	chr17 E2	0.0270300
1448168_a_at	salivary protein 1	Spt1	chr15 F3	0.0271200
1429527_a_at	phospholipid scramblase 1	Plscr1	chr9 E3.3 /// chr1 C5	0.0271500
1424631_a_at	Immunoglobulin heavy chain (gamma polypeptide)	Ighg	chr12 F1	0.0272100
1418734_at	Histocompatibility 2, Q region locus 1	BE136769	NA	0.0272100
1417494_a_at	ceruloplasmin	Cp	chr3 D	0.0272300
1424917_a_at	DNA segment, Chr 11, ERATO Doi 498, expressed	D11Ertd498e	chr11 E1	0.0272900
1441972_at	RIKEN cDNA 6230424C14 gene	6230424C14Rik	NA	0.0274000
1452794_x_at	spermatogenesis associated glutamate (E)-rich protein 1, pseudogene 1	Speer1-ps1	chr5 A1	0.0274400
1429381_x_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	chr12 F2	0.0274900
1439665_at	G protein-coupled receptor 23	Gpr23	chrX D	0.0275400
1452536_s_at	Immunoglobulin kappa chain variable 21	Igk-V1	NA	0.0275800
1427655_a_at	RIKEN cDNA A630038E17 gene	A630038E17Rik	chr14 C1	0.0275900
1450009_at	lactotransferrin	Ltf	chr9 F	0.0275900
1418773_at	fatty acid desaturase 3	Fads3	chr19 B	0.0277000
1417704_a_at	Rho GTPase activating protein 6	Arhgap6	chrX F5	0.0277100
1417210_at	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	Eif2s3y	chrY A1	0.0277200
1449147_at	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Chst1	NA	0.0277400
1448713_at	signal transducer and activator of transcription 4	Stat4	chr1 C1.1	0.0277900
1419603_at	interferon activated gene 204 /// myeloid cell nuclear differentiation antigen	Ifi204 /// Mnda	chr1 H3	0.0278000
1455527_at	RIKEN cDNA E430002D04 gene	LOC546014	chr7 F4	0.0278300
1437308_s_at	coagulation factor II (thrombin) receptor	F2r	chr13 D1	0.0279300
1425247_a_at	immunoglobulin heavy chain	Igh-4	chr12	0.0280200
1440808_x_at	RIKEN cDNA E430002D04 gene	LOC546014	chr7 F4	0.0280400
1438018_at	hook homolog 1	Hook1	chr4 C5	0.0280700
1435560_at	integrin alpha L	NA	NA	0.0280800
1419874_x_at	Zinc finger and BTB domain containing 16	Zbtb16	chr9 A5.3|	0.0280800
1448123_s_at	transforming growth factor, beta induced	Tgfbi	chr13	0.0281300
1434152_at	RIKEN cDNA 2210421G13 gene	2210421G13Rik	chr15 E1	0.0281700
1454713_s_at	histidine decarboxylase	Hdc	chr2 E5-G	0.0282700
