Genes	Loci	Gene name	Proposed function
NISCH	3p21.1	Nischarin	Human I(l)-imidazdine receptor candidate gene, IRAS
PIGH	14q11-q24	Phosphatidylinositol glycan, class H cyclin-dependent kinase inhibitor 1A (p21, Cip1) activated	Encodes an endoplasmic reticulum associated–protein that is invovled in GPI-anchor biosynthesis
PAK3	Xq22.3-q23	Kinase 3	Critical effectors that link Rho GTPases to cytoskeleton reorganization and nuclear signaling
TUBB4	19p13.3	Tubulin, ?4	?-tubulin
KIF1A	2q37.3	Kineasin family member 1A	Anterograde motor protein that transports membranous organelles along axonal microtubules
MAL	2cen-q13	T-cell proliferation protein	A candidate linker protein in T-cell signal transduction
ENPEP	4q25	Glutamyl aminpeptidase	Type II integral membrane protein
MCAM	11q23.3	Melanoma cell adhasion molecule	Cell adhesion
SSBP2	5q13.3	ssDNA-binding protein 2	DNA binding
B4GALT1	9p21	? 1,4-galactosyltransferase, polypeptide 1	Elevated level in highly metastatic human lung cancer cells
OSMR	5p12	Oncostatin M receptor	Induces apoptosis in adrenocortical Y-1 tumor cells
NTRK2	9q22.1	Neurotrophic tyrosine kinase, receptor, type 2	Receptor for brain-derived neurotrophic factor, neurotrophin-3
PAPSS2	10q23.1-q23.2	3?-phosphoadenosis 5?-phosphosulfate synthetase 2	Bifunctional enzyme with both atp sulfurylase and aps kinase activity
SFRP4	7p14.1	Secreted frizzled-related protein 4	Modulators of Wnt signaling
TUBG2	17q21	?-Tubulin gene	Ostomalacia-associated tumors and endometrial and breast carcinomas
PTGS 2	1q25.2-q25.3	Prostaglandin-endoperoxide synthase 2	Prostaglandin biosynthesis
NPTX1	17q25.1-q25.2	Neuronal pentraxin I	Calcium ion binding, transport, and synaptic transmission
CCNA1	13q12.3-q13	Cyclin A1	Cell cycle
ASMTL	Xp22.3; Yp11.3	Acetylserotonin O-methyltransferase like	O-methyltransferase activity, S-adenosylmethionine-dependent methyltransferase activity
TFP12	7q22	Tissue factor pathway inhibitor 2	Serine-type endopeptidase inhibitor activity, extracellular matrix structural constituent
OGDHL	10q11.23	Oxoglutarate dehydrogenase like	Plays a major role in the citric acid cycle, converting ?-ketoglutarate to succiynl CoA
DLL4	15q14	?-like 4 (Drosophila)	Notch binding, calciumion binding
GDAP1L1	20q12	Ganglioside-induced differentiation-associated protein 1-like 1	Mutation in human GDAP1 are associated with Charcot-Marie-Tooth–type 4A disease
C1ORF166	1p36.12	Hypothetical protein LOC79594	Involved in mediating protein-protein interactions
ARMC7	17q25.1	Amadillo repeat containing 7	Binding
C13orf18	13q14.12	Protein chromosome 13 open reading frame 18	Protein phosphatase inhibitor activity
C9orf19	9p13-p12	Golgi-associated plant pathogenesis-related protein 1	Extracellular region
HCP1	17q11.2	Home carrier protein 1	Transporter activity
