Affymetrix ID	Fold Induction	Common name	Description
1371315_at	0.409		Similar to myosin light chain 2a, MLC2a=myosin light chain 2 isoform (LOC289759), mRNA
1383675_at	0.409		UI-R-CW0-bvx-f-09-0-UI.s1 UI-R-CW0 Rattus norvegicus cDNA clone UI-R-CW0-bvx-f-09-0-UI 3, mRNA sequence.
1387586_at	0.41	Csnk1g1	casein kinase 1 gamma 1
1378018_at	0.419	Adar	adenosine deaminase, RNA-specific
1395380_at	0.466		Similar to selenoprotein N, 1; selenoprotein N; muscular dystrophy with rigid spine 1; rigid spine muscular dystrophy 1 (LOC362624), mRNA
1371235_at	0.472	Grm6	glutamate receptor, metabotropic 6
1387517_at	0.481	Syt13	synaptotagmin 13
1398627_at	0.486		Transcribed sequences
1393668_at	0.503		Similar to RIKEN cDNA 1810022F11 (LOC288369), mRNA
1367564_at	0.505	Nppa	natriuretic peptide precursor type A
1369539_at	0.507	Siat6	sialyltransferase 6
1380446_at	0.508		Similar to AF-10 protein (LOC361285), mRNA
1371754_at	0.51	Pcscl	peroxisomal Ca-dependent solute carrier-like protein
1367616_at	0.51	Nppb	natriuretic peptide precursor type B
1388963_at	0.525		Transcribed sequences
1367998_at	0.528	Slpi	secretory leukocyte protease inhibitor
1394828_at	0.53		Similar to lysophospholipase 3 (LOC361401), mRNA
1390518_at	0.531		Transcribed sequence with strong similarity to protein ref:NP_542162.1 (M.musculus)  Emu1 protein [Mus musculus]
1395477_at	0.532		Transcribed sequence with weak  similarity to protein sp:P05534 (H.sapiens) 1A24_HUMAN HLA class I histocompatibility antigen, A-24
1385229_at	0.535		UI-R-BO0-aii-a-07-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-aii-a-07-0-UI 3, mRNA sequence.
1373717_at	0.535		UI-R-CA1-ble-a-06-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-ble-a-06-0-UI 3, mRNA sequence.
1393400_at	0.537	Zap70	zeta-chain (TCR) associated protein kinase 70kDa
1397207_at	0.538		Similar to mKIAA1046 protein (LOC307774), mRNA
1391208_at	0.539		Transcribed sequences
1396152_s_at	0.54	Igfbp5	insulin-like growth factor-binding protein 5
1368255_at	0.541	RNU16845	neurotrimin
1377483_at	0.544		EST231298 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVCG95 3 end, mRNA sequence.
1386070_at	0.544		Transcribed sequences
1368001_at	0.545	Apeg1
1368637_at	0.546	LOC64171	caspase recruitment domain protein 9
1383215_at	0.549		Similar to AI428795 protein (LOC304558), mRNA
1396214_at	0.551	Kitl	kit ligand
1394503_at	0.552		Transcribed sequences
1398459_at	0.553	Cacna1a	calcium channel, voltage-dependent, alpha 1A subunit
1370850_at	0.553	Scnb3	sodium channel beta 3 subunit
1396356_at	0.555		UI-R-DK0-cfr-b-07-0-UI.s1 UI-R-DK0 Rattus norvegicus cDNA clone UI-R-DK0-cfr-b-07-0-UI 3, mRNA sequence.
1369182_at	0.557	F3	coagulation factor 3
1383969_at	0.557		Transcribed sequence with weak  similarity to protein sp:Q9Y473 (H.sapiens) Z175_HUMAN Zinc finger protein 175
1374167_at	0.561		Hypothetical LOC291982 (LOC291982), mRNA
1384723_at	0.561	Fut11	alpha3-fucosyltransferase 11
1371112_at	0.569	Ret	ret proto-oncogene
1393847_at	0.571		UI-R-C0-jh-d-12-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-jh-d-12-0-UI 3, mRNA sequence.
1376554_at	0.572		Transcribed sequence with moderate similarity to protein ref:NP_114415.1 (H.sapiens)  CDA11 protein [Homo sapiens]
1374992_at	0.573		UI-R-AF1-aaq-f-11-0-UI.s1 UI-R-AF1 Rattus norvegicus cDNA clone UI-R-AF1-aaq-f-11-0-UI 3, mRNA sequence.
1382691_at	0.573	Sf3b1	splicing factor 3b, subunit 1, 155kD
1398084_at	0.575		Transcribed sequences
1367752_at	0.576	Crkas	v-crk-associated tyrosine kinase substrate
1392582_at	0.579		Transcribed sequences
1380306_at	0.581		Transcribed sequences
1380392_at	0.585		Similar to bromodomain-containing protein BRD4 short variant (LOC362844), mRNA
1382478_at	0.585		Similar to mKIAA0952 protein (LOC311462), mRNA
1394447_at	0.588		UI-R-CA0-bpf-c-05-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bpf-c-05-0-UI 3, mRNA sequence.
1373098_at	0.588	Band83	band 83
1393580_at	0.591		Transcribed sequences
1392613_at	0.593		EST198244 Normalized rat brain, Bento Soares Rattus sp. cDNA clone RBRAA58 3 end, mRNA sequence.
1385393_at	0.597		UI-R-BJ1-aub-e-10-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-aub-e-10-0-UI 3, mRNA sequence.
1384110_at	0.598		Transcribed sequences
1394822_at	0.599		Similar to Git2 protein (LOC304546), mRNA
1381000_at	0.6		Transcribed sequences
1373233_at	0.602		Transcribed sequences
1397225_at	0.602		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1371142_at	0.604	Cyp2g1	cytochrome P450, subfamily 2G, polypeptide 1
1393389_at	0.605		Transcribed sequences
1391345_at	0.606		Transcribed sequences
1384960_at	0.606		UI-R-DA0-bzh-b-10-0-UI.s1 UI-R-DA0 Rattus norvegicus cDNA clone UI-R-DA0-bzh-b-10-0-UI 3, mRNA sequence.
