Pathway name	Pathway Code	Genbank ID	Gene Title	Gene Symbol	5 h CS vs Air                         FC + SEM	8 d CS vs Air            FC + SEM	8 d Air vs 5 h Air            FC + SEM	1.5 mo CS vs Air                         FC + SEM	1.5 mos Air vs 5 h Air            FC + SEM	6 mos CS vs Air                                  FC + SEM	6 mos Air vs 5 h Air  FC + SEM
Phase I	1	NM_009626	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	Adh7	2.8 + 0.4	2.1 + 0.5	N.C.	3.5 + 0.5	N.C.	8.8 + 0.4	N.C.
Phase I	1	NM_008012	aldo-keto reductase family 1, member B8	Akr1b8	3.5 + 0.4	N.C.	N.C.	1.6 + 0.4	N.C.	2.9 + 0.4	N.C.
Phase I	1	AI462635	aldehyde dehydrogenase 2, mitochondrial	Aldh2	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.
Phase I	1	NM_007436	aldehyde dehydrogenase family 3, subfamily A1	Aldh3a1	10.6 + 0.4	2.0 + 0.5	2.2 + 0.4	5.0 + 0.6	N.C.	11.8 + 0.4	N.C.
Phase I	1	AV028069	aldehyde dehydrogenase 9, subfamily A1	Aldh9a1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_009676	aldehyde oxidase 1	Aox1	1.5 + 0.4	N.C.	N.C.	2.0 + 0.3	N.C.	2.1 + 0.4	N.C.
Phase I	1	NM_023617	aldehyde oxidase 3	Aox3	N.C.	1.8 + 0.4	-1.2	1.6 + 0.4	N.C.	N.C.	N.C.
Phase I	1	NM_007606	carbonic anhydrase 3	Car3	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.
Phase I	1	BE132973	carbonic anhydrase 5b, mitochondrial	Car5b	1.9 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_007620	carbonyl reductase 1	Cbr1	N.C.	N.C.	N.C.	N.C.	N.C.	1.9 + 0.3	N.C.
Phase I	1	AK003232	carbonyl reductase 3	Cbr3	4.4 + 0.4	1.5 + 0.4	N.C.	2.4 + 0.4	N.C.	4.0 + 0.4	N.C.
