Gene no.	Gene name	CpG	Chromosomal	NUGC3	KATOIII	NUGC4	AZ521	MKN7	Methods
NM_004181	PGP9.5	(+)	4p14	M	M	M	U	U	SQ
AL136939	Homologue of yeast LCFAE	(+)	6p21	U	M	M	M	M/U	SQ
NM_024576	FLJ21079(Opioid receptor-like)	(+?)	6q13	M	M	U	U	U	SQ
M60485	Fibroblast growth factor receptor (FGFR)	(+)	8p11	U	M	M/U	M/U	U	MSP
NM_023929	Zinc finger protein RINZF	(+)	8q13-21	U	M	U	U	U	SQ
U38945	p16	(+)	9p22	M	M	D	M	U	SQ
NM_000170	Glycine dehydrogenase	(+)	9p22	D	M	M	U	U	SQ
NM_014368	LIM-6	(+)	9q34	M/U	M	U	U	U	MSP
AL157398	Nebulette	(+)	10p12	M/U	M	U	U	U	MSP
NM_002906	Radixin	(+?)	11q23	U	M	U	U	U	SQ
NM_014333	TLSC1	(+)	11q23	U	M	M	U	M/U	SQ
NM_006931	GLUT3(SLC14)	(+)	12p13	M	M	M	M	M	SQ
NM_025083	FLJ21128	(+)	15q23-24	U	M	U	U	U	SQ
AI358867	Apolipoprotein E	(+)	19q13	D	M	M	D	U	SQ
NM_003098	Syntrophin ? 1	(+)	20q11	D	M	D	U	U	SQ
NM_014258	Synaptonemal complex protein 2	(+?)	20q13	M	M	M	M	M	SQ
