Accession number BAC	Chromosomal localization	Size (kb)	GenesIn BAC	Genes -50 kb	Genes +50 kb
CTB-63H24	21q22.3	161	DIP2A, S100B, PRMT2	NA	NA
RP11-56D20	4q23	176	NA	NA	DDIT4L
RP5-1078A23	7q21.13	73	NA	STEAP 4	NA
RP11-17C4	4q32.1	127	NA	GRIA2	NA
RP4-547N15	1p31.2	133	SLC35D1	MIER1	IL23R
RP11-115M13	8q23.1	159	RSPO2	NA	NA
RP11-579A4	17q23.2	132	RAD51C, PPM1E	TEX14	NA
CTC-1499I20	4q34.3	102	NA	NA	NA
RP5-959I16	20p12.3	114	NA	NA	NA
RP11-426E5	10q25	197	GPAM, TECTB	NA	NA
RP11-335K21	4q20.3	150	NA	PCDH10	NA
RP11-440G2	12q12	116	NA	YAF2	NA
RP11-24C13	7q32.1	155	GRM8	NA	NA
RP11-543P15	12p13.32	164	TSPAN9	NA	NA
CTC-1499I20	17q34.3	100	NA	NA	NA
RP11-490M17	2q14.3	44	NA	NA	NA
RP11-368P1	6q24.1	139	NA	NMBR	NA
GS1-225F6	Xq28	100	SPRY3	NA	SYBL1
RP3-473J16	6q26	176	AGPAT4, MAP3K4	NA	NA
RP11-537N4	19q13.2	222	LTBP4, NUMBL, ADCK4, ITPKC, SNRPA, MIA, RAB4B, EGLN2	SHKBP1,SPTBN4	CYP2A6, CYP2A7
RP4-550A13	7q22.1	80	MYH16, ARPC1A	NA	NA
RP11-147K16	17p13.2	134	SPATA22, OR1E2, TRPV3, ASPA, OR3A3	OR3A4	TRPV1
CTC-489D14	8q24.3	105	COMMD5, ZNF250, ZNF7, ZNF16	ZNF517	NA
RP1-115K14	Xq23	19	LHFPL1	NA	NA
RP11-285H8	19p13.12	0.5	NA	ZSWIM4	NANOS3
RP11-286E7	1q32.3	176	RPS6KC1
RP11-405A15	15q26.1	16	MAN2A2	FES, FURIN	UNC45A, HDDC3,PRC1
RP11-483P21	16q23.3	173	CDH13, HSBP1, MLYCD	NA	OKL38, EFCBP2
RP11-500M22	19p13.3	203	M6PRBP1, UHRF1, JMJD2B	TICAM1	NA
RP1-154J13	Xq26.2	128	OR13H1	IGSF1	NA
RP11-560I19	7q31.32	177	CADPS2	AASS	NA
RP3-443C4	6q25.1	67	ESR1	NA	NA
RP5-1030A12		114	NLGN2, FGF11, POLR2A, TMEM102, CHRNB1, ZBTB4, AMAC1L3	TNK1, PLSCR3, NLGN2	SENP3, EIF4A1, TNFSF12
CTB-1187M2	17p11.2	149	ZNF179	MAPK7, MFAP4	NA
RP11-157C8	4q12	148	USP46	NA	NA
RP11-1197E19	4p16.3	67	LETM1, WHSC1	FGFR3	NA
RP11-22E12	3q22.1	169	KY	NA	NA
RP11-243K18	16p13.3	0.7	RAB11FIB3	NME4, DECR2	NA
RP11-283C7	16q12.2	60	NETO2	NA	NA
RP11-345J13	2p25.1	173	PQLC3, ROCK2	NA	NA
RP11-555F9	9q22.3	176	NA	NA	DIRAS2
RP1-162E17	17p11.2	125	EPN2, MAPK7, MFAP4		ZNF179
RP11-83N9	9q34.3	155	BTBD14A, C9orf69, LHX3, QSCN6L1	NA	NA
RP11-84C16	19q13.31	210	BCL3, CBLC, LU, PVRL2, TOMM40, APOE,APOC1	CEACAM19	APOC4, APOC2, CLPTM1
