Accession no.	Gene description	2 hours First	Second	6 hours First	Second	18 hours First	Second	24 hours First	Second	dim/wt First	Second	Expression
AA020552	IMAGE:455550 5	0.86	1.2	1.15	1.27	1.7	2.12	1.56	3.44	1.11	2.1	Dex up-regulated
AW553415	Mouse newborn ovary cDNA library	0.7	1.6	0.76	0.8	1.1	1.7	2.02	2.06	0.61	1.03	Dex up-regulated
NM_007475	Acidic ribosomal phosphoprotein PO	0.88	1.36	2.2	2.55	1.5	1.41	1.78	1.43	0.69	0.77	Dex up-regulated
NM_025840	Basic leucine zipper and W2 domains 2	0.77	1.46	1.02	1.07	0.69	1.96	2.05	2.31	0.48	0.93	Dex up-regulated
AK003679	RIKEN:1110014C11	0.91	1.33	1.13	1.25	0.94	1.57	1.95	2.88	0.76	0.91	Dex up-regulated
D87747	CXCR-4	1.07	1.66	1.51	1.29	1.16	1.18	1.58	1.9	0.91	1.15	Dex up-regulated
NM_011722	Dynactin 6	1.29	1.28	1.87	1.96	1.25	3	2.88	4.64	0.68	0.89	Dex up-regulated
BC005660	Eukaryotic translation elongation factor 1 alpha 1	0.72	1.36	1.06	0.92	0.88	1.46	2.13	2.27	0.52	0.89	Dex up-regulated
BG080849	CDNA clone H3058D01-5	0.78	1.55	1.92	1.62	1.01	0.7	0.74	0.94	0.62	0.8	Dex up-regulated
AA655703	1149396	0.78	1.49	2.03	2.03	0.9	1.17	1.7	2.42	0.94	1.17	Dex up-regulated
BE630992	3375525	1.25	0.81	2.1	2.06	1.9	1.79	1.26	1.15	0.88	0.83	Dex up-regulated
AK020317	RIKEN 9230106805	1.21	0.74	1.52	1.93	2.93	1.79	1.02	1.84	0.74	0.64	Dex up-regulated
NM_021099	kit oncogene	1.32	1.02	1.09	1.23	2.12	4.71	2.06	3.61	0.6	0.53	Dex up-regulated
BC006720	Karyopherin (importin) alpha 2	0.62	1.42	0.99	0.86	0.57	0.93	1.61	1.55	0.67	1.56	Dex up-regulated
K02061	L32-4A pseudogene	0.96	1.2	1.13	1.01	1.42	1.52	1.88	3.3	0.57	0.75	Dex up-regulated
NM_010686	Laptm5	1.17	0.77	1.14	1.36	2.04	3.88	1.4	0.98	2.34	1.37	Dex up-regulated
NM_010708	Lectin, galactose binding, soluble 9	1.08	0.73	0.8	0.81	1.49	2.67	1.56	3.06	1.2	0.85	Dex up-regulated
NM_020573	Oxysterol binding proteinlike 1A	0.88	1.1	1.1	1.14	1.21	1.71	1.98	2.14	0.99	1.09	Dex up-regulated
BC005779	RIKEN cDNA 0610010E03 gene	0.75	1.21	1.2	0.93	0.87	1.16	1.67	1.93	0.57	0.91	Dex up-regulated
AK002923	RIKEN cDNA 0610043A03 gene	0.97	1.1	1.45	1.21	1.74	2.04	1.61	2.92	0.55	0.78	Dex up-regulated
AK004571	RIKEN cDNA 1200003I10 gene	0.82	1.47	1.65	1.65	0.57	1.02	2.15	2.11	0.71	1.38	Dex up-regulated
NM_023270	RIKEN cDNA 1300002C13 gene	1.36	1.04	1.15	1.42	1.22	1.27	1.57	2.3	0.96	0.67	Dex up-regulated
AK010014	RIKEN cDNA 2310061N23 gene	0.87	1.44	2.15	2.27	2.16	1	1.15	1.49	0.7	0.78	Dex up-regulated
NM_011291	Similar to ribosomal protein L7	0.93	1.1	1.18	1.12	1.19	1.67	1.61	3.17	1.09	0.97	Dex up-regulated
NM_016959	Ribosomal protein S3a (Rps3a)	1.41	0.68	1.03	1.12	1.54	1.74	1.35	3.15	1.05	0.45	Dex up-regulated
NM_009096	Ribosomal protein S6 (Rps6)	1.5	0.74	1.08	1.01	1.56	1.68	1.37	4.36	1.05	0.46	Dex up-regulated
NM_011300	Similar to ribosomal protein S7	0.94	1.22	1.03	1.03	1	1.13	1.55	2.5	0.78	0.95	Dex up-regulated
NM_023380	Samsn1	1.18	0.84	1.15	1.46	1.58	1.61	1.57	3.02	0.64	0.59	Dex up-regulated
NM_026506	Small nuclear ribonucleoprotein polypeptide G	0.65	1.31	1.21	0.81	0.75	1.37	1.87	2.49	0.37	0.57	Dex up-regulated
D13695	ST2L protein	0.72	1.51	1.69	2.05	0.78	1.08	1.92	1.04	0.58	1.19	Dex up-regulated
AA199458	UDP-glucose ceramide glucosyltransferase	0.91	1.61	1.63	2.23	0.87	1.01	3	3.03	0.65	1.01	Dex up-regulated
AK010947	RIKEN clone 2510009J19	1.37	0.57	0.89	0.69	0.99	0.42	0.5	0.64	2.32	1.3	Dex repressed
BC005803	3154023	1.14	0.78	0.84	0.84	1.76	1.46	0.57	0.52	1.25	1.08	Dex repressed
BC006617	3967600	1.48	0.92	1.2	1.01	1.3	0.72	0.57	0.51	0.88	0.63	Dex repressed
AF290209	Podocalyxin	1.12	1.81	0.57	0.54	1.13	1.24	1.6	1.9	9.41	7.04	Dex repressed
NM_030680	Regulator of nonsense transcripts 1	1.22	1.04	0.89	0.75	0.86	0.41	0.49	0.6	1.87	1.44	Dex repressed
AK003374	RIKEN clone 1110003L06	1.13	0.89	0.86	0.77	0.84	0.48	0.54	0.64	1.63	1.59	Dex repressed
AK010608	RIKEN clone:2410029N08	1.46	0.87	1.3	0.91	1.43	0.41	0.58	0.46	1.48	1.06	Dex repressed
NM_011403	Solute carrier family 4 (anion exchanger), Slc4a1	1.32	0.93	0.65	1.05	0.83	0.49	0.61	0.48	2.02	1.28	Dex repressed
NM_031878	Smarcd2	1.67	0.72	0.92	0.77	1.04	0.52	0.53	0.64	2.35	1.25	Dex repressed
U69135	UCP2	0.71	1.49	1.03	0.8	1.33	1.37	0.58	0.26	1.67	2.46	Dex repressed
