Probe set	Symbol	Function	MGUS vs NPCSAM score	Fold change	MM vs MGUS† SAM score	Fold change
201486_at	RCN2	Unknown; calcium binding, ER lumen	2.48	1.55	4.13	1.63
202475_at	NIFIE14	Unknown	2.30	1.51	4.00	1.67
212846_at	KIAA0179	Unknown; nucleolar protein	2.07	1.30	3.80	1.48
225260_s_at	MRPL32	Ribosomal protein	2.13	1.32	3.77	1.43
222673_x_at	TMEM57	Unknown; transmembrane protein	3.19	1.65	3.60	1.63
228324_at	C9orf41	Unknown	2.86	1.51	3.59	1.57
225223_at	SMAD5	Gene transcription	3.12	1.70	3.43	1.41
212536_at	ATP11B	Cation transport ATPase	2.16	1.41	3.41	1.55
203216_s_at	MYO6	Recessive actin-based motor	1.98	1.57	3.35	1.91
238761_at	MED28	Gene transcription	3.43	1.80	3.32	1.77
200910_at	CCT3	Molecular chaperone	2.04	1.34	3.30	1.60
231530_s_at	C11orf1	Unknown	2.24	1.57	3.26	1.49
221207_s_at	NBEA	Protein kinase A regulator	3.42	1.83	3.22	2.49
200692_s_at	HSPA9B	Cell proliferation and cellular aging; chaperone.	2.05	1.55	3.18	1.36
212038_s_at	VDAC1	Ion channel for cytochromec	2.62	1.56	3.17	1.42
208308_s_at	GPI	Energy metabolism	1.97	1.48	3.17	1.48
201013_s_at	PA1CS	DNA synthesis	2.81	1.43	3.17	1.45
202708_s_at	HIST2H2BE	Chromosome organization and biogenesis	2.35	1.71	3.14	2.11
215071_s_at	HIST1H2AC	Chromosome organization and biogenesis	3.47	3.62	3.13	1.97
225361_x_at	LOC159090	Unknown	3.43	1.68	3.11	1.53
219366_at	AVEN	Antiapoptosis	2.63	1.76	3.10	1.47
209398_at	H1ST1H1C	Chromosome organization and biogenesis	5.39	5.53	3.09	2.02
221652_s_at	C12orf11	Unknown; sarcoma antigen NY-SAR-95	2.07	1.37	3.06	1.57
225028_at	LOC550643	Unknown	3.83	2.01	3.03	1.45
214214_s_at	C1QBP	Immunity	2.64	1.45	3.03	1.47
201577_at	NME1	Nucleotide biosynthesis	3.57	1.62	2.99	1.58
218280_x_at	H1ST2H2AA	Chromosome organization and biogenesis	4.24	4.76	2.95	1.92
201479_at	DKC1	Telomere maintenance	2.24	1.42	2.92	1.43
208864_s_at	TXN	Redox reactions	2.90	1.68	2.91	1.51
212297_at	ATP13A3	Cation transport	2.64	1.42	2.88	1.54
222825_at	OTUD6B	Unknown	2.66	1.35	2.88	1.40
209267_s_at	SLC39A8	Ion transport	3.41	1.86	2.88	1.56
217898_at	C15orf24	Unknown	2.35	1.70	2.83	1.33
210275_s_at	ZA20D2	Unknown	2.27	1.36	2.81	1.37
213485_s_at	ABCC10	ATP-dependent efflux pump; multidrug resistance pump	3.17	1.51	2.76	1.34
200994_at	IPO7	Nuclear trafficking	2.08	1.46	2.72	1.37
222428_s_at	LARS	Protein synthesis	3.64	1.68	2.71	1.32
202591_s_at	SSBP1	Mitochondrial DNA replication	2.22	1.42	2.69	1.35
204244_s_at	ASK	Cell cycle	3.25	1.77	2.67	1.37
225916_at	ZNF131	Gene transcription	2.47	1.39	2.63	1.36
202396_at	TCERG1	Gene transcription	3.85	1.62	2.63	1.32
213340_s_at	K1AA0495	Unknown	–2.40	0.78	–2.52	0.75
206150_at	TNFRSF7	Immune cell signaling	–3.82	0.55	–2.56	0.75
228139_at	RIPK3	Cell signaling	–2.63	0.74	–2.59	0.77
220066_at	CARD15	Antiapoptosis	–4.02	0.50	–2.66	0.62
210347_s_at	BCL11A	Gene transcription	3.48	2.04	–2.67	0.64
232511_at	RANBP2L1	Nuclear import	2.07	1.54	–2.71	0.64
214041_x_at	RPL37A	Ribosomal protein	2.22	1.80	–3.09	0.60
219371_s_at	KLF2	Gene transcription	3.81	1.78	–3.11	0.66
202724_s_at	FOXO1A	Gene transcription	2.49	1.55	–3.27	0.64
215671_at	PDE4B	Drug metabolism	2.07	1.53	–3.30	0.59
219675_s_at	UXS1	Glycosaminoglycan biosynthesis	–2.33	0.76	2.97	1.35
