Accession no.	Unigene gene name	Unigene gene symbol	Mean +/+ N	Mean +/- N	Mean +/-T	Fold +/-N vs. +/+N	Fold +/-T vs. +/+ N
BB828014	Transformation-related protein 53	Trp53	555	5,993	11,934	10.8	21.5
BG061809	MutShomologue 5 (E. coli)	Msh5	42	184	240	4.4	5.7
X06746	Early growth response 2	Egr2	258	796	681	3.1	2.6
NM_138648	Oxidized low-density lipoprotein (lectin-like) receptor 1	Olr1	52	157	255	3	4.9
NM_007784	Casein a	Csna	28	81	215	2.9	7.7
BF020871	BTB (POZ) domain containing 1	Btbd1	26	70	161	2.7	6.2
NM_013631	Pyruvate kinase (liver and RBC)	Pklr	52	137	160	2.7	3.1
AV026617	FBJ osteosarcoma oncogene	Fos	1,498	3,208	2,335	2.1	1.6
NM_010115	Kallikrein 26	Klk26	65	137	225	2.1	3.5
NM_007913	Early growth response 1	Egr1	3,513	7,372	6,081	2.1	1.7
AI481797	IFN activated gene 205	Ifi205	3,776	1,690	527	-2.2	-7.2
AU067745	Embryonic lethal, abnormal vision, Drosophila, like 3	Elavl3	164	27	78	-6.1	-2.1
