Probesets	Symbol	Title
1415894_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
1417464_at	Tnnc2	troponin C2, fast
1417895_a_at	Tmem54	transmembrane protein 54
1418351_a_at	Dnmt3b	DNA methyltransferase 3B
1418519_at	Aadat	aminoadipate aminotransferase
1418681_at	Glt28d1	glycosyltransferase 28 domain containing 1
1418688_at	Calcr	calcitonin receptor
1418866_at	Cyp24a1	cytochrome P450, family 24, subfamily a, polypeptide 1
1419007_at	Zp3	zona pellucida glycoprotein 3
1419083_at	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11
1419405_at	Nmb	neuromedin B
1420463_at	Clnk	cytokine-dependent hematopoietic cell linker
1421277_at	Spna1; LOC630963	spectrin alpha 1; similar to spectrin alpha 1
1421278_s_at	LOC630963	similar to spectrin alpha 1
1421317_x_at	Myb	myeloblastosis oncogene
1421998_at	Tor3a	torsin family 3, member A
1422210_at	Foxd3	forkhead box D3
1422734_a_at	Myb	myeloblastosis oncogene
1422942_at	Galr2	galanin receptor 2
1423064_at	Dnmt3a	DNA methyltransferase 3A
1423582_at	Dmrt1	doublesex and mab-3 related transcription factor 1
1423627_at	Nqo1	NAD(P)H dehydrogenase, quinone 1
1424208_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)
1424433_at	Msrb2	methionine sulfoxide reductase B2
1424649_a_at	Tspan8	tetraspanin 8
1425009_at	Tcte2	t-complex-associated testis expressed 2
1425995_s_at	Wt1	Wilms tumor homolog
1426186_a_at	Fgf5	fibroblast growth factor 5
1426851_a_at	Nov	nephroblastoma overexpressed gene
1427427_at	Ryr3	ryanodine receptor 3
1427445_a_at	Ttn	titin
1427446_s_at	Ttn	titin
1427618_at	Cdh9	cadherin 9
1427697_a_at	Trp73	transformation related protein 73
1427912_at	Cbr3	carbonyl reductase 3
1428016_a_at	Rasip1	Ras interacting protein 1
1428660_s_at	Tor3a	torsin family 3, member A
1428781_at	Dmkn	dermokine
1428942_at	Mt2	metallothionein 2
1430076_at	Ccdc116	coiled-coil domain containing 116
1430084_at	Tlcd1	TLC domain containing 1
1431632_at	4930526L06Rik	RIKEN cDNA 4930526L06 gene
1431633_x_at	4930526L06Rik	RIKEN cDNA 4930526L06 gene
1431693_a_at	Il17b	interleukin 17B
1431701_a_at	Pdzk1	PDZ domain containing 1
1432034_at	Neurog3	neurogenin 3
1432453_a_at	Ms4a10	membrane-spanning 4-domains, subfamily A, member 10
1433744_at	AI841794	expressed sequence AI841794
1435815_at	Ldoc1	leucine zipper, down-regulated in cancer 1
1435981_at	E430014L09Rik	RIKEN cDNA E430014L09 gene
1438448_at	Otop1	otopetrin 1
1439050_at	---	---
1439260_a_at	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3
1440217_at	LOC434197	similar to hypothetical protein FLJ39743
1440542_at	7420416P09Rik	RIKEN cDNA 7420416P09 gene
1440730_at	---	---
1440980_at	Kcnh8	potassium voltage-gated channel, subfamily H (eag-related), member 8
1440997_at	Tnrc6c	trinucleotide repeat containing 6C
1442264_at	Rasgrp2	RAS, guanyl releasing protein 2
1442655_at	Dnmt3b	DNA methyltransferase 3B
1442708_at	---	0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630048D...
1444426_at	F730031O20Rik	RIKEN cDNA F730031O20 gene
1448136_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
1448409_at	Lrmp	lymphoid-restricted membrane protein
1448470_at	Fbp1	fructose bisphosphatase 1
1448894_at	Akr1b8	aldo-keto reductase family 1, member B8
1449071_at	Myl7	myosin, light polypeptide 7, regulatory
1450454_at	Tor3a	torsin family 3, member A
1451944_a_at	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11
1452309_at	Cgnl1; LOC677485	cingulin-like 1; similar to cingulin-like 1 isoform 1
1452384_at	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3
1452533_at	Ryr3	ryanodine receptor 3
1452879_at	Synpo2	synaptopodin 2
1454623_at	Cpa2	carboxypeptidase A2, pancreatic
1454806_at	D12Ertd553e	DNA segment, Chr 12, ERATO Doi 553, expressed
1455114_at	Ung2	uracil DNA glycosylase 2
1456033_at	Tbx4	T-box 4
1457741_at	---	---
1458687_at	LOC668172; LOC672498; LOC67...	hypothetical protein LOC668172; hypothetical protein LOC672498; hypothetical ...
1459384_at	Dnmt3b	DNA methyltransferase 3B
