Unigene ID	Gene Name	Description	Map	Min. Tumor / Max. Mucosa
Hs.158450	NESG1	nasopharyngeal epithelium specific protein 1	1q22	29.7577
Hs.343154	FLJ10761	hypothetical protein FLJ10761	1q32.1	25.2631
Hs.63931	DACH	dachshund homolog (Drosophila)	13q22	9.0025
Hs.2868	PMP2	peripheral myelin protein 2	8q21.3-q22.1	8.0795
Hs.512800	MGC15912	hypothetical protein MGC15912	11q13.1	7.5374
Hs.397050	PADI4	peptidyl arginine deiminase, type IV	1p36.13	7.3441
Hs.194680	WISP1	WNT1 inducible signaling pathway protein 1	8q24.1-q24.3	6.5348
Hs.936	SLC34A1	solute carrier family 34 (sodium phosphate), member 1	5q35	4.9541
Hs.159249	ZXDA	zinc finger, X-linked, duplicated A	Xp11.21	4.2802
Hs.277937	GZMK	granzyme K (serine protease, granzyme 3; tryptase II)	5q11-q12	4.1803
Hs.33191	KIAA1976	netrin receptor Unc5h1	5q35.3	3.9456
Hs.170673	RDH-E2	retinal short chain dehydrogenase reductase	8q12.1	3.9045
Hs.425777	UBE2L6	ubiquitin-conjugating enzyme E2L 6	11q12	3.7464
Hs.302051	FLJ22865	hypothetical protein FLJ22865	17q21.1	3.5873
Hs.355645	DISP2	dispatched homolog 2 (Drosophila)	15q14	3.5518
Hs.9573	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	6p21.33	3.1553
Hs.143751	MMP11	matrix metalloproteinase 11 (stromelysin 3)	22q11.2	2.8720
NA	ETL	EGF-TM7-latrophilin-related protein	NA	2.6481
Hs.89690	CXCL3	chemokine (C-X-C motif) ligand 3	4q21	2.5890
Hs.2178	HIST2H2BE	histone 2, H2be	1q21-q23	2.5744
Hs.179089	DKFZp434H2111	hypothetical protein DKFZp434H2111	12q12	2.5557
Hs.275999	PRKWNK1	protein kinase, lysine deficient 1	12p13.3	2.4963
Hs.135201	CARD15	caspase recruitment domain family, member 15	16p12-q21	2.4852
Hs.436887	MSR1	macrophage scavenger receptor 1	8p22	2.4717
Hs.97199	C1QR1	complement component 1, q subcomponent, receptor 1	20p11.22	2.4641
Hs.17244	KIAA1985	KIAA1985 protein	5q32	2.4116
Hs.189823	LOC201292	hypothetical protein LOC201292	17q25.3	2.3956
Hs.27183	C14orf79	chromosome 14 open reading frame 79	14q32.33	2.3252
Hs.413924	CXCL10	chemokine (C-X-C motif) ligand 10	4q21	2.2916
Hs.75596	IL2RB	interleukin 2 receptor, beta	22q13	2.2793
Hs.419136	AKAP6	A kinase (PRKA) anchor protein 6	14q13.1	2.2625
Hs.270594	FLVCR	feline leukemia virus subgroup C cellular receptor	1q32.3	2.2468
Hs.325335	CAPN13	calpain 13	2	2.2262
Hs.445459	FLJ22761	hypothetical protein FLJ22761	10q22.1	2.2148
Hs.362806	GPR116	G protein-coupled receptor 116	6p21.1	2.1475
Hs.76206	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	16q22.1	2.1212
Hs.23582	TACSTD2	tumor-associated calcium signal transducer 2	1p32-p31	2.0372
Hs.3837	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1	6p12.1	2.0211
Hs.348260	CENTG1	centaurin, gamma 1	12q13.2	2.0079
Hs.131361	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2	4q22-q23	13.2056
Hs.387385	LOC90799	hypothetical protein BC009518	17q24.2	9.0472
Hs.367829	TM6SF2	transmembrane 6 superfamily member 2	19p13.3-p12	8.0981
Hs.194660	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	16p12.1	6.8188
Hs.444552	FLJ12529	pre-mRNA cleavage factor I, 59 kDa subunit	11q12.3	5.9215
Hs.158318	DGKB	diacylglycerol kinase, beta 90kDa	7p21.3	5.4390
Hs.386793	GPX3	glutathione peroxidase 3 (plasma)	5q23	4.4406
Hs.157549	KIAA1817	KIAA1817 protein	Xq22	4.0700
Hs.408184	FLJ32940	hypothetical protein FLJ32940	1q24.3	3.7749
Hs.131190	MGC13034	hypothetical protein MGC13034	5q13.3	3.7397
Hs.406278	PLGL	plasminogen-like	2p11-q11	3.4538
Hs.159499	PTHR2	parathyroid hormone receptor 2	2q33	3.3246
Hs.239181	C6orf194	chromosome 6 open reading frame 194	6p21.33	3.3113
Hs.58561	GPR87	G protein-coupled receptor 87	3q24	3.2488
Hs.46332	GPR6	G protein-coupled receptor 6	6q21	3.0756
Hs.25960	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2p24.1	3.0463
Hs.421137	GPR64	G protein-coupled receptor 64	Xp22.22	2.8413
Hs.160953	P53AIP1	p53-regulated apoptosis-inducing protein 1	11q24	2.7728
Hs.404220	DKFZp686B0797	hypothetical protein DKFZp686B0797	19q13.13	2.7620
Hs.82101	PHLDA1	pleckstrin homology-like domain, family A, member 1	12q15	2.6872
Hs.75593	UROS	uroporphyrinogen III synthase (congenital erythropoietic porphyria)	10q25.2-q26.3	2.6739
Hs.253211	ZDHHC15	zinc finger, DHHC domain containing 15	Xq13.2	2.6680
Hs.274337	PRPF39	PRP39 pre-mRNA processing factor 39 homolog (yeast)	14q21.3	2.6142
Hs.411826	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	4q24	2.6067
Hs.317659	DPPA4	developmental pluripotency associated 4	3q13.13	2.5950
Hs.225641	FLJ13171	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_055301.1	1	2.5727
Hs.26770	FABP7	fatty acid binding protein 7, brain	6q22-q23	2.5556
Hs.3548	MTCP1	mature T-cell proliferation 1	Xq28	2.5163
Hs.387057	FLJ13710	hypothetical protein FLJ13710	15q22.33	2.4471
Hs.266258	ENDOGL1	endonuclease G-like 1	3p21.3	2.4381
Hs.50929	FLJ13842	hypothetical protein FLJ13842	8p11.21	2.4311
Hs.112881	FLJ13105	hypothetical protein FLJ13105	4q21.21	2.3827
Hs.213307	LOC285429	hypothetical protein LOC285429	4p14	2.3763
Hs.403931	HP	haptoglobin	16q22.1	2.3666
Hs.218182	DKFZp761H0421	hypothetical protein DKFZp761H0421	17q21.31	2.3036
Hs.82302	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	Xq26.2	2.3017
Hs.406184	DKFZP564O1863	DKFZP564O1863 protein	12p12.1	2.2533
Hs.54056	C5orf6	chromosome 5 open reading frame 6	5q31	2.2396
Hs.274460	OR5V1	olfactory receptor, family 5, subfamily V, member 1	6p21.33	2.2381
Hs.4980	LDB2	LIM domain binding 2	4p16	2.2140
Hs.286073	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	17q23.3	2.1978
Hs.488671	FZD9	frizzled homolog 9 (Drosophila)	7q11.23	2.1974
Hs.153479	ESPL1	extra spindle poles like 1 (S. cerevisiae)	8	2.1319
Hs.148932	SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	19p13.3	2.1058
Hs.168732	MGC5370	hypothetical protein MGC5370	12q14.3	2.0520
Hs.376984	SOX10	SRY (sex determining region Y)-box 10	22q13.1	2.0123
