Affymetrix identifier	Gene Symbol	N-fold	p-value
204560_at	FKBP5	28.4	0.01225
205403_at	IL1R2	28.4	0.009186
222116_s_at	MGC25062	25.7	0.002756
204787_at	Z39IG	13.6	0.001133
202363_at	SPOCK	10.5	0.0002929
204900_x_at	SAP30	9.7	0.00217
218706_s_at	NS3TP2	8.4	0.002602
205239_at	AREG	7.8	0.01325
213258_at	TFPI	7.4	0.008678
205883_at	ZNF145	7.0	0.007009
202800_at	SLC1A3	6.8	0.001063
202075_s_at	PLTP	6.6	0.01197
204140_at	TPST1	6.6	0.009105
209339_at	SIAH2	6.4	0.007932
213006_at	KIAA0146	6.3	0.005735
204273_at	EDNRB	5.8	0.009166
221541_at	DKFZP434B044	5.6	0.01194
206100_at	CPM	5.4	1.911E-05
202887_s_at	RTP801	5.4	0.0001936
218346_s_at	SESN1	4.9	0.002315
214581_x_at	TNFRSF21	4.9	0.006237
211913_s_at	MERTK	4.9	0.004294
205960_at	PDK4	4.8	0.02821
206714_at	ALOX15B	4.7	0.01094
201044_x_at	DUSP1	4.6	0.005385
216233_at	CD163	4.5	0.001311
220615_s_at	FLJ10462	4.5	0.002761
219911_s_at	SLC21A12	4.5	0.02373
205257_s_at	AMPH	4.4	0.02398
214535_s_at	ADAMTS2	4.3	0.004467
206171_at	ADORA3	4.3	0.008755
209185_s_at	IRS2	4.2	0.000121
207001_x_at	DSIPI	4.1	0.009138
203543_s_at	BTEB1	4.1	0.0009108
204879_at	T1A-2	4.0	0.02103
210605_s_at	MFGE8	4.0	0.007634
201185_at	PRSS11	3.9	0.01726
206618_at	IL18R1	3.8	0.03301
219607_s_at	MS4A4A	3.7	0.005149
207275_s_at	FACL2	3.7	0.008152
202948_at	IL1R1	3.5	0.007422
202862_at	FAH	3.5	0.01012
211307_s_at	FCAR	3.4	0.01249
205158_at	RNASE4	3.3	0.008795
221756_at	MGC17330	3.2	0.0285
202431_s_at	MYC	3.2	0.04463
204575_s_at	MMP19	3.1	0.001309
204975_at	EMP2	3.1	0.004806
201328_at	ETS2	3.0	0.01275
205119_s_at	FPR1	3.0	0.003588
205500_at	C5	3.0	0.04759
203695_s_at	DFNA5	2.9	0.0009896
211828_s_at	KIAA0551	2.9	0.02407
220933_s_at	FLJ13409	2.9	0.01248
207038_at	SLC16A6	2.8	0.02537
205789_at	CD1D	2.7	0.001246
206643_at	HAL	2.7	0.001034
219104_at	RNF141	2.7	0.01282
208808_s_at	HMGB2	2.7	0.001823
200598_s_at	TRA1	2.6	0.03941
202923_s_at	GCLC	2.6	0.01098
204043_at	TCN2	2.6	0.0006788
208116_s_at	MAN1A1	2.5	0.03989
205568_at	AQP9	2.5	0.01249
218232_at	C1QA	2.5	0.01172
201700_at	CCND3	2.4	0.004028
214452_at	BCAT1	2.4	0.04084
206674_at	FLT3	2.4	0.04126
204438_at	MRC1	2.4	0.02705
202912_at	ADM	2.4	0.004915
221022_s_at	PMFBP1	2.4	0.00599
203037_s_at	MTSS1	2.4	0.0002485
211434_s_at	CCRL2	2.4	0.03593
200681_at	GLO1	2.3	0.02564
211102_s_at	LILRB1	2.3	0.04625
201272_at	AKR1B1	2.3	0.02586
221841_s_at	KLF4	2.3	0.003149
208438_s_at	FGR	2.3	0.03854
207433_at	IL10	2.3	0.01902
211557_x_at	SLC21A9	2.3	0.009587
200919_at	PHC2	2.3	0.02407
213624_at	ASM3A	2.3	0.01027
212934_at	LOC137886	2.2	0.0475
207761_s_at	DKFZP586A0522	2.2	0.001997
201109_s_at	THBS1	2.2	0.009768
209305_s_at	GADD45B	2.2	0.02991
217788_s_at	GALNT2	2.2	0.006085
218728_s_at	HSPC163	2.1	0.00563
203561_at	FCGR2A	2.1	0.03205
219858_s_at	FLJ20160	2.1	0.03795
203066_at	GALNAC4S-6ST	2.1	0.01111
203761_at	SLA	2.1	0.01114
204072_s_at	13CDNA73	2.1	0.02237
209122_at	ADFP	2.1	0.0497
216202_s_at	SPTLC2	2.1	0.004628
201064_s_at	PABPC4	2.1	0.00964
212912_at	RPS6KA2	2.0	0.01907
213817_at	---	2.0	0.01665
209189_at	FOS	2.0	0.03427
203574_at	NFIL3	2.0	0.003278
212658_at	LHFPL2	2.0	0.01373
211495_x_at	TNFSF13	2.0	0.03396
