Accession	Gene description	Symbol	Cytoband	Fold induction † Aza-dC	TSA	Aza-dC/TSA	Cell line	Function
NM_000041	Apolipoprotein E	APOE	19q13.2	35.1	1.5	43.6	U266	Induction of apoptosis (GO:0006917)
NM_000041	Apolipoprotein E	APOE	19q13.2	58.5	3.4	41.4	H929	Induction of apoptosis (GO:0006917)
NM_004765	B-cell CLL/lymphoma 7C	BCL7C	16p11	1.5	4.1	2.6	H929	Induction of apoptosis (GO:0006917)
NM_003790	Tumor necrosis factor receptor superfamily, member 25	TNFRSF25	1p36.2	12.1	3.9	5.5	U266	Induction of apoptosis (GO:0006917)
NM_004052	BCL2/adenovirus E1B 19 kDa interacting protein 3	BNIP3	10q26.3	2	3.8	3.2	MM1	Induction of apoptosis (GO:0006917)
NM_000389	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	6p21.2	29.3	13.9	27.3	H929	Induction of apoptosis (GO:0006917)
BF686824	Death-associated protein kinase 3	DAPK3‡	19p13.3	1.9	6.3	5.6	H929	Induction of apoptosis (GO:0006917)
NM_000362	Tissue inhibitor of metalloproteinase 3	TIMP3‡	22q12.3	1.7	8.5	17.1	U266	Induction of apoptosis (GO:0006917)
AB005043	Suppressor of cytokine signaling 1	SOCS1‡	16p13.13	10.6	1.1	2.4	MM1	Regulation of cell growth (GO:0001558)
AB005043	Suppressor of cytokine signaling 1	SOCS1‡	16p13.13	28.4	2.1	2.2	H929	Regulation of cell growth (GO:0001558)
BG035761	Suppressor of cytokine signaling 3	SOCS3	17q25.3	8.1	1.3	5.8	MM1	Regulation of cell growth (GO:0001558)
BG035761	Suppressor of cytokine signaling 3	SOCS3	17q25.3	5.5	8.7	2.8	H929	Regulation of cell growth (GO:0001558)
AF184174	Somatostatin receptor 2	SSTR2	17q24	5.9	3.8	3.6	H929	Negative regulation of cell proliferation (GO:0008285)
NM_006569	Cell growth regulator with EF-hand domain 1	CGREF1	2p23.3	?3.0	7.5	14	U266	Negative regulation of cell proliferation (GO:0008285)
AL535380	B-cell translocation gene 1	BTG1	12q22	2.6	2.3	5	H929	Negative regulation of cell proliferation (GO:0008285)
AI424797	Agrin	AGRN	1p36.33	2.8	4.3	5.2	MM1	Cell adhesion (GO:0007155)
AI424797	Agrin	AGRN	1p36.33	2	11.2	12	U266	Cell adhesion (GO:0007155)
AI424797	Agrin	AGRN	1p36.33	9	19.6	13.4	H929	Cell adhesion (GO:0007155)
NM_004360	Cadherin 1, type 1, E-cadherin (epithelial)	CDH1‡	16q22.1	?1.1	?2.0	38.7	U266	Cell adhesion (GO:0007155)
NM_004360	Cadherin 1, type 1, E-cadherin (epithelial)	CDH1‡	16q22.1	87.2	1.3	1.2	H929	Cell adhesion (GO:0007155)
NM_001769	CD9 antigen (p24)	CD9	12p13.3	?2.0	9.3 (122.4)	26.1 (156.0)	U266	Cell adhesion (GO:0007155)
NM_021991	Junction plakoglobin	JUP	17q21	3.3	7.9	13.1	U266	Cell adhesion (GO:0007155)
NM_003914	Cyclin A1	CCNA1	13q12.3-q13	1.1	2	23.4	U266	Cell cycle (GO:0007049)
NM_003914	Cyclin A1	CCNA1	13q12.3-q13	2.4	1.7	6.2	H929	Cell cycle (GO:0007049)
NM_000076	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	11p15.5	7.5	27.2	82.5	U266	Cell cycle (GO:0007049)
NM_000076	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	11p15.5	6.3	8.2	6.1	H929	Cell cycle (GO:0007049)
NM_005537	Inhibitor of growth family, member 1	ING1	13q34	2.1	5.5	10.9	U266	Cell cycle (GO:0007049)
NM_000059	Breast cancer 2, early onset	BRCA2	13q12.3	4.1	7.1	11.2	MM1	Cell cycle (GO:0007049)
NM_004528	Microsomal glutathione S-transferase 3	MGST3	1q23	1.1	6.9	9.1	MM1	Signal transduction (GO:0007165)
NM_004528	Microsomal glutathione S-transferase 3	MGST3	1q23	1.5	14.2	16.6	H929	Signal transduction (GO:0007165)
AB003476	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	6q24-q25	2.8	7.7 (5.0)	11.2 (8.9)	MM1	Signal transduction (GO:0007165)
AB003476	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	6q24-q25	3.9	11.2	44.8	U266	Signal transduction (GO:0007165)
AB003476	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	6q24-q25	6.4	9.1 (9.6)	12.6	H929	Signal transduction (GO:0007165)
AF143684	Myosin IXB	MYO9B	19p13.1	9.9	3	11.2	MM1	Signal transduction (GO:0007165)
AF143684	Myosin IXB	MYO9B	19p13.1	7.2	5.3	10.3	U266	Signal transduction (GO:0007165)
AF143684	Myosin IXB	MYO9B	19p13.1	8.2	7.4	9	H929	Signal transduction (GO:0007165)
NM_003118	Secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32	6.1	?1.5	2.9	U266	Signal transduction (GO:0007165)
NM_030594	Cytoplasmic polyadenylation element binding protein 1	CPEB1	15q25.2	3.5 (6.8)	1.7	2.2	U266	Regulation of translation (GO:0006417)
NM_030594	Cytoplasmic polyadenylation element binding protein 1	CPEB1	15q25.2	7.6	1	1.4	H929	Regulation of translation (GO:0006417)
NM_000165	Gap junction protein, ?1	GJA1	6q21-q23.2	3.9 (3.76)	2	1	MM1	Cell communication (GO:0007154)
NM_014737	Ras association (RalGDS/AF-6) domain family 2	RASSF2	20pter-p12.1	10.6	?1.0	1.7	H929	Cell communication (GO:0007154)
NM_006705	Growth arrest and DNA-damage inducible ?	GADD45G	9q22.1-q22.2	1.1	2.3	10.6 (160.0)	U266	DNA repair (GO:0008152)
L27624	Tissue factor pathway inhibitor 2	TFPI2	7q22	1.5	1.6	16	U266	Blood coagulation (GO:0007596)
