Gene ID	Definition	Accession number	Fold change	Functional annotation
CMAH	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	NR_002174.1	10,77	Carbohydrate metabolic process, organic acid metabolic process, primary metabolic process, oxidoreductase
HAPLN1	Hyaluronan and proteoglycan link protein 1	NM_001884.2	10,19	Cell adhesion, cellular process, hyaluronic acid binding
ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian), transcript variant 1	NM_001982.2	10,14	ErbB signaling pathway, protein modification process, cell communication, transmembrane receptor protein
WISP2	WNT1 inducible signaling pathway protein 2	NM_003881.2	7,58	Cell morphogenesis, regulation of cell growth, cell adhesion, cell-cell signaling, regulation of gene expression
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6, transcript variant 2	NM_172346.1	6,76	ABC transporter, catalytic activity, ATP binding
GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	NM_024642.2	5,67	O-Glycan biosynthesis, polypeptide N-acetylgalactosaminyltransferase activity
SCN9A	Sodium channel, voltage-gated, type IX, alpha	NM_002977.1	5,20	Sodium ion transport, voltage-gated ion channel activity
PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase), transcript variant	NM_080591.1	4,41	Prostaglandin biosynthetic process, response to oxidative stress, oxidoreductase activity
TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	NM_000459.1	4,41	Protein modification process, cell communication, transmembrane receptor protein tyrosine kinase signaling
TSRC1	Thrombospondin repeat containing 1, transcript variant 2	NM_025008.2	3,49	Metalloendopeptidase activity, extracellular matrix, positive regulation of apoptosis
DPT	Dermatopontin	NM_001937.3	3,31	Extracellular matrix, cell adhesion
OSAP	Ovary-specific acidic protein	NM_032623.2	3,14	NA
PTGIS	Prostaglandin I2 (prostacyclin) synthase	NM_000961.3	2,80	Prostaglandin biosynthetic process, generation of precursor metabolites and energy, catalytic activity
TMEM30B	Transmembrane protein 30B	NM_001017970.1	2,79	NA
PRG1	Proteoglycan 1, secretory granule	NM_002727.2	2,75	Anti-apoptosis, integral to membrane
PPP1R3C	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	NM_005398.3	2,62	Insulin signaling pathway, polysaccharide biosynthetic process, protein phosphatase type 1 activity
NA	cDNA FLJ45933 fis, clone PLACE7003639	AK127830	2,58	NA
SYNGR1	Synaptogyrin 1, transcript variant 1a	NM_004711.3	2,56	Integral to membrane, synapsis
NA	Clone IMAGE:3897156	BC038560	2,56	NA
PTPRR	Protein tyrosine phosphatase, receptor type, R, transcript variant 1	NM_002849.2	2,44	MAPK signaling pathway, protein modification process, phosphoprotein phosphatase activity
EPHB1	EPH receptor B1	NM_004441.3	-2,99	Protein modification process, cell communication, developmental process, protein kinase activity
GPR56	G protein-coupled receptor 56, transcript variant 3	NM_201525.1	-3,05	Cell communication, cell adhesion, G-protein coupled receptor protein signaling pathway, developmental
BAALC	Brain and acute leukemia, cytoplasmic, transcript variant 2	NM_001024372.1	-3,80	Biological processes, cytoplasm
LOC389033	Hypothetical LOC389033 (LOC389033)	XM_374010.3	-4,72	NA
IL13RA2	Interleukin 13 receptor, alpha 2	NM_000640.2	-11,47	Signal transducer activity, interleukin receptor activity
MMP3	Matrix metallopeptidase 3 (stromelysin 1, progelatinase)	NM_002422.3	-19,12	Carbohydrate metabolic process, proteolysis, biopolymer catabolic process, metalloendopeptidase activity
