Gene name	Chromosomal location	Probe set	P	Average expression	Biologic process
Clusterin (complement lysis inhibitor,   SP-40, apolipoprotein J)	8p21-p12	36780_at	0.0014	1158	Lipid metabolism
Transmembrane 4 superfamily member 11   (plasmolipin)	16q13	41688_at	0.0022	206	Myelin distribution
Cysteine-rich protein 1 (intestinal)	7q11.23	33232_at	0.0004	995	Extracellular matrix control
Dishevelled associated activator of   morphogenesis 1	14q22.3	33753_at	0.0024	141	Undefined
Homo sapiens mRNA; cDNA DKFZp564B076   (from clone DKFZp564B076)					Undefined
	Ch. 6	34194_at	0.0004	79
Alcohol dehydrogenase IB (class I),   Beta polypeptide	4q21-q23	35730_at	0.0056	269	Catalyzes oxidation of alcohol
Human insulin-like growth factor binding   protein 5 (IGFBP5)					Control of cancer proliferation
mRNA	Ch. 2	38650_at	0.0045	543
DKFZP586A0522 protein	12q11	38717_at	0.0021	266	Undefined
CD27-binding (Siva) protein	14q32.33	39020_at	0.0025	322	GO induction and receptor signaling
Lutheran blood group (Auberger b antigen included)	19q13.2	40093_at	0.0051	169	Cell adhesion
Short-chain dehydrogenase/reductase 1	1p36.1	40782_at	0.0067	354	Nucleotide binding
Heterogeneous nuclear ribonucleoprotein H1 (H)	5q35.3	33845_at	0.0004	376	Transcription and translation regulation
Homo sapiens, similar to Y43E12A.2.p,  clone MGC:33537					Undefined
4821347	Ch. 10	34303_at	0.0032	235
KIAA0937 protein	11q12.3	35369_at	0.0052	190	Undefined
Monoglyceride lipase	3q21.3	35792_at	0.0045	171	Lipid metabolism
KIAA0275 gene product	10pter-q25.3	36155_at	0.0036	637	Undefined
BTG family, member 2	1q32	36634_at	0.0025	370	DNA repair, cell cycle regulation
Calumenin	7q32	37345_at	0.0006	324	Transformation, amyloid formation
Selenium binding protein 1	1q21-q22	37405_at	0.0044	440	Proliferation, transformation
Acidic (leucine-rich) nuclear phosphoprotein   32 family, member B	9q22.32	38749_at	0.0013	630	Oncogenesis
KIAA1237 protein	3q21.3	39541_at	0.0044	262	Undefined
Integrin,  6	2q31.1	41266_at	0.0035	230	Cell adhesion
Adipose specific 2	10q23.32	32527_at	0.0062	218	Lipid metabolism
Adenylate cyclase 3	2p24-p22	33134_at	0.0044	254	Cell proliferation
V-myc myelocytomatosis viral oncogene  homolog (avian)	8q24.12-q24.13	1973_at	0.0002	164	Apoptosis
Nonmetastatic cells 1, protein (NM23A)  expressed in	17q21.3	1521_at	0.0003	435	Invasion, metastasis suppression
Fibroblast growth factor 7 (keratinocyte growth factor)	15q15-q21.1	1466_at	0.0034	86	Growth factor, cell proliferation
