Functional Gene Group	Name	Genbank ID	Fold change	p value
Calcium Binding and Ion Channels	Lipocalin-2 (oncogene 24p3)	NM_005564	6.8	0.003
Calcium Binding and Ion Channels	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	AA732007	6.5	0.004
Calcium Binding and Ion Channels	Tripartite motif-containing 25	NM_005082	4.4	0.008
Calcium Binding and Ion Channels	Zinc finger, MYM-type 4	AA521508	4.3	0.01
Calcium Binding and Ion Channels	S100 calcium binding protein A9	NM_002965	4.1	0.003
Calcium Binding and Ion Channels	Calmodulin-like 4	NM_017882	3.9	0.003
Calcium Binding and Ion Channels	FK506 binding protein 10, 65 kDa	NM_021939	3.9	0.004
Calcium Binding and Ion Channels	Protein tyrosine phosphatase, receptor type, f polypeptide  - (PTPRF), interacting protein (liprin), alpha 3	AK023850	3.6	0.009
Calcium Binding and Ion Channels	Hippocalcin	BC001777	3.5	0.007
Calcium Binding and Ion Channels	Calumenin	BF939365	2.6	0.009
Cell Adhesion, Motility and Membrane Proteins	GDNF family receptor alpha 4	AJ291674	7.4	0.008
Cell Adhesion, Motility and Membrane Proteins	Nurim (nuclear envelope membrane protein)	NM_014641	7	0.016
Cell Adhesion, Motility and Membrane Proteins	Pecanex-like 2 (Drosophila)	NM_014801	6.5	0.003
Cell Adhesion, Motility and Membrane Proteins	Formyl peptide receptor 1	NM_002029	6.4	0.008
Cell Adhesion, Motility and Membrane Proteins	Fc fragment of IgG, high affinity Ib, receptor (CD64)	L03419	6.4	0.017
Cell Adhesion, Motility and Membrane Proteins	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and - ITIM domains), member 2	NM_005874	6.3	0.0001
Cell Adhesion, Motility and Membrane Proteins	Synaptotagmin V	AI659957	5.8	0.008
Cell Adhesion, Motility and Membrane Proteins	Pre T-cell antigen receptor alpha	AF165312	5.1	0.008
Cell Adhesion, Motility and Membrane Proteins	5-hydroxytryptamine (serotonin) receptor 7 (adenylate  - cyclase-coupled)	NM_019859	4.3	0.021
Cell Adhesion, Motility and Membrane Proteins	Thy-1 cell surface antigen (CD90)	AA218868	4.1	0.005
Cell Adhesion, Motility and Membrane Proteins	Integrin beta 1 binding protein 1	BF435077	3.9	0.007
Cell Adhesion, Motility and Membrane Proteins	Transmembrane and coiled-coil domains 4	AI972419	3.8	0.003
Cell Adhesion, Motility and Membrane Proteins	Neurexin 1	BF223138	3.5	0.004
Cell Adhesion, Motility and Membrane Proteins	Opioid receptor, sigma 1	NM_005866	3.3	0.002
Cell Adhesion, Motility and Membrane Proteins	CD209 molecule	NM_021155	3.2	0.015
Cell Adhesion, Motility and Membrane Proteins	Lectin, mannose-binding 2-like	NM_030805	2.8	0.006
Cell Adhesion, Motility and Membrane Proteins	Trefoil factor 1	NM_003225	-2.6	0.003
Cell Adhesion, Motility and Membrane Proteins	Mal, T-cell differentiation protein-like	BC003179	-2.6	0.004
Cell Adhesion, Motility and Membrane Proteins	Fc fragment of IgG binding protein	NM_003890	-3.3	0.003
