I	P	GenBank ID	Symbol	Description	Cancer
–0.75	0.01	N74114	CSNK1A1	Casein kinase 1. alpha 1	Adenocarcinoma
0.82	0.01	AA4 18075	DKFZP434B168	DKFZP434B168	Adenocarcinoma
–0.65	0.01	AI148484	PITPNB	Phosphotidylinositol transfer protein, beta	Adenocarcinoma
0.83	0.01	Z35093	SURF1	Surfeit 1	Adenocarcinoma
–0.92	0.01	U58975	FRAT1	Frequently rearranged in advanced T-cell lymphomas	Adenocarcinoma
–0.65	0.01	R28588		EST	Adenocarcinoma
–0.69	0.01	L39068	DHPS	Deoxyhypusine synthase	Adenocarcinoma
0.69	0.01	AI018174		EST	Adenocarcinoma
–0.92	0.01	U87864	NEURL	Neuralized (Drosophila)–like	Adenocarcinoma
0.79	0.01	AI336338		EST, weakly similar to dJ1108D11. 1 [H. Sapiens]	Adenocarcinoma
0.74	0.01	W96110	ZNF281	Zinc-finger protein 281	Adenocarcinoma
0.84	0.01	W23499		EST	Adenocarcinoma
0.94	0.01	AA777755		EST, weakly similar to PHB HUMAN PROHIBITI [H. sapiens]	Adenocarcinoma
–0.94	0.01	AA761636		EST	Adenocarcinoma
–0.64	0.01	U51166	TDG	Thymine-DNA glycosylase	Adenocarcinoma
0.64	0.01	W93907	LC27	Putative integral membrane transporter	Adenocarcinoma
0.82	0.01	D28137	BST2	Bone marrow stromal cell antigen 2	Adenocarcinoma
0.74	0.01	X57347	YWHAQ	Tyrosine 3-monooxygenase/5-monooxygenase activation protein	Adenocarcinoma
0.65	0.01	BE877749	P5	Protein disulfide isomerase-related protein	Adenocarcinoma
0.69	0.01	AA005265	FLJ21080	FLJ21080	Adenocarcinoma
–0.88	0.001	AA70 7042		EST	Adenocarcinoma
0.76	0.01	AA393227		EST	Adenocarcinoma
–0.64	0.01	AA746390		EST	Adenocarcinoma
0.87	0.01	AA810831		EST	Adenocarcinoma
–0.84	0.01	U92978	NUCB1	Nucleobindin 1	Adenocarcinoma
0.96	0.01	AA973748	RAD54B	RAD54, S. cerevisiae, homolog of, B	Adenocarcinoma
-0.75	0.01	AA146705	H4I	Hypothetical protein	Adenocarcinoma
0.81	0.01	A1140597	LIFR	Leukemia inhibitory factor receptor	Adenocarcinoma
–0.57	0.01	AA773731	FLJ21028	FLJ21028	Adenocarcinoma
0.52	0.01	X57347	YWHAQ	Tyrosine 3-monooxygenase/5-monooxygenase activation protein	Adenocarcinoma
0.55	0.01	AA005265	FLJ21080	FLJ21080	Adenocarcinoma
0.6	0.01	X95384	UK114	Translational inhibitor of protein p14.5	Adenocarcinoma
0.84	0.01	X62071	CDK2	Cyclin-dependent kinase 2	Adenocarcinoma
0.77	0.01	T49740		EST	Adenocarcinoma
0.96	0.01	AI359283		EST	Adenocarcinoma
0.9	0.01	AI338356	DKFZP586C1324	DKFZP586C1324	Adenocarcinoma
–0.81	0.01	M78581	STAM2	STAM-like protein containing SH3 and ITAM domains 2	Adenocarcinoma
0.82	0.01	U47129	PTHR2	Parathyroid hormone receptor 2	Adenocarcinoma
0.71	0.01	M16707	H4F2	H4 histone, family 2	Adenocarcinoma
0.55	0.01	BE877749	P5	Protein disulfide isomerase-related protein	Adenocarcinoma
0.95	0.001	AA897408		EST	Adenocarcinoma
–0.91	0.001	U14528	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	Adenocarcinoma
–0.86	0.01	AI160327	MRPL 12	Mitochondrial ribosomal protein L12	Adenocarcinoma
0.57	0.01	W93907	LC27	Putative integral membrane transporter	Adenocarcinoma
0.62	0.01	AI052390		EST	Adenocarcinoma
–0.57	0.01	F18016	FLJ11018	FLJ11018	Adenocarcinoma
0.59	0.01	M57567	ARF5	ADP-ribosylation factor 5	Adenocarcinoma
–0.88	0.01	AA884902	COX6A2	Cytochrome c oxidase subunit Vla polypeptide 2	Adenocarcinoma
0.56	0.01	F22593	IGKC	Immunoglobulin kappa constant	Adenocarcinoma
0.67	0.01	W56480	SOS1	Son of sevenless (Drosophila) homolog 1	Adenocarcinoma
0.59	0.01	AA127777	KIAA1071	KIAA1071	Adenocarcinoma
0.72	0.01	D64154	GP110	Cell membrane glycoprotein, 110 000 M(r) (surface antigen)	Adenocarcinoma
–0.58	0.01	AK024510	GTF3C5	General transcnption factor IIIC, polypeptide 5 (63 kDa)	Adenocarcinoma
–0.88	0.01	AA664104		EST	Adenocarcinoma
0.64	0.01	AI341170		EST	Adenocarcinoma
0.55	0.01	BE877749	P5	Protein disulfide isomerase-related protein	Adenocarcinoma
–0.9	0.01	W63776		EST	Adenocarcinoma
–0.89	0.01	AA758701	FLJ13596	FLJ 13596	Adenocarcinoma
–0.54	0.01	D21238	GLRX	Glutaredoxin (thioltransferase)	Adenocarcinoma
0.9	0.01	T95057	PP3501	Hypothetical protein PP3501	Adenocarcinoma
0.96	0.001	X83957	NEB	Nebulin	Adenocarcinoma
0.81	0.01	W74530	PYCS	Pyrroline-5-carboxylate synthetase	Adenocarcinoma
–0.53	0.01	F18016	FLJ11018	FLJ11018	Adenocarcinoma
0.79	0.01	AA897408		EST	Adenocarcinoma
0.96	0.01	AA630669		EST	Adenocarcinoma
0.61	0.01	AA614311	VCP	Valosin-containing protein	Adenocarcinoma
0.91	0.01	AA194304	MYH1	Myosin, heavy polypeptide 1, skeletal muscle, adult	Adenocarcinoma
–0.58	0.01	X05908	ANXA1	Annexin A1	Adenocarcinoma
0.83	0.01	AA810831		EST	Adenocarcinoma
0.96	0.01	AA827118		EST	Adenocarcinoma
0.56	0.01	W93907	LC27	Putative integral membrane transporter	Adenocarcinoma
0.88	0.01	AA634416	FLJ20425	FLJ20425	Adenocarcinoma
0.94	0.01	AI138983		EST	Adenocarcinoma
–0.97	0.01	AI249808	FLJ11808	FIJ11808	Adenocarcinoma
0.58	0.01	X57347	YWHAQ	Tyrosine 3-monooxygenase/5-monooxygenase activation protein	Adenocarcinoma
–0.57	0.01	D21238	GLRX	Glutaredoxin (thioltransferase)	Adenocarcinoma
0.55	0.01	AB002352	KIAA0354	KIAA0354	Adenocarcinoma
–0.68	0.01	N74114	CSNK1A1	Casein kinase 1, alpha 1	Adenocarcinoma
–0.64	0.01	U31384	GNG11	Guanine nucleotide binding protein 11	Adenocarcinoma
0.99	0.01	W92916	FLJ23323	FLJ23323	Adenocarcinoma
–0.99	0.001	D26512	MMP14	Matrix metalloproteinase 14 (membrane-inserted)	Adenocarcinoma
0.7	0.001	K02403	C4A	Complement component 4A	Adenocarcinoma
0.99	0.001	AA927767	ME1	Malic enzyme 1. NADP(+)-dependent, cytosolic	Adenocarcinoma
–0.79	0.01	AA146705	H41	Hypothetical protein	Adenocarcinoma
0.88	0.01	AA829830		EST	Adenocarcinoma
0.73	0.01	W47224		EST	Adenocarcinoma
–0.79	0.01	AA766296		EST	Adenocarcinoma
0.67	0.01	AA031379		EST	Adenocarcinoma
–0.95	0.01	AA262488	KIAA0928	KIAA0928	Adenocarcinoma
0.81	0.01	AI289795	RBM7	RNA binding motif protein 7	Adenocarcinoma
–0.85	0.01	AA855085	NCOA4	Nuclear receptor coactivator 4	Adenocarcinoma
–0.64	0.01	AI032354		EST	Adenocarcinoma
