Gene symbol	Gene name	Probe set ID	P ttest	Median expression value PP patients	GP patients
VDAC1	Voltage-dependent anion channel 1	40198_at	0.0002	365.6	201.3
ZYX	Zyxin	36958_at	0.0005	403.4	905.5
VAT1	Vesicle amine transport protein 1	40147_at	0.0007	342	757.1
		605_at	0.0042	239.4	479.5
NPC2	Niemann-Pick disease type C2	39345_at	0.0008	560.6	881.3
AZU1	Azurocidin 1	33963_at	0.0015	-149.8	3509.6
ECGF1	Endothelial cell growth factor 1	36879_at	0.0018	-7.5	372.3
HOMER-3	Homer-3	38233_at	0.002	104	290.3
PGD	Phosphogluconate dehydrogenase	36963_at	0.0022	1041.7	1866.1
ENSA	Endosulfine alpha	39011_at	0.0025	467.7	393.4
TKT	Transketolase	38789_at	0.0028	892.2	1981.9
BST1	Bone marrow stromal cell antigen 1	32675_at	0.003	70.5	219.6
STK17B	Serine/threonine kinase 17b	33390_at	0.0033	252.7	946.8
CDK6	Cyclin-dependent kinase 6	1207_at	0.0034	217.8	138
RAB32	Rab32	41523_at	0.0035	94.5	236.1
PTP4A2	Protein tyrosine phosphatase type 4A member 2	1241_at	0.004	582.7	745.4
APLP2	AmyloidA4 precursor-like protein 2	33944_at	0.0041	602.8	1023.1
CYLN2	Cytoplasmic linker 2	41396_at	0.0041	261.7	139.9
OGT	O-linked N-acetylglucosamine transferase	38614_s_at	0.0044	211.7	116.3
HNRPD	Heterogeneous nuclear ribonucleoprotein D	38016_at	0.0059	701.6	546.4
W28504	EST	36338_at	0.006	450.5	251.6
D50525	EST	33683_at	0.0061	243.4	192.9
POLR2H	RNA polymerase 2 polypeptide H	35631_at	0.0064	200.2	144
TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	41763_g_at	0.0067	316.2	238.5
ATP6F	Lysosomal H(+)-transporting ATPase subunit F	36167_at	0.0075	844.2	1113.3
NME1	Protein expressed in nonmetastatic cells 1	1985_s_at	0.0076	822.4	455.2
GRIK5	Ionotropic glutamate receptor kainate 5	34905_at	0.0078	209.8	103.8
CD14	CD14 antigen	36661_s_at	0.0078	2.4	583.8
GABARAP	GABA(A) receptor-associated protein	37298_at	0.008	911.4	1728.7
NFKBIA	NF-kappa B inhibitor alpha	1461_at	0.008	1012.4	1738.7
GCN5L2	GCN5-like 2	38628_at	0.008	406.8	258.9
HSPE1	Heat shock protein 1, 10 kDa	39353_at	0.0083	540.6	330.4
LBR	Laminin B receptor	288_s_at	0.0088	222.6	430.3
ECE2	Endothelin converting enzyme 2	35536_at	0.009	248.8	170.7
BZRP	Benzodiazepine receptor	32806_at	0.0093	1690	2937.9
XPO1	Exportin 1	37729_at	0.0094	733.5	443
