RefSeq	Description	Gene Symbol
NM_008256	HMG-coenzyme A synthase 2	Hmgcs2
NM_007380	Abl-interactor 1	Abi1
NM_007408	Adipose diff related protein	adfp
NM_009627	Adrenomedullin	Adm
NM_007409	Alcohol dehydrogenase 1 (class I)	Adh1
NM_013474	Apolipoprotein A-II	Apoa2
NM_020577	Arsenic methyltransferase	As3mt
NM_018794	ATPase, Hþtransporting	Atp6ip1
NM_013454	ATP-binding cassette, subfamily member A member 1	Abca1
NM_009735	Beta-2 microglobulin	b2m
NM_010238	Bromodomain containing 2	Brd2
NM_009804	Catalase	Cat
NM_007744	Catechol-O-methyltransferase	Comt
NM_016904	CDC28 protein kinase 1	Cks1b
NM_023143	Complement component 1	C1r
NM_028850	Cysteine-rich hydrophobic domain 2	Chic2
NM_007840	DEAD box polypeptide 5	Ddx5
NM_007853	Degenerative spermatocyte homolog	Degs
NM_007830	Diazepam binding inhibitor	Dbi
NM_019427	Erythrocyte protein band 4.1-like 4b	Epb4.1l4b
NM_008033	Farnesyltransferase, CAAX box, alpha	Fnta
NM_010321	Glycine N-methyltransferase	Gnmt
NM_008086	Growth arrest specific 1	Gas1
NM_008302	Heat shock protein 1 beta	Hsp1b
NM_022331	Herpud1
NM_013547	Homogentisate 1, 2-dioxygenase	Hgd
NM_019657	Hydroxysteroid (17-beta) dehydrogenase 12	Hsd17b12
NM_008294	Hydroxysteroid dehydrogenase-4, delta,5.-3-beta	Hsd3b4
NM_010499	Immediate early response 2	Ier2
NM_008341	Insulin-like growth factor binding protein 1	Igfbp1
NM_010497	Isocitrate dehydrogenase 1 (NADPþ), soluble	Idh1
NM_008280	Lipase, hepatic	Lipc
NM_021462	MAP kinase-interacting serine/threonine kinase 2	Mknk2
NM_008590	Mesoderm specific transcript	Mest
NM_019758	Mitochondrial carrier homolog 2 (C. elegans)	Mtch2
NM_016978	Ornithine aminotransferase	Oat
NM_011044	Phosphoenolpyruvate carboxykinase 1, cytosolic	Pck
NM_011968	Proteasome (prosome, macropain)	Psma6
NM_008974	Protein tyrosine phosphatase 4a2	Ptp4a2
NM_009419	Protein-tyrosine sulfotransferase 2	Tpst2
NM_011231	RAB geranylgeranyl transferase, b subunit	Rabggtb
NM_017382	RAB11a, member RAS oncogene family
NM_016698	Ring finger protein 10	Rnf10
NM_013876	Ring finger protein 11	Rnf11
NM_013759	Selenoprotein X 1	Sepx1
NM_009243	Serpina1a
NM_019719	STIP1 homology and U-Box containing protein 1	Stub1
NM_011660	Thioredoxin 1	Txn1
NM_012032	Tumor differentially expressed 1	Tde1
NM_009536	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	Ywhae
NM_011673	UDP-glucose ceramide glucosyltransferase	Ugcg
NM_009474	Urate oxidase	Uox
NM_009524	Wingless-related MMTV integration site 5A	Wnt5a
