Gene Name	Location	Gene Description
STX3A	11q12.2	integral to membrane
FHL1	Xq26	cell growth
FHL1	Xq26	cell growth
CD109	6q14.1	endopepticase inhibitor activity
RBPMS	8p12-p11	RNA binding
MN1	22q11	regulation of cell cycle
	22q13	unknown
SPARC	5q31.3-q32	calcium ion binding
SPARC	5q31.3-q32	calcium ion binding
PROM1	4p15.32	integral to plasma membrane
FLJ14054	5p13.3	unknown
ITGA9	3p21.3	cell-matrix adhesion
JUP	17q21	cell adhesion
TM4SF13	7p21.2	integral to membrane
TM4SF2	Xp11.4	integral to membrane
NA	7	unknown
CD34	1q32	integral to membrane
NA	7p22	unknown
CLECSF14	17p13.1	plasma membrane
LOX	5q23.2	extracellular matrix
P2RY5	13q14	G-protein coupled receptor protein signaling pathway
P2RY5	13q14	G-protein coupled receptor protein signaling pathway
CLIC4	1p36.11	ion transport
FGFR1	8p11.2-p11.1	cell growth
PTK2	8q24-qter	cytoskeleton, adhesion
FGFR1	8p11.2-p11.1	cell growth
SIPAIL2	1q42.2	protein binding
NA	13q32	DNA binding
FGFR1	8p11.2-p11.1	cell growth
LOC221061	10p13	metabolism
NT5E	6q14-q21	5’-nucleotidase activity
ALDH7A1	5q31	aldehyde dehydrogenase (NAD) activity
KLHL13	Xq23-q24	protein binding
ETV5	3q28	regulation of transcription
NA	3	unknown
CD69	12p13-p12	integral to membrane
GJB1	Xq13.1	cell-cell signaling
DNER	2q37.1	development, transporter activity
NBL1	1p36.13-p36.11	regulation of cell cycle
GNAI1	7q21	G-protein coupled receptor protein signaling pathway
CD8A	2p12	integral to membrane
GZMB	14q11.2	apoptosis
LEF1	4q23-q25	regulation of transcription
GAGE7	Xp11.4-p11.2	unknown
HIPK2	7q32-q34	induction of apoptosis by intracellular signals
LOC91526	2q33.1	unknown
MBNL1	3q25	double-stranded RNA binding
LOC114977	19p13.11	unknown
EST	10	unknown
DNCLI2	16q22.1	motor activity
SULT1A2	16q22.1	metabolism
MGC5178	16p11.2	DNA repair
SLC39A11	17q24.3-q25.1	membrane
TRAF3	14q32.32	apoptosis
PBX3	9q33-q34	embryonic development
PBX3	9q33-q34	embryonic development
DSC2	18q12.1	cell adhesion
LOC139886	Xq11.2	unknown
KIAA0877	7p14.3-p14.2	unknown
TNFAIP8	5q23.1	anti-apoptosis
KIAA0649	9q34.3	NA
C3AR1	12p13.31	cellular defense response
EST	NA	unknown
FLJ10948	1p32.3	metabolism
SMARCD2	17q23-q24	chromatin remodeling
EST	11q21	unknown
HOXB2	17q21-q22	development
JAG1	20p12.1-p11.23	development
ATP2B1	12q21.3	calcium ion binding
ABCA5	17q24.3	transporter activity
ABCA5	17q24.3	transporter activity
RAB3IP	12q14	exocytosis, integral to membrane
LITAF	16p13.3-p12	regulation of transcription
MGC11257	7p22.3	unknown
APOC2	19q13.2	transporter activity
ABCC6	16p13.1	transporter activity
EST	2q31	unknown
BEX1	Xq22.1	unknown
RASSF2	20pter-p12.1	signal transduction
ZCCHC2	18q21.33	nucleic acid binding
EML4	2p22-p21	mitosis
MGC39633	5q23.1	hypothetical protein MGC39633
BCL2A1	15q24.3	anti-apoptosis
EST	15q25.1	unknown
DYSF	2p13.3-p13.1	integral to membrane
FLJ12443	5p15.33	calcium ion binding
FLJ133069	8q24.22	unknown
ASAHL	4q21.1	hydrolase activity
MSCP/DSC9612q14	NA	unknown
TLR8	Xp22	T-k kinase/NF-kB cascade
ORF1-FL49	5q31.2	G-protein coupled receptor protein signaling pathway
MGC71745	5q11.1	unknown
EST	12q24	unknown
FLJ22390	1q42.11	unknown
CSPGZ	5q14.3	calcium ion binding
TNFAIP2	14q32	angiogenesis
UPP1	7912.3	nucleoside metabolism
CSPG2	5q14.3	development
PRKCD	3p21.31	intracellular signaling cascade
EST	NA	unknown
