UniGene ID	Gene Name	Description	SAM Score(d)	Referance (a)	p53 binding motifs (b)
Hs.388613	NEO1	Neogenin homolog 1 (chicken)	-7	2	+
Hs.124922	LRMP	Lymphoid-restricted membrane protein	-5.99	4	+
Hs.168132	IL15	Interleukin 15	-5.77	1	+
Hs.256126	BIRC7	Baculoviral IAP repeat-containing 7 (livin)	-5.59	1	+
Hs.76171	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	-5.45	1	+
Hs.78960	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	-4.54	2	+
Hs.271955	TNFAIP8	Tumor necrosis factor, alpha-induced protein 8	-4.46	2	+
Hs.397465	HIPK2	Homeodomain interacting protein kinase 2	-4.37	1	+
Hs.291363	CHEK2	CHK2 checkpoint homolog (S. pombe)	-4.26	1	+
Hs.508423	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 Solute carrier family 7 (cationic amino acid transporter, y+	-4.06	1	+
Hs.334848	SLC7A6	system), member 6	-3.95	4	+
