Gene symbol	Gene name	GeneBank ID	P-value	Function
NEURL	Neuralized-like	AF029729	0.008745	Tumor suppressor genes
FHIT	Fragile histidine triad gene	U46922	0.002909	Tumor suppressor genes
LLGL1	Lethal giant larvae homolog 1	X86371	0.001259	Tumor suppressor genes
NF1	Neurofibromin 1 (neurofibromatosis)	D12625	0.008977	Tumor suppressor genes
TNFRSF12	Tumor necrosis factor receptor superfamily member	U83598	0.001977	Induction of apoptosis
TGFB1	Transforming growth factor,1	X02812	0.004213	Induction of apoptosis
CASP10	Caspase 10, apoptosis-related cysteine protease	U60519	0.005822	Induction of apoptosis
TP63	Tumor protein TP63	Y16961	0.001205	Induction of apoptosis
IGHMBP2	Immunoglobulin-binding protein 2	L14754	0.0033	DNA repair
XRCC2	X-ray repair complementing defective repair in Chinese hamster cells	Y08837	0.001514	DNA repair
ERCC2	Excision repair cross-complementing	AA079018	0.001977	DNA repair
PAX8	Paired box gene 8	X69699	0.005737	Histogenesis and organogenesis
PAX6	Paired box gene 6	M93650	0.003006	Histogenesis and organogenesis
COL6A1	Collagen, type VI, alpha 1	AA885106	0.001771	Histogenesis and organogenesis
BMP10	Bone morphogenic protein 10	AF101441	0.009646	Cytoskeleton and muscle development
MYO1C	Myosin 1C, actin cytoskeleton	X98507	0.003714	Cytoskeleton and muscle development
ARC	Activity regulated cytoskeleton-associated protein	D87468	0.0095	Cytoskeleton and muscle development
NEUROD2	Neurogenic differentiation 2	AB021742	0.001542	Neurogenesis
NTRK2	Neurotrophic tyrosine-kinase receptor type 2	U12140	0.007405	Neurogenesis
GRIN2A	Glutamate receptor, ionotropic N-methyl-d-aspartate 2A	U09002	0.001287	Neurogenesis
SIM2	Single-minded homolog 2	U80456	0.006273	Neurogenesis
ESR2	Estrogen receptor 2 (ER)	X99101	0.006273	Signal transduction
ING1L	Inhibitor of growth family 1-like	AI186701	0.008265	Signal transduction
