Gene accession #	Gene name	Gene description	P-value (ANOVA)
NM_000877	IL1R1	Interleukin 1 receptor, type I	0.012833
NM_000345	SNCA	Synuclein, alpha	0.000001
NM_006569	CGREF1	Cell growth regulator with EF-hand domain 1	0.004154
NM_138556	TLR4	Toll-like receptor 4	0.000122
NM_001242	TNFRSF7	Tumour necrosis factor receptor superfamily, member 7	0.000002
NM_003855	IL18R1	Interleukin 18 receptor 1	0.007924
NM_020529	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.000013
NM_015675	GADD45B	Growth arrest and DNA-damage-inducible, beta	0.000001
NM_003592	CUL1	Cullin 1	0.008025
NM_004780	TCEAL1	Transcription elongation factor A (SII)-like 1	0.000001
NM_003377	VEGFB	Vascular endothelial growth factor B	0.000002
NM_003212	TDGF1	Teratocarcinoma-derived growth factor 1	0.000759
NM_000600	IL6	Interleukin 6	0.01754
NM_000633	BCL2	B-cell CLL/lymphoma 2 (BCL2)	0.000054
NM_003199	TCF4	Transcription factor 4	0.000052
NM_016584	IL23A	Interleukin 23, alpha subunit p19	0.000001
NM_030756	TCF7L2	Transcription factor 7-like 2	0.000006
