UniGene ID	Gene title	Gene symbol	Chromosomal location
Hs.226568	ATP-binding cassette, sub-family A (ABC1), member 13	ABCA13	chr7p12.3
Hs.585129	ATP/GTP binding protein-like 3	AGBL3	chr7q33
Hs.369675	Angiopoietin 1	ANGPT1	chr8q22.3-q23
Hs.525163	Ankyrin repeat domain 10	ANKRD10	chr13q34
Hs.335239	Ankyrin repeat domain 28	ANKRD28	chr3p24.3
Hs.632601	Amphiregulin (schwannoma-derived growth factor)	AREG	chr4q13-q21
Hs.511311	ATPase, Class I, type 8B, member 4	ATP8B4	chr15q21.2
Hs.591063	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	B4GALT6	chr18q11
Hs.533446	Brain and acute leukemia, cytoplasmic	BAALC	chr8q22.3
Hs.388313	BIC transcript	BIC	chr21q21.3
Hs.632677	B-box and SPRY domain containing	BSPRY	chr9q32
Hs.119302	C1q and tumor necrosis factor related protein 4	C1QTNF4	chr11q11
Hs.137359	Chromosome 20 open reading frame 175	C20orf175	chr20q13.13
Hs.13528	Chromosome 5 open reading frame 23	C5orf23	chr5p13.3
Hs.120591	Coiled-coil domain containing 4	CCDC4	chr4p13
Hs.374990	CD34 molecule	CD34	chr1q32
Hs.470654	Cell division cycle associated 7	CDCA7	chr2q31
Hs.119882	Cyclin-dependent kinase 6	CDK6	chr7q21-q22
Hs.496587	Chordin-like 1	CHRDL1	chrXq22.3
Hs.292375	Carbohydrate (chondroitin 4) sulfotransferase 13	CHST13	chr3q21.3
Hs.576092	Collagen, type XXIV, alpha 1	COL24A1	chr1p22.3
Hs.29341	Carboxypeptidase X (M14 family), member 1	CPXM1	chr20p13-p12.3
Hs.115617	Corticotropin releasing hormone binding protein	CRHBP	chr5q11.2-q13.3
Hs.436542	Cysteine-rich secretory protein LCCL domain containing 1	CRISPLD1	chr8q21.11
Hs.6179	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	DDX17	chr22q13.1
Hs.112981	DEP domain containing 6	DEPDC6	chr8q24.12
Hs.533717	Delta-like 1 homolog (Drosophila)	DLK1	chr14q32
