Symbol	RefSeq_ID	Gene Description
ACSS2	NM_018677.2	ACYL-COA SYNTHETASE SHORT-CHAIN FAMILY MEMBER 2
ADAM19	NM_033274.2	ADAM METALLOPEPTIDASE DOMAIN 19 (MELTRIN BETA)
ADD3	NM_001121.2	ADDUCIN 3 (GAMMA)
ADRA1B	NM_000679.3	ADRENERGIC, ALPHA-1B-, RECEPTOR
AKR1B1	NM_001628.2	ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1 (ALDOSE REDUCTASE)
AKR1C3	NM_003739.4	ALDO-KETO REDUCTASE FAMILY 1, MEMBER C3 (3-ALPHA HYDROXYSTEROID DEHYDROGENASE, TYPE II)
ALDH3A1	NM_000691.3	ALDEHYDE DEHYDROGENASE 3 FAMILY, MEMBERA1
ANXA8	NM_001630.1	ANNEXIN A8
APOC1	NM_001645.3	APOLIPOPROTEIN C-I
ATP1B1	NM_001677.3	ATPASE, NA+/K+ TRANSPORTING, BETA 1 POLYPEPTIDE
ATP1B1	NM_001677.3	ATPASE, NA+/K+ TRANSPORTING, BETA 1 POLYPEPTIDE
C15orf52	NM_207380.1	FLJ43339 PROTEIN
C9orf30	NM_080655.1	CHROMOSOME 9 OPEN READING FRAME 30
CALB2	NM_007088.2	CALBINDIN 2, 29KDA (CALRETININ)
CD70	NM_001252.3	TUMOR NECROSIS FACTOR (LIGAND) SUPERFAMILY, MEMBER 7
CDCA5	NM_080668.2	CELL DIVISION CYCLE ASSOCIATED 5
CDH11	NM_001797.2	CADHERIN 11, TYPE 2, OB-CADHERIN (OSTEOBLAST)
CHN1	NM_001025201.1	CHIMERIN (CHIMAERIN) 1
CMTM7	NM_138410.2	CKLF-LIKE MARVEL TRANSMEMBRANE DOMAIN CONTAINING 7
CMTM7	NM_181472.1	CKLF-LIKE MARVEL TRANSMEMBRANE DOMAIN CONTAINING 7
COL7A1	NM_000094.2	COLLAGEN, TYPE VII, ALPHA 1 (EPIDERMOLYSIS BULLOSA, DYSTROPHIC, DOMINANT AND RECESSIVE)
COTL1	NM_021149.2	COACTOSIN-LIKE 1 (DICTYOSTELIUM)
CPVL	NM_019029.2	CARBOXYPEPTIDASE, VITELLOGENIC-LIKE
CRYAB	NM_001885.1	CRYSTALLIN, ALPHA B
CTSC	NM_001814.2	CATHEPSIN C
CYBA	NM_000101.2	CYTOCHROME B-245, ALPHA POLYPEPTIDE
CYP4X1	NM_178033.1	CYTOCHROME P450, FAMILY 4, SUBFAMILY X, POLYPEPTIDE 1
DEFB1	NM_005218.3	DEFENSIN, BETA 1
DENND1C	NM_024898.2	DENN/MADD DOMAIN CONTAINING 1C
DHCR24	NM_014762.3	24-DEHYDROCHOLESTEROL REDUCTASE
ENC1	NM_003633.1	ECTODERMAL-NEURAL CORTEX (WITH BTB-LIKE DOMAIN)
FDFT1	NM_004462.3	FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE 1
FGFBP1	NM_005130.3	FIBROBLAST GROWTH FACTOR BINDING PROTEIN 1
FJX1	NM_014344.2	FOUR JOINTED BOX 1 (DROSOPHILA)
FLJ20186	NM_017702.2	HYPOTHETICAL PROTEIN FLJ20186
FREQ	NM_014286.2	FREQUENIN HOMOLOG (DROSOPHILA)
FSCN1	NM_003088.2	FASCIN HOMOLOG 1, ACTIN-BUNDLING PROTEIN (STRONGYLOCENTROTUS PURPURATUS)
GPR56	NM_201524.1	G PROTEIN-COUPLED RECEPTOR 56
GRHL1	NM_014552.2	GRAINYHEAD-LIKE 1 (DROSOPHILA)
H2AFY2	NM_018649.2	H2A HISTONE FAMILY, MEMBER Y2
IGFBP3	NM_000598.4	INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3
IL1R2	NM_173343.1	INTERLEUKIN 1 RECEPTOR, TYPE II
IL27RA	NM_004843.2	INTERLEUKIN 27 RECEPTOR, ALPHA
INSIG1	NM_198336.1	INSULIN INDUCED GENE 1
ISL1	NM_002202.1	ISL1 TRANSCRIPTION FACTOR, LIM/HOMEODOMAIN, (ISLET-1)
ITM2C	NM_001012516.1	INTEGRAL MEMBRANE PROTEIN 2C
KLK10	NM_002776.4	KALLIKREIN 10
KLK3	NM_001030050.1	KALLIKREIN 3, (PROSTATE SPECIFIC ANTIGEN)
KLK5	NM_001077491.1	KALLIKREIN 5
KLK6	NM_001012964.1	KALLIKREIN 6 (NEUROSIN, ZYME)
KLK7	NM_005046.2	KALLIKREIN 7 (CHYMOTRYPTIC, STRATUM CORNEUM)
KLK8	NM_144505.1	KALLIKREIN 8 (NEUROPSIN/OVASIN)
KLK8	NM_007196.2	KALLIKREIN 8 (NEUROPSIN/OVASIN)
KLK9	NM_012315.1	KALLIKREIN 9
KRT6B	NM_005555.3	KERATIN 6B
KYNU	NM_003937.2	KYNURENINASE (L-KYNURENINE HYDROLASE)
LARP6	NM_197958.1	LA RIBONUCLEOPROTEIN DOMAIN FAMILY, MEMBER 6
LEMD1	NM_001001552.3	LEM DOMAIN CONTAINING 1
LMNA	NM_005572.3	LAMIN A/C
LOC441376	NM_001025357.1	AARD PROTEIN
LOC731314	XM_001129173.1	SIMILAR TO H2A HISTONE FAMILY, MEMBER X
LRAT	NM_004744.3	LECITHIN RETINOL ACYLTRANSFERASE (PHOSPHATIDYLCHOLINE--RETINOL O-ACYLTRANSFERASE)
LSS	NM_002340.3	LANOSTEROL SYNTHASE (2,3-OXIDOSQUALENE-LANOSTEROL CYCLASE)
LYPD3	NM_014400.2	LY6/PLAUR DOMAIN CONTAINING 3
MALL	NM_005434.3	MAL, T-CELL DIFFERENTIATION PROTEIN-LIKE
ME1	NM_002395.3	MALIC ENZYME 1, NADP(+)-DEPENDENT, CYTOSOLIC
MGC23985	NM_206966.2	SIMILAR TO AVLV472
MIA	NM_006533.2	MELANOMA INHIBITORY ACTIVITY
MICALL1	NM_033386.2	MICAL-LIKE 1
MVD	NM_002461.1	MEVALONATE (DIPHOSPHO) DECARBOXYLASE
NEK6	NM_014397.3	NIMA (NEVER IN MITOSIS GENE A)-RELATED KINASE 6
NOV	NM_002514.2	NEPHROBLASTOMA OVEREXPRESSED GENE
OAF	NM_178507.2	OAF HOMOLOG (DROSOPHILA)
OSBPL7	NM_145798.2	OXYSTEROL BINDING PROTEIN-LIKE 7
OSR1	NM_145260.2	ODD-SKIPPED RELATED 1 (DROSOPHILA)
OXTR	NM_000916.3	OXYTOCIN RECEPTOR
PCOLCE2	NM_013363.2	PROCOLLAGEN C-ENDOPEPTIDASE ENHANCER 2
PCTK3	NM_212503.1	PCTAIRE PROTEIN KINASE 3
PHLDA1	NM_007350.3	PLECKSTRIN HOMOLOGY-LIKE DOMAIN, FAMILY A, MEMBER 1
PI3	NM_002638.2	PEPTIDASE INHIBITOR 3, SKIN-DERIVED (SKALP)
PLAU	NM_002658.2	PLASMINOGEN ACTIVATOR, UROKINASE
PRR6	NM_181716.2	PROLINE RICH 6
PRSS23	NM_007173.4	PROTEASE, SERINE, 23
PTGS1	NM_000962.2	PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 1 (PROSTAGLANDIN G/H SYNTHASE AND CYCLOOXYGENASE)
PTMA	NM_001099285.1	PROTHYMOSIN, ALPHA (GENE SEQUENCE 28)
RPESP	NM_153225.2	RPE-SPONDIN
SC4MOL	NM_001017369.1	STEROL-C4-METHYL OXIDASE-LIKE
SFRP1	NM_003012.3	SECRETED FRIZZLED-RELATED PROTEIN 1
SLC29A2	NM_001532.2	SOLUTE CARRIER FAMILY 29 (NUCLEOSIDE TRANSPORTERS), MEMBER 2
SOCS1	NM_003745.1	SUPPRESSOR OF CYTOKINE SIGNALING 1
SOX9	NM_000346.2	SRY (SEX DETERMINING REGION Y)-BOX 9 (CAMPOMELIC DYSPLASIA, AUTOSOMAL SEX-REVERSAL)
STEAP3	NM_182915.2	STEAP FAMILY MEMBER 3
STS-1	NM_032873.3	CBL-INTERACTING PROTEIN STS-1
SULF2	NM_018837.2	SULFATASE 2
SUMO2	NM_001005849.1	SMT3 SUPPRESSOR OF MIF TWO 3 HOMOLOG 2 (YEAST)
TGFBI	NM_000358.1	TRANSFORMING GROWTH FACTOR, BETA-INDUCED, 68KDA
TINAGL1	NM_022164.1	TUBULOINTERSTITIAL NEPHRITIS ANTIGEN-LIKE 1
TK1	NM_003258.2	THYMIDINE KINASE 1, SOLUBLE
TM4SF1	NM_014220.2	TRANSMEMBRANE 4 L SIX FAMILY MEMBER 1
TMEM158	NM_015444.2	RAS-INDUCED SENESCENCE 1
TMEM16A	NM_018043.4	TRANSMEMBRANE PROTEIN 16A
TMEM97	NM_014573.2	TRANSMEMBRANE PROTEIN 97
TNC	NM_002160.2	TENASCIN C (HEXABRACHION)
TNFRSF21	NM_014452.3	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 21
TNFSF9	NM_003811.2	TUMOR NECROSIS FACTOR (LIGAND) SUPERFAMILY, MEMBER 9
TPM2	NM_213674.1	TROPOMYOSIN 2 (BETA)
TRIM47	NM_033452.2	TRIPARTITE MOTIF-CONTAINING 47
TSHZ2	NM_173485.4	CHROMOSOME 20 OPEN READING FRAME 17
TSPAN1	NM_005727.2	TETRASPANIN 1
TYMS	NM_001071.1	THYMIDYLATE SYNTHETASE
UQCRH	NM_006004.1	UBIQUINOL-CYTOCHROME C REDUCTASE HINGE PROTEIN
ZNF488	NM_153034.2	ZINC FINGER PROTEIN 488
