Gene name	Genbank ID	PARP-1+/+treated	PARP-1?/?treated †	PARP-1?/?untreated ‡	PARP-1?/?treated §	Function
Prdx1	NM_011034	8.78	?1.53	?3.7	?49.71	Response to stress and external stimuli
Hspcb	BI154147	5.86	1.3	?4.25	?19.09	Response to stress and external stimuli
Daf1	NM_010016	?41.28	5.84	?3.45	69.9	Response to stress and external stimuli
Gadd45a	NM_007836	5.29	1.52	?1.67	?5.79	Response to stress and external stimuli
Sod1	BC002066	5.96	?1.52	?1.81	?16.4	Response to stress and external stimuli
Hspa1b	M12573	2.47	9.08	?2.35	1.56	Response to stress and external stimuli
Hspa1a	AW763765	17.88	230.82	?14.21	?1.1	Response to stress and external stimuli
Ifi30	NM_023065	4.51	?2.39	1.83	?5.89	Response to stress and external stimuli
Ii	BC003476	3.42	15.5	?4.51	1.01	Response to stress and external stimuli
Afp	NM_007423	10.16	48.71	?100	?30.34	Cell growth and maintenance
Ube1c	NM_011666	4.71	?2.58	?1.73	?21.08	Cell growth and maintenance
Calm1	AU079514	4.84	1.98	?4.59	?11.22	Cell growth and maintenance
Ets1	BC010588	?2.17	4.69	?1.15	8.86	Cell growth and maintenance
Ube2b	AK010432	4.63	?6.53	?1.32	?39.99	Cell growth and maintenance
Arhgap5	BM248774	4.8	1.23	3.49	?1.12	Cell growth and maintenance
Btg1	L16846	4.59	?2.1	?1.35	?13.01	Cell growth and maintenance
Mt2	AA796766	11.85	1.84	1.82	?3.53	Cell growth and maintenance
Prkar1b	BB274009	7.27	3.91	82.96	44.58	Cell growth and maintenance
Ikbkg	BB821318	5.17	?1.08	?1.71	?9.56	Cell growth and maintenance
Slc9a3r1	BB805362	7.34	?1.25	5.72	?1.6	Cell growth and maintenance
Rab3d	BB349707	?1.67	60.42	?47.56	2.12	Cell growth and maintenance
Myrip	BB429683	11.03	?1.12	19.61	1.59	Cell growth and maintenance
Mcl1	BC003839	4.52	1.02	1.22	?3.65	Cell death
Hspa1b	M12573	27.13	24.35	1.43	1.28	Cell death
Elmo3	AI481208	4.17	?1.21	4.21	?1.19	Cell death
Sod1	BC002066	5.96	?1.52	?1.81	?16.4	Cell death
Foxc1	BB759833	0.85	9.41	?11.5	?1.03	DNA metabolism
Uox	M27695	0.95	10.66	?6.9	1.63	DNA metabolism
Rfx3	BC017598	0.04	2.06	?1.49	32.13	DNA metabolism
Lbh	AK007400	4.27	?1.08	3.32	?1.39	DNA metabolism
Hoxd8	BF785056	2.21	?24.02	7.5	?7.08	DNA metabolism
Ncor1	BM239260	7.93	1.63	7.42	1.52	DNA metabolism
Ash1l	BG694892	2.12	?1.94	6.76	1.64	DNA metabolism
Zfp99	AK009842	4.38	?1.35	4.27	?1.39	DNA metabolism
Prps2	BM934034	4.16	?2.06	6.68	?1.28	DNA metabolism
