Gene	Symbol	RefSeq†
Acid phosphatase 5, tartrate resistant	ACP5	NM_001611
Apolipoprotein C-I	APOC1	NM_001645
Apolipoprotein D	APOD	NM_001647
Apolipoprotein E	APOE	NM_000041
Cathepsin B	CTSB	NM_001908
Cathepsin D (lysosomal aspartyl protease)	CTSD	NM_001909
Cathepsin H	CTSH	NM_004390
Cathepsin L	CTSL	NM_001912
Cathepsin Z	CTSZ	NM_001336
CD68 antigen	CD68	NM_001251
CD88: complement component 5 receptor 1 (C5a ligand)	C5R1	NM_001736
CD105: endoglin (Osler-Rendu-Weber syndrome 1)	ENG	NM_000118
CD163: macrophage-associated antigen	CD163	NM_004244
CD204: macrophage scavenger receptor 1	MSR1	NM_002445
Fucosidase, ?-L-1, tissue	FUCA1	NM_000147
Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	GNS	NM_002076
Glucosidase, ?; acid (includes glucosylceramidase)	GBA	NM_000157
Glucuronidase, ?	GUSB	NM_000181
GM2 ganglioside activator protein	GM2A	NM_000405
Hexosaminidase A (? polypeptide)	HEXA	NM_000520
Hexosaminidase B (? polypeptide)	HEXB	NM_000521
Leukocyte immunoglobulin-like receptor, subfamily B, member 3	LILRB3	NM_006864
Leukocyte membrane antigen	CMRF-35H	NM_007261
Lysosomal-associated membrane protein 1	LAMP1	NM_005561
Lysosomal-associated membrane protein 2	LAMP2	NM_002294
N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	NM_004315
Oxysterol binding protein-like 3	OSBPL3	NM_015550
Peroxisome proliferative-activated receptor-?	PPARG	NM_005037
Phospholipase D1, phophatidylcholine specific	PLD1	NM_002662
Phospholipid scramblase 1	PLSCR1	NM_021105
Protective protein for ?-galactosidase (galactosialidosis)	PPGB	NM_000308
Retinoic acid receptor responder (tazarotene induced) 1	RARRES1	NM_002888
Sialidase 1 (lysosomal sialidase)	NEU1	NM_000434
