Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
211456_x_at	1q43	Similar to 60S ribosomal protein L35	MM1	6.6
211781_x_at	NA	NA	U266	11.6
213685_at	NA	Gene from PAC 886K2, chromosome 1	NCI-H929	6.2
215594_at	NA	PTR7 mRNA for repetitive sequence	NCI-H929	7.7
222296_at	NA	Transcribed locus, weakly similar to XP_371797.1 PREDICTED: hypothetical protein XP_371797 [Homo sapiens]	U266	19.3
222315_at	NA	Transcribed locus	U266	7.6
AASS	7q31.3	aminoadipate-semialdehyde synthase	U266, NCI-H929	24.6, 9.6
ABAT	16p13.2	4-aminobutyrate aminotransferase	MM1, U266, NCI-H929	8.3, 122.8, 11.0
ABCB1	7q21.1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	NCI-H929	18.1
ABHD5	3p21	abhydrolase domain containing 5	NCI-H929	10.6
ABTB2	11p13	ankyrin repeat and BTB (POZ) domain containing 2	U266	7.5
ACADSB	10q25-q26	acyl-Coenzyme A dehydrogenase, short/branched chain	U266	4.9
ACSL3	2q34-q35	acyl-CoA synthetase long-chain family member 3	U266	4.4
ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	U266	59.4
ADCY9	16p13.3	adenylate cyclase 9	U266	28.4
AGRN	1p36.33	agrin	MM1, U266, NCI-H929	5.2, 12.0, 13.4
AHR	7p15	aryl hydrocarbon receptor	MM1	6.5
AKAP12	6q24-q25	A kinase (PRKA) anchor protein (gravin) 12	MM1, U266, NCI-H929	11.2, 44.8, 12.6
AKAP13	15q24-q25	A kinase (PRKA) anchor protein 13	NCI-H929	4.6
AKR1C3	10p15-p14	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	U266	15.9
ALCAM	3q13.1	activated leukocyte cell adhesion molecule	NCI-H929	19.5
ALDH1A3	15q26.3	aldehyde dehydrogenase 1 family, member A3	U266	9.9
ALDH2	12q24.2	aldehyde dehydrogenase 2 family (mitochondrial)	NCI-H929	4.8
ALDH4A1	1p36	aldehyde dehydrogenase 4 family, member A1	U266	8.2
ALDOC	17cen-q12	aldolase C, fructose-bisphosphate	MM1, NCI-H929	6.6, 9.2
ALPP	2q37	alkaline phosphatase, placental (Regan isozyme)	U266	11.5
ALPPL2	2q37	alkaline phosphatase, placental-like 2	U266	37.6
ANKRD6	6q14.2-q16.1	ankyrin repeat domain 6	U266	11.9
APG12L	5q21-q22	APG12 autophagy 12-like (S. cerevisiae)	U266	8.2
APLP1	19q13.1	amyloid beta (A4) precursor-like protein 1	MM1, U266	24.9, 25.3
APLP2	11q23-q25|11q24	amyloid beta (A4) precursor-like protein 2	MM1, U266	7.7, 5.0
APOE	19q13.2	apolipoprotein E	U266, NCI-H929	43.6, 41.4
AREG	4q13-q21	amphiregulin (schwannoma-derived growth factor)	NCI-H929	9.3
ARG2	14q24.1-q24.3	arginase, type II	NCI-H929	104.3
ARL6IP	16p12-p11.2	ADP-ribosylation factor-like 6 interacting protein	MM1	5.4
ARMCX2	Xq21.33-q22.2	armadillo repeat containing, X-linked 2	U266	7.5
ASMTL	Xp22.3; Yp11.3	acetylserotonin O-methyltransferase-like	U266	7.1
ATF7IP2	16p13.13	activating transcription factor 7 interacting protein 2	MM1	10
ATP13A2	1p36	ATPase type 13A2	MM1	37.2
ATP1B1	1q24	ATPase, Na+/K+ transporting, beta 1 polypeptide	NCI-H929	8.5
ATP6AP2	Xq21	ATPase, H+ transporting, lysosomal accessory protein 2	NCI-H929	7.1
ATP6V0D1	16q22	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 1	NCI-H929	7
ATP6V1D	14q23-q24.2	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	NCI-H929	5.7
AZI1	17q25.3	5-azacytidine induced 1	U266, NCI-H929	6.7, 6.7
BACH	1p36.31-p36.11	brain acyl-CoA hydrolase	MM1	4.5
BAIAP2	17q25	BAI1-associated protein 2	U266	34
BAIAP3	16p13.3	BAI1-associated protein 3	MM1, U266	13.8, 15.8
BCL6	3q27	B-cell CLL/lymphoma 6 (zinc finger protein 51)	MM1, NCI-H929	5.4, 76.5
BEXL1	Xq22.1-q22.3	brain expressed X-linked-like 1	U266	5.8
BG1	15q23-q24	lipidosin	U266	27.3
BIK	22q13.31	BCL2-interacting killer (apoptosis-inducing)	MM1, NCI-H929	7.1, 7.6
BIN1	2q14	bridging integrator 1	U266	8.3
BIRC3	11q22	baculoviral IAP repeat-containing 3	MM1, NCI-H929	9.5, 5.2
BMP2K	4q21.21	BMP2 inducible kinase	MM1	20.1
BRCA2	13q12.3	breast cancer 2, early onset	MM1	11.2
BTG1	12q22	B-cell translocation gene 1, anti-proliferative	NCI-H929	5
C10orf3	10q23.33	chromosome 10 open reading frame 3	MM1	5.2
C14orf78	14q32.33	chromosome 14 open reading frame 78	NCI-H929	6.3
C19orf28	19p13.3	chromosome 19 open reading frame 28	U266	6.7
C19orf36	19p13.3	chromosome 19 open reading frame 36	U266, NCI-H929	15.5, 29.0
C1S	12p13	complement component 1, s subcomponent	U266	13.2
C20orf12	20p11.23	chromosome 20 open reading frame 12	NCI-H929	7.3
C20orf19	20pter-q11.23	chromosome 20 open reading frame 19	U266	7.2
C2orf31	2q34	chromosome 2 open reading frame 31	MM1	6
C3	19p13.3-p13.2	complement component 3	U266	8.2
C3F	12p13	putative protein similar to nessy (Drosophila)	U266	6.7
C3orf14	3p14.2	chromosome 3 open reading frame 14	U266	13.3
CACNA1G	17q22	calcium channel, voltage-dependent, alpha 1G subunit	U266, NCI-H929	7.1, 9.3
CALM1	14q24-q31	calmodulin 1 (phosphorylase kinase, delta)	NCI-H929	5.5
CAMTA1	1p36.31-p36.23	calmodulin binding transcription activator 1	U266	15.9
CCK	3p22-p21.3	cholecystokinin	U266	49
CCNA1	13q12.3-q13	cyclin A1	U266, NCI-H929	23.4, 6.2
CCNF	16p13.3	cyclin F	MM1	20
CD24	6q21	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	MM1, U266, NCI-H929	27.3, 12.9, 28.0
CD9	12p13.3	CD9 antigen (p24)	U266	26.1
CDC14B	9q22.33	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	U266	8.3
CDH1	16q22.1	cadherin 1, type 1, E-cadherin (epithelial)	U266	38.7
CDH19	18q22-q23	cadherin 19, type 2	NCI-H929	18.7
CDKL3	5q31	cyclin-dependent kinase-like 3	U266	7.5
CDKN1A	6p21.2	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NCI-H929	27.3
CDKN1C	11p15.5	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	U266	82.5
CEL	9q34.3	carboxyl ester lipase (bile salt-stimulated lipase)	U266	22
CFH	1q32	complement factor H	NCI-H929	16.4
CGA	6q12-q21	glycoprotein hormones, alpha polypeptide	U266	34.3
CGB	19q13.32	chorionic gonadotropin, beta polypeptide	U266	8.7
CGREF1	2p23.3	cell growth regulator with EF-hand domain 1	U266	14
CNTNAP2	7q35-q36	contactin associated protein-like 2	NCI-H929	11.3
COL14A1	8q23	collagen, type XIV, alpha 1 (undulin)	MM1, NCI-H929	14.3, 5.9
COL6A2	21q22.3	collagen, type VI, alpha 2	U266	12.1
COTL1	16q24.1	coactosin-like 1 (Dictyostelium)	MM1, U266, NCI-H929	8.6, 10.6, 14.8
CRIP2	14q32.3	cysteine-rich protein 2	MM1, NCI-H929	15.9, 17.5
CRISPLD2	16q24.1	cysteine-rich secretory protein LCCL domain containing 2	U266	17.7
CSPG3	19p12	chondroitin sulfate proteoglycan 3 (neurocan)	NCI-H929	6.2
CSPG5	3p21.3	chondroitin sulfate proteoglycan 5 (neuroglycan C)	U266	7
CSRP2	12q21.1	cysteine and glycine-rich protein 2	MM1, NCI-H929	6.4, 13.8
CSTA	3q21	cystatin A (stefin A)	NCI-H929	22.8
CTH	1p31.1	cystathionase (cystathionine gamma-lyase)	NCI-H929	8.5
CTSL2	9q22.2	cathepsin L2	NCI-H929	6.6
CXCL11	4q21.2	chemokine (C-X-C motif) ligand 11	U266	10.6
CYLN2	7q11.23	cytoplasmic linker 2	U266, NCI-H929	11.9, 17.7
CYP1A1	15q22-q24	cytochrome P450, family 1, subfamily A, polypeptide 1	MM1, NCI-H929	5.8, 14.8
CYP1B1	2p21	cytochrome P450, family 1, subfamily B, polypeptide 1	MM1, NCI-H929	9.7, 9.0
CYP26B1	2p13.2	cytochrome P450, family 26, subfamily B, polypeptide 1	U266	8.9
DAZL	3p24.3	deleted in azoospermia-like	U266	18.4
DBN1	5q35.3	drebrin 1	U266	7.2
DDAH2	6p21.3	dimethylarginine dimethylaminohydrolase 2	NCI-H929	4.6
DDX4	5p15.2-p13.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	U266	15.5
DDX43	6q12-q13	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	U266	30.1
DHRS2	14q11.2	dehydrogenase/reductase (SDR family) member 2	MM1, U266, NCI-H929	38.3, 295.0, 96.6
DHRS8	4q22.1	dehydrogenase/reductase (SDR family) member 8	U266	6.3
DLG7	14q22.3	discs, large homolog 7 (Drosophila)	MM1	5.9
DLX2	2q32	distal-less homeo box 2	U266, NCI-H929	29.8, 8.8
DMRT1	9p24.3	doublesex and mab-3 related transcription factor 1	U266	15.3
DNAH3	16p12.3	dynein, axonemal, heavy polypeptide 3	U266	5.1
DNM3	1q24.3	dynamin 3	NCI-H929	6.3
DPEP3	16q22.1	dipeptidase 3	U266	34.2
DRE1	3q27.1	DRE1 protein	NCI-H929	15.7
DUSP1	5q34	dual specificity phosphatase 1	U266	8
DUSP2	2q11	dual specificity phosphatase 2	U266	27.5
DYRK3	1q32.1	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	MM1	6.6
DZIP1	13q32.1	DAZ interacting protein 1	U266	7.9
DZIP3	3q13.13	zinc finger DAZ interacting protein 3	MM1	18.2
ECAT8	19q13.11	ES cell associated transcript 8	U266	11.7
EFHC1	6p12.3	EF-hand domain (C-terminal) containing 1	NCI-H929	7
EFNB2	13q33	ephrin-B2	MM1, NCI-H929	10.0, 9.0
EGR1	5q31.1	early growth response 1	MM1, U266, NCI-H929	6.5, 5.5, 7.9
EGR2	10q21.1	early growth response 2 (Krox-20 homolog, Drosophila)	U266	9.8
EGR4	2p13	early growth response 4	U266	23.9
EHHADH	3q26.3-q28	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	MM1	5.3
EIF4EBP2	10q21-q22	Eukaryotic translation initiation factor 4E binding protein 2	NCI-H929	11.1
ENAH	1q42.12	enabled homolog (Drosophila)	U266	10.8
ENPP2	8q24.1	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	MM1, NCI-H929	47.3, 96.2
EPAS1	2p21-p16	endothelial PAS domain protein 1	MM1, U266, NCI-H929	11.4, 31.7, 39.2
EPHA3	3p11.2	EPH receptor A3	MM1, NCI-H929	22.0, 23.6
ERO1LB	1q42.2-q43	ERO1-like beta (S. cerevisiae)	NCI-H929	8
FAM49A	2p24.3-p24.2	Family with sequence similarity 49, member A	MM1, U266, NCI-H929	11.4, 7.9, 20.2
FBN1	15q21.1	fibrillin 1 (Marfan syndrome)	MM1, NCI-H929	16.6, 7.7
FBP2	9q22.3	fructose-1,6-bisphosphatase 2	U266	41.7
FDXR	17q24-q25	ferredoxin reductase	U266	6.3
FER	5q21	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	U266	5.2
FER1L3	10q24	fer-1-like 3, myoferlin (C. elegans)	NCI-H929	21.4
FGD6	12q22	FYVE, RhoGEF and PH domain containing 6	MM1	4.4
FGFR1	8p11.2-p11.1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NCI-H929	8.3
FGFR3	4p16.3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	U266	24.5
FGFR4	5q35.1-qter	fibroblast growth factor receptor 4	MM1, NCI-H929	4.5, 7.2
FHL1	Xq26	four and a half LIM domains 1	U266	6.6
FKBP1B	2p23.3	FK506 binding protein 1B, 12.6 kDa	U266, NCI-H929	5.2, 16.7
FLJ10178	Xq22.3	hypothetical protein FLJ10178	U266	40.6
FLJ10922	19q13.32	hypothetical protein FLJ10922	U266	22.6
FLJ12584	2q37.1	melanoma/melanocyte specific protein KU-MEL-1	MM1, NCI-H929	11.0, 7.4
FLJ14627	12q24.22	hypothetical protein FLJ14627	MM1	10.2
FLJ20130	Xq22.3	hypothetical protein FLJ20130	U266, NCI-H929	4.6, 4.8
FLJ20507	2q11.2	hypothetical protein FLJ20507	MM1	13.2
FLJ21159	4q32.1	ASAP	MM1	18.7
FLJ22833	2q32.3	hypothetical protein FLJ22833	MM1	10.6
FLNA	Xq28	filamin A, alpha (actin binding protein 280)	MM1	5.2
FLNB	3p14.3	filamin B, beta (actin binding protein 278)	MM1	9.2
FN1	2q34	fibronectin 1	MM1, U266, NCI-H929	46.0, 72.7, 40.6
FOS	14q24.3	v-fos FBJ murine osteosarcoma viral oncogene homolog	U266, NCI-H929	52.2, 22.8
FOXG1B	14q12-q13	forkhead box G1B	MM1	6.9
FSCN1	7p22	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	MM1, U266, NCI-H929	84.7, 207.6, 64.6
FTCD	21q22.3	formiminotransferase cyclodeaminase	U266	26.9
FTL	19q13.3-q13.4	ferritin, light polypeptide	NCI-H929	7.8
FUCA1	1p34	fucosidase, alpha-L- 1, tissue	NCI-H929	6
G1P3	1p35	interferon, alpha-inducible protein (clone IFI-6-16)	MM1	7
G6PD	Xq28	glucose-6-phosphate dehydrogenase	MM1, NCI-H929	25.9, 14.5
GAGE1	Xp11.4-p11.2	G antigen 1	MM1, U266, NCI-H929	11.5, 26.8, 11.3
GAGE2	Xp11.23	G antigen 2	U266, NCI-H929	91.7, 14.0
GAGE3	Xp11.4-p11.2	G antigen 3	U266	21
GAGE4	Xp11.4-p11.2	G antigen 4	U266, NCI-H929	20.8, 10.8
GAGE5	Xp11.4-p11.2	G antigen 5	MM1, U266, NCI-H929	5.8, 24.5, 6.0
GAL	11q13.2	galanin	U266	12
GATA3	10p15	GATA binding protein 3	NCI-H929	22.4
GLCE	15q23	glucuronyl C5-epimerase	MM1, U266	6.6, 13.1
GLDC	9p22	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	MM1, U266, NCI-H929	12.7, 5.5, 9.9
GLUL	1q31	glutamate-ammonia ligase (glutamine synthase)	U266	6.8
GLULD1	6pter-q22.33	glutamate-ammonia ligase (glutamine synthase) domain containing 1	NCI-H929	8.1
GM2A	5q31.3-q33.1	GM2 ganglioside activator	MM1, NCI-H929	25.5, 9.0
GMPR	6p23	guanosine monophosphate reductase	MM1, U266	12.2, 6.1
GNS	12q14	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	NCI-H929	16.2
GPM6A	4q34	glycoprotein M6A	MM1, NCI-H929	18.3, 23.2
GPSM2	1p13.3	G-protein signalling modulator 2 (AGS3-like, C. elegans)	MM1	9.5
GRN	17q21.32	granulin	NCI-H929	6.9
GSN	9q33	gelsolin (amyloidosis, Finnish type)	MM1, NCI-H929	6.8, 8.7
H1F0	22q13.1	H1 histone family, member 0	MM1, U266, NCI-H929	48.7, 6.0, 46.2
H2AFB3	Xq28	H2A histone family, member B3	U266	10.5
HABP4	9q22.3-q31	hyaluronan binding protein 4	MM1	8.4
HBA1	16p13.3	hemoglobin, alpha 1	MM1, U266, NCI-H929	70.9, 46.9, 94.8
HBA2	16p13.3	hemoglobin, alpha 2	MM1, U266, NCI-H929	57.8, 139.0, 82.6
HES1	3q28-q29	hairy and enhancer of split 1, (Drosophila)	U266	57.7
HIST1H1C	6p21.3	histone 1, H1c	MM1, NCI-H929	15.9, 16.6
HIST1H1T	6p21.3	histone 1, H1t	U266	19.1
HIST1H2AC	6p21.3	histone 1, H2ac	U266	5.7
HIST1H2AE	6p22.2-p21.1	histone 1, H2ae	MM1, U266, NCI-H929	32.5, 199.5, 68.9
HIST1H2AG	6p22.1	histone 1, H2ag	MM1, U266, NCI-H929	16.3, 8.7, 18.8
HIST1H2AI	6p22-p21.3	histone 1, H2ai	U266	7.5
HIST1H2AM	6p22-p21.3	Histone 1, H2am	U266	13.7
HIST1H2BB	6p21.3	histone 1, H2bb	U266	32
HIST1H2BC	6p21.3	histone 1, H2bc	MM1, NCI-H929	6.1, 6.1
HIST1H2BG	6p21.3	histone 1, H2bg	MM1, U266, NCI-H929	7.1, 149.8, 17.5
HIST1H2BI	6p21.3	histone 1, H2bi	U266	5.4
HIST1H3B	6p21.3	histone 1, H3b	MM1, U266	22.4, 8.5
HIST1H3D	6p21.3	histone 1, H3d	U266	27.6
HIST1H3G	6p21.3	histone 1, H3g	NCI-H929	57.7
HIST1H3H	6p22-p21.3	histone 1, H3h	MM1, U266, NCI-H929	5.5, 12.3, 21.3
HIST1H3J	6p22-p21.3	Histone 1, H3j	U266	9.1
HIST1H4B	6p21.3	histone 1, H4b	U266	10.9
HIST1H4H	6p21.3	histone 1, H4h	NCI-H929	16.4
HIST1H4K	6p22-p21.3	histone 1, H4k	U266	10.9
HIST2H2AA	1q21.2	histone 2, H2aa	MM1, U266, NCI-H929	14.4, 6.2, 33.1
HIST2H2BE	1q21-q23	histone 2, H2be	MM1, NCI-H929	12.6, 15.9
HIST2H4	1q21	histone 2, H4	NCI-H929	16.7
HIST3H2A	1q42.13	histone 3, H2a	U266	7.3
HIST3H3	1q42	histone 3, H3	U266	23.2
HK1	10q22	hexokinase 1	MM1	4.8
HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1	MM1	21.7
HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1	MM1	10.2
HLA-DQA1	6p21.3	major histocompatibility complex, class II, DQ alpha 1	MM1	5.7
HLA-DRB1	6p21.3	major histocompatibility complex, class II, DR beta 1	MM1	10
HLA-DRB4	6p21.3	major histocompatibility complex, class II, DR beta 4	MM1, NCI-H929	82.3, 6.1
HN1	17q25.1	hematological and neurological expressed 1	MM1	6.4
HOXA1	7p15.3	homeo box A1	MM1, U266	7.5, 23.3
