Locus	Gene name	Acc number	Fold changea
19712	RE1-silencing transcription factor/neural-restrictive silencer factor	NM_011263	-12.47
20700	serine protease inhibitor 1-1	NM_009243	-11.41
20311	chemokine (C-X-C motif) ligand 5	NM_009141	-9.78
19164	presenilin 1	AV291437	-9.34
19255	protein tyrosine phosphatase, non-receptor type 2	BG076152	-8.68
69955	phenylalanine-tRNA synthetase 2	NM_024274	-8.56
17842	major urinary protein 3	AW112849	-7.59
14427	galanin receptor 1	Y15004	-7.1
16123	immunoglobulin kappa chain variable 8 (V8)	M18237	-6.14
320846	gap junction membrane channel protein alpha 9	BB253959	-5.94
11891	RAB27A, member RAS oncogene family	BC009656	-5.85
21943	tumor necrosis factor (ligand) superfamily, member 11	NM_011613	-5.63
50757	F-box only protein 12	NM_015793	-5.53
20841	zinc finger protein 143	NM_009281	-4.98
114662	implantation serine protease 2	D19363	-4.9
21884	fatty acid binding protein 9, testis	NM_011598	-4.54
67084	CEA-related cell adhesion molecule 14	AK005390	-4.35
64707	suppressor of variegation 3-9 homolog 2 (Drosophila)	NM_022724	-4.24
18400	solute carrier family 22 (organic cation transporter), member 1-like	BF577497	-4.18
56612	prefoldin 5	AV124256	-4.02
75590	dual specificity phosphatase 9	AV295798	-3.82
110454	lymphocyte antigen 6 complex, locus A	BC002070	-3.7
80297	beta-spectrin 4	NM_032610	-3.68
58518	cathepsin 6	NM_021445	-3.58
18089	NK2 transcription factor related, locus 3 (Drosophila)	Y11117	-3.54
106861	abhydrolase domain containing 3	NM_134130	-3.52
107141	cytochrome P450, family 2, subfamily c, polypeptide 50	NM_134144	-3.32
15354	high mobility group box 3	NM_008253	-3.31
67295	RAB3C, member RAS oncogene family	AY026947	-3.31
15132	hemoglobin Z, beta-like embryonic chain	AV147727	-3.29
108138	X-ray repair complementing defective repair in Chinese hamster cells 4	BC025538	-3.27
207933	Isopentenyl-diphosphate delta-isomerase (IPP isomerase)	BC004801	-3.23
12702	suppressor of cytokine signaling 3	BB831725	-3.17
22324	vav 1 oncogene	NM_011691	-3.17
26388	interferon activated gene 202B	NM_011940	-3.15
16177	interleukin 1 receptor, type I	NM_008362	-3.13
81007	defensin beta 5	NM_030734	-3.1
226695	interferon activated gene 205	M74124	-3.1
19092	protein kinase, cGMP-dependent, type II	BB823350	-3.08
20657	superoxide dismutase 3, extracellular	U38261	-3.07
23834	cell division cycle 6 homolog (S. cerevisiae)	NM_011799	-3.02
260423	histone 1, H3f	NM_013548	-2.96
22304	vomeronasal 2, receptor, 13	AF011423	-2.9
20873	serine/threonine kinase 18	BB706079	-2.89
16011	insulin-like growth factor binding protein 5	BF225802	-2.87
53878	seminal vesicle protein, secretion 2	BB807675	-2.87
11812	apolipoprotein C-I	NM_007469	-2.85
56428	mitochondrial carrier homolog 2	NM_019758	-2.85
12006	axin2	NM_015732	-2.84
14972	histocompatibility 2, K region	L23495	-2.83
22342	lin 7 homolog b (C. elegans)	BB806633	-2.83
14626	glucokinase activity, related sequence 2	NM_010294	-2.82
14626	glucokinase activity, related sequence 2	NM_010294	-2.82
11688	arachidonate 15-lipoxygenase, second type	BC015253	-2.79
72388	ankyrin repeat domain 3	AF302127	-2.78
17218	mini chromosome maintenance deficient 5 (S. cerevisiae)	NM_008566	-2.76
17105	lysozyme	AV058500	-2.75
13112	cytochrome P450, family 3, subfamily a, polypeptide 11	NM_007818	-2.73
22290	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	BB742957	-2.72
83453	neuralin 1	NM_031258	-2.71
12903	cellular retinoic acid binding protein I	NM_013496	-2.69
17082	interleukin 1 receptor-like 1	NM_010743	-2.69
12428	cyclin A2	X75483	-2.66
14160	G protein-coupled receptor 49	BB751088	-2.66
14365	frizzled homolog 3 (Drosophila)	AU020229	-2.65
13123	cytochrome P450, 7b1	NM_007825	-2.64
11872	ADP-ribosyltransferase 2b	NM_019915	-2.62
20218	KH domain containing, RNA binding, signal transduction associated 1	BB752997	-2.6
26886	centromere autoantigen H	BC025084	-2.6
22791	DnaJ (Hsp40) homolog, subfamily C, member 2	NM_009584	-2.6
21828	thrombospondin 4	NM_011582	-2.57
208715	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	BI690696	-2.56
11513	adenylate cyclase 7	BB746807	-2.55
104601	Mycbp associated protein	NM_170671	-2.55
83564	ribonuclease/angiogenin inhibitor 2	NM_031389	-2.54
14793	cell division cycle associated 3	NM_013538	-2.52
22296	vomeronasal 1 receptor, A1	NM_011683	-2.52
16835	low density lipoprotein receptor	AF425607	-2.51
21333	tachykinin 1	NM_009311	-2.51
27424	killer cell lectin-like receptor, subfamily A, member 16	AF218081	-2.5
