Gene symbol	Gene name	Accessionb	Ratioc Gastrin	RatiocHGF	Functional Category
ATF4	Activating transcription factor 4	AA600217	1.63	1.46	 Cell proliferation
CCNI	Cyclin I	AA434408	1.52	1.42	 Cell proliferation
ANXA11	Annexin A11	AA465051	1.47	1.27	 Cell proliferation
MCM3	Minichromosome maintenance deficient 3	AA455786	1.35	1.38	 Cell proliferation
NP	Nucleoside phosphorylase	AA430382	1.29	1.3	 Cell proliferation
STK12	Serine/threonine kinase 12	AA071486	1.25	1.28	 Cell proliferation
IL2RB	Interleukin 2 receptor, beta	AA057156	0.48	0.46	 Cell proliferation
GNRH1	Gonadotropin-releasing hormone 1	AA043996	0.55	0.57	 Cell proliferation
EPS15	EGF receptor pathway substrate 15	AA490223	0.66	0.63	 Cell proliferation
LOC51177	CK2-interacting protein 1	AA490216	0.76	0.75	 Cell proliferation
SCYA16	Small inducible cytokine subfamily A (Cys–Cys), member 16	T58775	0.77	0.7	 Cell proliferation
BAK1	BCL2 antagonist/killer 1	H52673	1.26	1.29	 Apoptosis
HCLS1	Hematopoietic cell-specific Lyn substrate 1	AA424575	0.77	0.77	 Apoptosis
LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein	AA485353	1.54	1.45	 Cell adhesion/motility
MAP1B	Microtubule-associated protein 1B	AA219045	1.54	1.33	 Cell adhesion/motility
LAMR1	Laminin receptor 1	AA629897	1.49	1.41	 Cell adhesion/motility
MIG	Monokine induced by gamma interferon	AA131406	0.53	0.66	 Cell adhesion/motility
CCR1	Chemokine (C–C) motif receptor 1	AA036881	0.63	0.6	 Cell adhesion/motility
CDH11	Cadherin 11	AA136983	0.66	0.65	 Cell adhesion/motility
LAMA5	Laminin, alpha 5	AA459519	0.77	0.72	 Cell adhesion/motility
ITGAV	Integrin, alpha V	AA029934	0.77	0.78	 Cell adhesion/motility
MLF2	Myeloid leukemia factor 2	AA480835	1.3	1.4	 Oncogenesis
CIN85	c-Cbl-interacting protein	AA989257	1.31	1.26	 Oncogenesis
LMO2	LIM domain only 2	AA464644	1.29	1.31	 Oncogenesis
GSTT1	Gluatathione S-transferase theta 1	H99813	1.25	1.35	 Oncogenesis
PIM1	Pim-1 oncogene	AA453663	0.75	0.5	 Oncogenesis
RAB18	RAB18, member RAS oncogene family	AA156821	0.79	0.75	 Oncogenesis
