Probe Set ID No	GenBank Accession No	Gene Name	Fold Change	q, %
1419528_at	NM_009286.1	Sulfotransferase, hydroxysteroid preferring 2	5.96	8.33
1415822_at	NM_009128.1	SCD-2	3.98	8.33
1425326_at	AF332052.1	ATP citrate lyase	3.73	8.33
1420447_at	NM_023135.1	Sulfotransferase family 1E, member 1	3.13	8.33
1423418_at	BI247584	Farnesyl diphosphate synthetase	2.9	8.33
1451122_at	BC004801.1	Isopentenyl-diphosphate delta-isomerase	2.34	8.33
1423078_a_at	AK005441.1	Sterol-C4-methyl oxidase-like	2.33	8.33
1430307_a_at	AK006387.1	Malic enzyme, supernatant	2.14	8.33
1417017_at	NM_007809.1	Cytochrome P-450, family 17, subfamily a, polypeptide 1	2.07	8.33
1415823_at	BB459479	SCD- 2	2.05	8.33
1416632_at	NM_008615.1	Malic enzyme, supernatant	2.01	8.33
1424352_at	BC025936.1	Similar to cytochrome P-450, 4a10	–3.72	8.33
