GeneBank Acc.No.	Gene Description	Fold Change	Mann–Whitney U-test P Value
X72755	monokine induced by gamma interferon		0.025
Y13710	small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated		0.025
M33906	major histocompatibility complex, class II, DQ alpha 1 (HLA-DQA-1)	24	0.025
M59979	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	7	0.025
L35594	phosphodiesterase I/nucleotide pyrophosphatase 2 (autotaxin)	6.2	0.025
AF198052	FYN-binding protein (FYB-120/130)	4.5	0.025
X16354	carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1, biliary glycoprotein)	4	0.025
AL031230	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	3.8	0.025
AB000115	hypothetical protein, expressed in osteoblast	3.8	0.053
J03909	interferon, gamma-inducible protein 30	3.7	0.025
U37518	tumor necrosis factor (ligand) superfamily, member 10 (TRAIL)	3.7	0.025
AL035079	catalase	3.3	0.053
M97935	signal transducer and activator of transcription 1, 91kD	3.1	0.025
U00944	Human clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA	3	0.053
M96995	growth factor receptor-bound protein 2	3	0.053
AF068836	pleckstrin homology, Sec7, and coiled-coil domains protein-binding protein	2.9	0.053
M73255	vascular cell adhesion molecule 1 (VCAM-1)	2.4	0.025
Z82188	HSPC022 protein	2.4	0.053
M87503	interferon-stimulated transcription factor 3, gamma (48kD)	2.4	0.053
U03886	GS2 gene	2.3	0.053
X60592	tumor necrosis factor receptor superfamily, member 5	2.3	0.025
M33882	myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)	2.1	0.053
M65131	methylmalonyl Coenzyme A mutase	2	0.053
AF078776	tumor protein 53-binding protein, 1	2	0.025
